Stock Symbol,Date,Stock Price
002735,2024-09-30,10.1
002735,2024-06-30,9.78
002735,2024-03-31,12.81
002735,2023-12-31,12.93
002735,2023-09-30,12.47
002735,2023-06-30,13.87
002735,2023-03-31,16.9
002735,2022-12-31,14.79
002735,2022-09-30,13.07
002735,2022-06-30,14.99
002735,2022-03-31,19.34
002735,2021-12-31,14.3
002735,2021-09-30,12.49
002735,2021-06-30,12.6
002735,2021-03-31,14.64
002735,2020-12-31,18.22
002735,2020-09-30,19.91
002735,2020-06-30,10.54
002735,2020-03-31,9.07
002735,2019-12-31,9.16
