,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,201.13,237.84,226.69,-,-,427.1,313.07,330.38,423.73,279.37,137.1,236.37,178.55,134.22,170.63,257.95,186.95,187.64,126.79,143.18,Upgrade
1,Cash & Short-Term Investments,201.13,237.84,226.69,-,-,427.1,313.07,330.38,423.73,279.37,137.1,236.37,178.55,134.22,170.63,257.95,186.95,187.64,126.79,143.18,Upgrade
2,Cash Growth,-,-44.31%,-27.59%,-,-,52.88%,128.35%,39.77%,137.32%,108.14%,-19.65%,-8.37%,-4.49%,-28.47%,34.58%,80.16%,45.47%,13.55%,-40.93%,-48.95%,Upgrade
3,Accounts Receivable,760.22,709.77,761.26,-,-,712.86,811.44,847.53,1055,934.73,874.68,956.46,925.03,826.13,782.03,779.09,556.42,475.66,464.84,475.65,Upgrade
4,Other Receivables,9.13,11.06,8.97,-,-,14.41,14.64,9.62,19.41,12.34,12.03,11.9,48.68,98.33,94.33,138.25,180.01,264.15,14.36,15.69,Upgrade
5,Receivables,769.34,720.83,770.23,-,-,727.27,826.08,857.15,1075,947.06,886.71,968.35,973.71,924.46,876.37,917.34,736.44,739.81,479.2,491.34,Upgrade
6,Inventory,339.22,297.79,315.79,-,-,445.36,619.76,762.01,644.23,650.49,612.32,489.95,426.65,447.94,458.22,341.94,415.83,348.29,541.16,540.76,Upgrade
7,Other Current Assets,191.28,197.58,178.56,-,-,158.33,155.36,180.91,205.07,236.98,135.49,146.06,150.75,149.52,139.38,155.07,177.22,176.02,202.2,211.14,Upgrade
8,Total Current Assets,1501,1454,1491,-,-,1758,1914,2130,2348,2114,1772,1841,1730,1656,1645,1672,1516,1452,1349,1386,Upgrade
