,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2042,1847,1619,2261,2403,2477,2761,3272,3236,3370,2313,2672,3242,3154,3543,4248,3479,-,-,-,-
1,Market Cap Growth,-25.43%,-25.43%,-41.36%,-30.89%,-25.74%,-26.50%,19.38%,22.46%,-0.17%,6.86%,-34.72%,-37.10%,-6.81%,-,-,-,-,-,-,-,-
2,Enterprise Value,1835,1599,1455,1975,2127,2090,2310,2660,2624,2725,1631,2097,2667,2553,2864,3471,3453,-,-,-,-
3,Last Close Price,15.62,14.13,12.30,17.10,18.18,18.73,20.75,24.32,24.06,25.05,17.18,19.50,23.66,23.10,26.36,31.25,25.60,-,-,-,-
4,PE Ratio,121.34,-,293.95,322.58,-,-,29.26,28.52,27.00,28.34,15.82,16.34,19.96,19.68,19.96,25.94,22.58,-,-,-,-
5,PS Ratio,3.17,2.85,2.21,3.08,3.10,2.91,3.15,3.56,3.45,3.51,2.52,2.84,3.47,3.78,4.03,5.19,4.53,-,-,-,-
6,PB Ratio,1.21,1.04,0.90,1.26,1.35,1.38,1.53,1.79,1.81,1.94,1.35,1.55,1.92,1.92,2.22,2.69,2.25,-,-,-,-
7,P/TBV Ratio,1.15,1.15,1.00,1.37,1.47,1.50,1.66,1.95,1.96,2.10,1.46,1.68,2.09,2.09,2.42,2.91,2.43,-,-,-,-
8,P/FCF Ratio,8.56,7.74,10.87,-,144.21,-,-,-12.91,-,-,-,-,-112.25,-,-,-,72.90,-,-,-,-
9,P/OCF Ratio,5.32,5.32,6.16,114.20,29.24,-,-,-23.61,-,-,-,-,41.20,-,-,-,37.22,-,-,-,-
10,EV/Sales Ratio,2.83,2.47,1.99,2.69,2.74,2.46,2.64,2.89,2.80,2.84,1.78,2.23,2.86,3.06,3.25,4.24,4.50,-,-,-,-
11,EV/EBITDA Ratio,48.54,43.88,64.91,87.19,35.98,-,17.24,16.84,17.54,17.88,8.80,10.62,12.84,11.74,12.49,15.37,16.37,-,-,-,-
12,EV/EBIT Ratio,-,-,-128.04,-,-,-,20.78,19.08,19.98,20.29,9.64,11.56,13.77,12.44,13.16,16.08,17.12,-,-,-,-
13,EV/FCF Ratio,7.69,6.70,9.77,-,127.63,-,-,-10.49,-,-,-,-,-92.35,-,-,-,72.35,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.13,0.19,0.20,0.20,0.21,0.19,0.23,0.08,0.05,0.02,-,-,-,-,0.03,-,0.08,0.11,0.11
