,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,441.46,423.54,423.54,659.97,559.05,600.93,698.2,462.42,644.44,585.22,726.98,1025,760.96,451.75,910.56,634.59,-,-,-
1,Trading Asset Securities,-,100.58,100.58,-,-,-,-,251.24,7.51,-,-,-,81.12,309.24,-,113.23,-,-,-
2,Cash & Short-Term Investments,441.46,524.12,524.12,659.97,559.05,600.93,698.2,713.66,651.96,585.22,726.98,1025,842.09,760.99,910.56,747.83,-,-,496.18
3,Cash Growth,-21.03%,-12.78%,-24.93%,-7.52%,-14.25%,2.69%,-3.96%,-30.40%,-22.58%,-23.10%,-20.16%,37.12%,-,-,83.51%,-,-,-,-
4,Accounts Receivable,727.18,723.44,723.44,699.47,881.5,892.87,920.52,818.54,1000,904.83,720.6,549.75,620.44,655.98,646.3,449.49,-,-,-
5,Other Receivables,46.97,47.79,47.79,59.42,50.64,49.71,53.11,58.94,62.6,62.63,15.15,13.22,18.87,26.28,18.2,16.07,-,-,-
6,Receivables,774.15,771.23,771.23,758.89,932.15,942.58,973.63,877.48,1063,967.46,735.75,562.97,639.31,682.26,664.5,465.56,-,-,-
7,Inventory,200.58,193.1,193.1,212.2,268.31,273.22,339.97,314.78,327.4,387.33,311.7,186.36,255.32,326.93,176.79,156.55,-,-,-
8,Other Current Assets,71.43,70.36,70.36,57.66,61.09,57.14,45.09,33.76,28.64,22.59,11.3,4.79,35.35,48.8,24.84,9.31,-,-,-
9,Total Current Assets,1488,1559,1559,1689,1821,1874,2057,1940,2071,1963,1786,1780,1772,1819,1777,1379,-,-,-
10,"Property, Plant & Equipment",345.67,307.68,307.68,295.31,231.12,223.09,218.77,211.06,187.24,183.3,182.23,184.17,182.92,184.59,179.69,186.88,-,-,-
11,Long-Term Investments,1,1,1,1,11.19,11.19,11.19,11.19,19,19,19,19,-,-,-,-,-,-,-
12,Other Intangible Assets,35.92,36.35,36.35,36.56,37.34,37.51,38,38.5,38.47,39.14,40.08,41.77,42.1,42.52,38.54,40.05,-,-,-
13,Long-Term Deferred Tax Assets,6.5,6.05,6.05,1.65,13.04,13.45,13.07,12.72,13,10.48,9.76,7.91,7.24,8.06,8.68,6.36,-,-,-
14,Long-Term Deferred Charges,0.96,0.37,0.37,0.15,0.45,0.4,0.31,0.43,0.55,0.65,0.87,1.09,3.58,1.82,2.26,2.56,-,-,-
15,Other Long-Term Assets,-,-,-,-,-,-,-,0.18,-,-,-,-,-,-,-,-,-,-,-
