,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q2 2018,Q1 2018
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018"
0,Market Capitalization,4609,3101,3161,4017,4209,4518,4895,4879,5807,4763,4710,4201,4072,-,-,-,-,-,-
1,Market Cap Growth,-8.68%,-31.36%,-35.43%,-17.67%,-27.52%,-5.16%,3.94%,16.15%,42.61%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4301,2624,2617,3473,3670,3884,4324,4308,5182,4133,4193,3681,3519,-,-,-,-,-,-
3,Last Close Price,48.50,38.16,39.25,49.87,52.26,56.09,60.34,60.15,71.58,58.72,57.78,51.53,49.95,-,-,-,-,-,-
4,PE Ratio,49.76,34.95,35.57,45.59,41.27,35.78,33.58,32.48,37.52,34.52,42.77,40.32,44.42,-,-,-,-,-,-
5,PS Ratio,7.39,6.75,6.90,8.71,7.96,7.85,8.11,7.88,9.60,8.28,9.20,8.76,9.28,-,-,-,-,-,-
6,PB Ratio,2.62,2.65,2.72,3.53,3.75,4.10,4.42,4.50,6.07,5.23,5.31,5.05,5.11,-,-,-,-,-,-
7,P/TBV Ratio,3.43,2.71,2.78,3.61,3.84,4.21,4.54,4.63,6.26,5.40,5.42,5.16,5.23,-,-,-,-,-,-
8,P/FCF Ratio,-,-460.49,-,-,-69.09,-,-,117.57,-,76.68,82.15,215.07,-,-,-,-,-,-,-
9,P/OCF Ratio,29.55,29.14,-,40.29,38.55,48.21,44.77,27.99,43.00,48.44,58.14,111.74,-,-,-,-,-,-,-
