,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,112.87,95.7,119.48,167.41,185.01,157.45,169.76,247.82,252.64,82.67,45.58,52.61,40.39,39.22,77.88,116.7,65.48,36.34,97.68,170.77,Upgrade
1,Trading Asset Securities,-,-,-,-,-,-,-,50,50,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,112.87,95.7,119.48,167.41,185.01,157.45,169.76,297.82,302.64,82.67,45.58,52.61,40.39,39.22,77.88,116.7,65.48,36.34,97.68,170.77,Upgrade
3,Cash Growth,-38.99%,-39.22%,-29.62%,-43.79%,-38.87%,90.46%,272.48%,466.15%,649.34%,110.80%,-41.48%,-54.92%,-38.32%,7.92%,-20.26%,-31.67%,-20.75%,-71.91%,3.90%,17.61%,Upgrade
4,Accounts Receivable,410.52,455.04,436.14,417.32,393.6,408.16,409.07,402.33,425.89,428.39,476.68,506.44,499.87,555.21,561.22,564.67,586.4,612.25,912.98,943.44,Upgrade
5,Other Receivables,18.35,17.55,18.15,16.73,20.2,20.49,23.09,23.06,21.39,14.94,2.41,17.45,26.51,27.84,36.25,36.15,44.01,47.13,20.06,48.53,Upgrade
6,Receivables,428.87,472.59,454.29,434.05,413.8,428.65,432.17,425.39,447.27,446.33,479.09,523.9,526.37,583.04,597.47,602.83,630.41,659.38,933.04,991.96,Upgrade
7,Inventory,68.36,52.26,61.98,47.69,49.88,47.57,41.4,32.09,73.75,64.11,53.99,46.38,63.76,61.76,60.09,54.98,128.96,123.08,231.62,209.73,Upgrade
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,1.84,-,1.84,-,0.17,-,-,-,0.1,-,1.08,Upgrade
9,Other Current Assets,14.22,11.87,9.83,9.21,2.49,1,1.96,0.93,14.56,3.81,17.3,1.25,4.12,3.71,4.29,0.92,8.41,16.07,64.78,17.14,Upgrade
10,Total Current Assets,624.32,632.43,645.58,658.37,651.18,634.67,645.29,756.23,838.22,598.76,595.96,625.97,634.64,687.9,739.73,775.43,833.27,834.96,1327,1391,Upgrade
11,"Property, Plant & Equipment",133.04,135.02,134.23,137.08,36.51,24.17,23.55,24.21,23.78,24.47,24.73,24.48,24.91,24.1,24.6,25.21,27.62,28.09,48.88,50.64,Upgrade
12,Long-Term Investments,76.49,76.49,77.11,77.11,28.95,28.95,28.95,28.95,28.82,28.82,28.82,28.82,30.16,30.68,30.99,28.55,72.42,66.98,37.56,35.59,Upgrade
13,Goodwill,0.25,0.25,0.25,0.25,1.05,1.05,1.05,1.05,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,Upgrade
14,Other Intangible Assets,107.62,110.85,114.11,116.95,116.71,119.91,123.2,2.02,2.09,1.94,1.83,1.98,1.92,2.06,1.75,1.8,1.95,2.1,2.31,2.49,Upgrade
15,Long-Term Deferred Tax Assets,16.75,15.2,15.19,14.12,13.35,13.12,12.77,12.39,12.49,11.99,11.66,11.81,11.38,11.02,10.18,10.02,11.25,10.6,9.53,9.28,Upgrade
16,Long-Term Deferred Charges,3.07,2.27,2.01,2.26,1.62,1.79,1.88,1.93,0.88,0.02,0.04,0.06,0.08,0.1,0.13,0.15,0.18,0.2,0.37,0.4,Upgrade
17,Other Long-Term Assets,-,-,-,0.36,106.29,107.39,108.5,110.7,110.7,111.8,112.9,114.01,121.76,116.21,117.31,118.41,143.26,153.92,121.72,122.82,Upgrade
18,Total Assets,961.55,972.52,988.48,1007,955.66,931.06,945.2,937.47,1017,778.05,776.19,807.37,825.09,872.33,924.94,959.81,1090,1097,1548,1612,Upgrade
19,Accounts Payable,67.24,71.08,66.34,76.07,92.32,95.15,85.4,76.65,95.64,97.53,97.39,107.25,95.1,112.51,111.29,126.1,105.7,119.44,311.2,359.05,Upgrade
20,Accrued Expenses,23.76,48.56,22.98,55.82,20.33,43.58,18.51,53.7,18.9,47.85,17.6,58.88,20.84,54.2,18.99,60.04,14.97,50.98,19.79,65.71,Upgrade
21,Short-Term Debt,144.63,139.64,154.68,144.67,74.57,89.27,98.13,88.12,148.69,230.79,227.84,212.81,334.42,354.76,344.72,344.54,446.68,415.48,434.22,542.37,Upgrade
22,Current Portion of Leases,8.07,6.8,5.24,5.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,24.65,0.02,23.53,0.04,23.47,0.02,25.76,0.01,27.27,0.04,34.03,0.6,31.43,0.04,34.16,0.52,36.07,0.1,37.75,0.07,Upgrade
24,Current Unearned Revenue,17.47,14.75,15.19,10.56,17.83,17.64,13.73,9.64,28.12,23.13,20.73,15.24,30.32,21.98,24.72,16.52,46.31,48.63,147.83,97.93,Upgrade
25,Other Current Liabilities,31.79,31.49,34.21,36.62,30.79,18.07,31.98,35.8,32.6,69.36,77.74,102.89,1.64,17.83,72.48,85.97,2.63,23.59,116.03,35.24,Upgrade
26,Total Current Liabilities,317.61,312.34,322.17,328.96,259.31,263.73,273.5,263.91,351.22,468.71,475.35,497.68,513.76,561.32,606.36,633.7,652.36,658.22,1067,1100,Upgrade
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.53,32.53,Upgrade
28,Long-Term Leases,5.64,7.05,6.54,7.01,12.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Long-Term Deferred Tax Liabilities,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,2.59,2.59,9.59,-,-,-,1.74,-,-,-,-,Upgrade
31,Total Liabilities,323.25,319.39,328.71,335.98,271.89,263.73,273.5,263.91,351.22,471.3,477.93,507.27,513.76,561.32,606.36,635.44,652.36,658.22,1099,1133,Upgrade
32,Common Stock,508.79,508.79,508.79,508.79,508.79,503.65,503.65,503.65,503.65,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,Upgrade
33,Additional Paid-In Capital,330.59,327.83,325.07,322.3,-,311.41,307.09,302.78,297.13,32.01,32.01,32.01,32.01,32.01,32.01,32.01,32.01,32.01,32.01,32.01,Upgrade
34,Retained Earnings,-193.01,-175.24,-165.54,-152.48,-144.62,-140.69,-132.54,-126.99,-129.6,-82.01,-90.47,-88.78,-76.95,-77.33,-70.01,-64.1,48.35,47.98,55.4,85.98,Upgrade
35,Comprehensive Income & Other,-8.71,-8.71,-8.1,-8.1,320.89,-6.25,-6.25,-6.25,-6.38,-73.08,-73.16,-73.1,-73.36,-73.37,-73.2,-73.23,-72.71,-71.48,-69.65,-69.69,Upgrade
36,Total Common Equity,637.67,652.67,660.23,670.52,685.07,668.11,671.95,673.18,664.79,305.45,296.9,298.65,310.23,309.84,317.32,323.2,436.17,437.03,446.29,476.82,Upgrade
37,Minority Interest,0.63,0.46,-0.46,0.01,-1.3,-0.79,-0.25,0.37,1.21,1.3,1.35,1.45,1.1,1.17,1.26,1.16,1.65,1.87,2.14,2.43,Upgrade
38,Shareholders' Equity,638.3,653.13,659.77,670.53,683.77,667.33,671.7,673.56,666.01,306.75,298.25,300.1,311.33,311.01,318.58,324.37,437.82,438.9,448.43,479.26,Upgrade
39,Total Liabilities & Equity,961.55,972.52,988.48,1007,955.66,931.06,945.2,937.47,1017,778.05,776.19,807.37,825.09,872.33,924.94,959.81,1090,1097,1548,1612,Upgrade
40,Total Debt,158.34,153.5,166.46,156.85,87.15,89.27,98.13,88.12,148.69,230.79,227.84,212.81,334.42,354.76,344.72,344.54,446.68,415.48,466.74,574.9,Upgrade
41,Net Cash (Debt),-45.47,-57.8,-46.98,10.56,97.86,68.18,71.64,209.71,153.95,-148.12,-182.26,-160.2,-294.03,-315.54,-266.84,-227.85,-381.2,-379.14,-369.07,-404.13,Upgrade
42,Net Cash Growth,-,-,-,-94.97%,-36.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
43,Net Cash Per Share,-0.09,-0.11,-0.09,0.02,0.19,0.14,0.14,0.41,0.32,-0.35,-0.42,-0.37,-0.69,-0.74,-0.62,-0.53,-0.89,-0.89,-0.86,-0.94,Upgrade
44,Filing Date Shares Outstanding,508.79,508.79,508.79,508.79,508.79,503.65,503.65,503.65,503.65,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,Upgrade
45,Total Common Shares Outstanding,508.79,508.79,508.79,508.79,508.79,503.65,503.65,503.65,503.65,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,428.53,Upgrade
46,Working Capital,306.71,320.08,323.41,329.41,391.87,370.94,371.79,492.32,487,130.05,120.61,128.28,120.88,126.58,133.37,141.72,180.9,176.75,260.32,290.3,Upgrade
47,Book Value Per Share,1.25,1.28,1.30,1.32,1.35,1.33,1.33,1.34,1.32,0.71,0.69,0.70,0.72,0.72,0.74,0.75,1.02,1.02,1.04,1.11,Upgrade
48,Tangible Book Value,529.8,541.56,545.87,553.31,567.3,547.15,547.7,670.12,662.45,303.26,294.82,296.42,308.06,307.53,315.32,321.15,433.97,434.67,443.73,474.08,Upgrade
49,Tangible Book Value Per Share,1.04,1.06,1.07,1.09,1.11,1.09,1.09,1.33,1.32,0.71,0.69,0.69,0.72,0.72,0.74,0.75,1.01,1.01,1.04,1.11,Upgrade
50,Buildings,-,156.38,-,156.38,-,19.91,-,19.91,-,19.91,-,19.91,-,19.91,-,19.91,-,19.91,-,19.91,Upgrade
51,Machinery,-,25.89,-,25.39,-,25.24,-,25.15,-,24.84,-,23.87,-,23.49,-,23.13,-,62.7,-,77.96,Upgrade
52,Construction In Progress,-,0.08,-,0.25,-,0.07,-,0.36,-,0.52,-,-,-,-,-,-,-,-,-,12.76,Upgrade
