,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,3219,3473,3909,-,-,-,-
1,Enterprise Value,2932,3152,3899,-,-,-,-
2,Last Close Price,57.24,61.75,69.21,-,-,-,-
3,PE Ratio,36.36,54.11,60.61,-,-,-,-
4,PS Ratio,5.18,6.81,8.03,-,-,-,-
5,PB Ratio,4.22,4.55,5.14,-,-,-,-
6,P/TBV Ratio,4.89,4.89,5.51,-,-,-,-
7,P/OCF Ratio,40.96,61.67,83.96,-,-,-,-
8,EV/Sales Ratio,5.79,6.18,8.01,-,-,-,-
9,EV/EBITDA Ratio,31.19,35.37,47.10,-,-,-,-
10,EV/EBIT Ratio,38.75,44.50,60.28,-,-,-,-
11,Debt / Equity Ratio,0.07,0.07,0.20,0.20,-,-,0.10
12,Debt / EBITDA Ratio,0.55,0.51,1.92,1.92,-,-,0.41
13,Asset Turnover,0.48,0.45,-,-,-,-,
14,Inventory Turnover,-,9.00,9.48,-,-,-,-
15,Quick Ratio,2.54,2.54,2.34,2.34,-,-,-
16,Current Ratio,2.79,2.79,2.50,2.50,-,-,-
17,Return on Equity (ROE),7.59%,8.08%,-,-,-,-,
18,Return on Assets (ROA),4.79%,3.19%,-,-,-,-,
19,Return on Capital (ROIC),5.92%,3.89%,-,-,-,-,
20,Return on Capital Employed (ROCE),9.24%,8.65%,7.77%,7.78%,-,-,-
21,Earnings Yield,2.25%,1.85%,1.65%,-,-,-,-
22,FCF Yield,-1.88%,-2.25%,-1.80%,-,-,-,-
23,Dividend Yield,0.69%,-,0.29%,-,-,-,-
24,Payout Ratio,19.74%,82.33%,5.51%,5.51%,2.59%,2.49%,2.49%
25,Buyback Yield / Dilution,-8.73%,-35.16%,0.21%,-,-,-,-
26,Total Shareholder Return,-8.04%,-35.16%,0.50%,-,-,-,-
