,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,151.07,142.72,147.3,119.41,141.78,125.16,139.61,91.53,119.04,128.94,128.38,95.17,106.86,136.9,102.72,93.55,105.94,101.9,68.68,94.25
1,Other Revenue,-9,9,-,16.52,-8.02,8.02,-,14.98,-,-,-,13.76,-,-,-,10.3,-3.97,3.97,-,10
2,Revenue,142.07,151.72,147.3,135.93,133.76,133.18,139.61,106.51,119.04,128.94,128.38,108.93,106.86,136.9,102.72,103.86,101.97,105.87,68.68,104.25
3,Revenue Growth (YoY),6.21%,13.92%,5.51%,27.62%,12.37%,3.28%,8.75%,-2.22%,11.40%,-5.81%,24.98%,4.89%,4.79%,29.31%,49.56%,-0.38%,-,-,-,-
4,Cost of Revenue,96.66,107.82,98.32,95.42,94.55,95.12,97.99,76.01,87.39,91.37,91.23,80.05,74.5,94.87,69.43,72.64,72.38,72.99,49.62,55.05
5,Gross Profit,45.41,43.9,48.99,40.51,39.21,38.06,41.62,30.5,31.66,37.57,37.15,28.88,32.36,42.03,33.29,31.22,29.59,32.88,19.06,49.2
6,"Selling, General & Admin",10.32,9.85,8.65,12.15,8.72,7.83,7.31,10.93,6.82,8.06,6.08,7.22,5.15,5.65,6.42,6.99,4.81,4.68,4.73,22.13
7,Research & Development,4.67,5.38,4.86,12.48,5.2,4.73,3.86,3.62,3.83,5.09,3.31,4.3,3.68,4.78,3.05,4.18,3.38,2.01,2.6,12.61
8,Other Operating Expenses,-1.32,-2.32,1.04,4.07,0.69,-1.43,-0.79,1.96,-0.86,0.7,-0.94,11.27,-2.76,-0.65,-5.03,10.81,0.11,-0.66,-7.65,2.31
9,Operating Expenses,14.05,13.84,15.11,26.49,14.69,12.21,11.34,16.74,9.82,15.15,9.45,23.01,6.09,10.09,4.49,22.3,8.41,6.15,-0.13,37.32
10,Operating Income,31.37,30.07,33.88,14.03,24.52,25.85,30.28,13.76,21.84,22.42,27.7,5.88,26.26,31.94,28.8,8.92,21.18,26.73,19.19,11.88
11,Interest Expense,-0.88,-0.71,-0.28,-0.44,-0.14,-0,-0.15,-2.36,-,-0.16,-0.03,-,-,-0.05,-0.08,-0.41,-0.53,-0.51,-0.34,-0.98
12,Interest & Investment Income,0.14,-,0.63,0.46,0.11,0.61,0.22,-,0.03,3.7,0.63,4.22,1.52,2.18,1.09,0.05,0.13,0.06,0.11,0.29
13,Currency Exchange Gain (Loss),-0.42,0.42,-,-0.16,-0.12,0.12,-,1.06,-0.66,0.66,-,0.43,-0.11,0.11,-,-1.21,0.35,-0.35,-,0.15
14,Other Non Operating Income (Expenses),0.09,-0.27,-0.05,-0.44,-0.38,0.31,-0.47,-1.44,1.37,-0.06,-0.09,-8.98,-2.95,0.59,11.01,-24.03,4.34,20.14,-0.7,-0.71
15,EBT Excluding Unusual Items,30.3,29.51,34.19,13.45,23.98,26.89,29.89,11.02,22.58,26.56,28.21,1.55,24.72,34.77,40.83,-16.68,25.46,46.07,18.26,10.64
16,Gain (Loss) on Sale of Investments,-,0.04,0.26,-0.04,0.25,-0.01,2.58,2.32,1.93,0.73,2.81,-0.47,1.61,1,-,-0.04,-,-0.02,-0.05,-0.27
