,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6014,5476,4851,4795,5599,6654,7146,7904,7658,7075,8908,8504,10030,6383,-,-,-,-,-,-
1,Market Cap Growth,-17.71%,-17.71%,-32.11%,-39.34%,-26.89%,-5.94%,-19.78%,-7.05%,-23.65%,10.83%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4809,4262,3575,3743,4547,5710,6123,6902,6656,6072,7842,7328,8854,5412,-,-,-,-,-,-
3,Last Close Price,11.74,10.69,9.47,9.22,10.76,12.79,13.74,14.97,14.51,13.40,16.87,15.97,18.83,11.99,-,-,-,-,-,-
4,PE Ratio,26.65,24.15,22.25,21.96,25.72,37.13,40.00,45.46,45.39,38.69,48.98,49.46,62.11,38.79,-,-,-,-,-,-
5,Forward PE,23.48,21.17,18.75,17.85,22.13,20.84,24.47,26.52,28.27,21.92,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.59,2.35,2.11,2.04,2.32,2.66,2.66,2.89,2.84,2.66,3.59,3.65,4.62,3.17,-,-,-,-,-,-
7,PB Ratio,2.97,2.52,2.26,2.21,2.62,3.29,3.58,3.85,3.80,3.65,4.66,4.38,5.24,3.60,-,-,-,-,-,-
8,P/TBV Ratio,2.98,2.98,2.69,2.62,3.12,3.96,4.33,4.64,4.59,4.44,5.68,5.31,6.38,4.24,-,-,-,-,-,-
9,P/FCF Ratio,24.86,22.64,-,-,13.59,41.74,214.74,-,91.40,-,45.32,-,48.74,41.38,-,-,-,-,-,-
10,P/OCF Ratio,21.15,21.15,-,-,12.94,36.77,122.09,-,57.99,-,33.35,-,38.42,31.13,-,-,-,-,-,-
11,EV/Sales Ratio,2.06,1.83,1.55,1.60,1.88,2.29,2.28,2.52,2.47,2.28,3.16,3.14,4.08,2.69,-,-,-,-,-,-
12,EV/EBITDA Ratio,17.50,15.56,12.97,13.83,16.53,23.29,27.68,27.52,30.29,25.22,32.73,37.13,43.58,25.58,-,-,-,-,-,-
13,EV/EBIT Ratio,21.38,18.35,15.31,16.42,19.59,28.28,34.16,32.99,37.09,30.09,38.86,45.15,52.25,30.23,-,-,-,-,-,-
14,EV/FCF Ratio,19.88,17.62,-,-,11.03,35.81,183.99,-,79.44,-,39.89,-,43.03,35.08,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.01,-,-,-,-,-,-
16,Debt / EBITDA Ratio,0.21,0.25,0.25,0.39,0.16,0.31,0.33,0.41,0.21,0.49,0.26,0.92,0.19,0.16,-,-,-,-,-,-
17,Debt / FCF Ratio,0.24,0.24,-,-,0.19,0.47,2.23,-,0.90,-,0.44,-,0.40,0.14,-,-,-,-,-,-
18,Asset Turnover,0.43,0.54,0.35,0.99,0.43,0.64,0.46,1.14,0.64,0.70,0.41,1.19,-,-,-,-,-,0.69,-,
19,Inventory Turnover,3.12,2.42,3.15,2.10,5.79,2.21,3.53,2.68,5.97,2.98,3.30,2.25,6.86,-,-,-,-,-,4.38,-
20,Quick Ratio,1.36,1.36,1.45,1.50,1.44,1.36,1.46,1.50,1.49,1.26,1.25,1.25,1.35,1.46,-,-,1.40,-,1.38,1.38
21,Current Ratio,1.84,1.84,1.86,1.92,1.77,1.83,1.89,1.96,1.84,1.81,1.82,1.82,1.74,1.93,-,-,1.70,-,1.76,1.76
22,Return on Equity (ROE),5.88%,9.06%,6.12%,22.14%,5.23%,9.73%,6.60%,15.98%,5.06%,9.72%,5.85%,19.31%,-,-,-,27.60%,-0.38%,6.27%,-,
23,Return on Assets (ROA),2.97%,2.83%,2.28%,6.25%,3.35%,2.71%,2.77%,4.66%,1.85%,4.76%,0.79%,6.63%,-,-,-,-,-,2.01%,-,
24,Return on Capital (ROIC),5.50%,5.09%,4.18%,11.66%,6.01%,4.71%,4.91%,8.59%,3.43%,8.67%,1.47%,12.25%,-,-,-,19.08%,0.36%,3.85%,-,
25,Return on Capital Employed (ROCE),10.06%,10.38%,10.57%,10.24%,10.60%,9.63%,8.71%,9.81%,8.54%,9.95%,10.08%,8.11%,8.54%,9.81%,-,-,10.09%,-,2.96%,1.48%
26,Earnings Yield,3.77%,4.14%,4.49%,4.55%,3.89%,2.69%,2.50%,2.20%,2.20%,2.58%,2.04%,2.02%,1.61%,2.58%,-,-,-,-,-,-
