,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,1606,1648,1256,1670,2134,2217,1924,2096,2587,1676,2198,2936,3113,2999,-,-,-
1,Market Cap Growth,-25.67%,-25.67%,-34.71%,-20.34%,-17.53%,32.27%,-12.48%,-28.61%,-16.89%,-44.12%,-,-,-,-,-,-,-
2,Enterprise Value,1490,1500,1068,1387,1851,1845,1516,1625,2116,1152,1657,2341,2503,2928,-,-,-
3,Last Close Price,20.34,20.87,15.90,20.73,26.49,27.52,23.89,26.02,32.12,20.81,27.29,35.61,37.76,36.38,-,-,-
4,PE Ratio,-,-,-,-,-,127.95,91.46,-,-,40.24,48.56,52.78,45.44,37.19,-,-,-
5,PS Ratio,5.58,5.71,4.00,4.99,6.38,6.43,4.98,5.16,6.45,3.85,4.67,6.11,5.88,5.40,-,-,-
6,PB Ratio,2.22,2.15,1.60,2.09,2.60,2.68,2.48,2.76,3.43,2.21,2.92,3.68,3.95,3.89,-,-,-
7,P/TBV Ratio,2.40,2.40,1.79,2.35,2.91,2.99,2.56,2.85,3.54,2.29,3.02,3.77,4.01,3.96,-,-,-
8,P/FCF Ratio,-,-26.26,-,-,-,83.76,-,132.04,-81.87,-,-106.82,-,72.72,-,-,-,-
9,P/OCF Ratio,-,-40.09,-,-,-,42.26,-,60.87,2296.41,-,490.44,-,64.65,-,-,-,-
10,EV/Sales Ratio,5.16,5.20,3.40,4.14,5.54,5.35,3.92,4.00,5.28,2.65,3.52,4.87,4.73,5.27,-,-,-
11,EV/EBITDA Ratio,-,-,139.11,-,69.13,165.04,94.74,-,-,28.83,36.59,40.04,33.26,46.14,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-546.35,897.14,-,-,43.56,51.53,51.78,40.12,57.44,-,-,-
13,EV/FCF Ratio,-23.75,-23.90,-,-,-,69.70,-,102.35,-66.96,-,-80.51,-,58.47,-,-,-,-
14,Debt / Equity Ratio,0.31,0.31,0.28,0.34,0.22,0.21,0.21,0.20,0.13,0.08,0.08,0.03,0.03,0.04,-,0.15,0.15
15,Debt / EBITDA Ratio,-,-,60.44,-,14.62,7.23,2.12,-,-,1.38,2.05,0.50,0.41,0.48,-,0.32,-
16,Debt / FCF Ratio,-,-3.81,-,-,-,6.68,-,9.52,-3.20,-,-2.94,-,0.48,-,-,0.74,1.28
17,Asset Turnover,0.19,0.27,0.29,0.33,0.30,0.39,0.34,0.44,0.53,0.52,0.34,0.61,-,-,-,-,
18,Inventory Turnover,3.38,2.11,4.66,5.89,4.33,3.58,4.37,4.10,4.93,7.89,6.04,3.53,9.60,-,-,-,-
19,Quick Ratio,3.77,3.77,7.18,4.85,4.49,2.32,3.44,3.73,4.19,5.08,5.73,14.26,11.36,6.68,-,-,1.63
20,Current Ratio,4.60,4.60,8.32,5.43,5.02,2.66,3.73,3.92,4.48,5.37,6.00,15.30,11.61,6.82,-,-,1.83
21,Return on Equity (ROE),-9.69%,-2.13%,-1.76%,-0.27%,2.12%,8.31%,-1.33%,-1.60%,4.53%,2.34%,4.30%,9.53%,-,-,34.88%,-,
22,Return on Assets (ROA),-5.04%,-1.15%,-1.33%,-0.47%,0.60%,4.10%,-1.24%,-4.69%,2.14%,1.20%,2.05%,2.27%,-,-,-,-,
23,Return on Capital (ROIC),-5.33%,-1.20%,-1.40%,-0.51%,0.63%,4.18%,-1.28%,-5.01%,2.31%,1.26%,2.14%,2.45%,-,-,21.86%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-0.41%,0.22%,-,-,3.49%,4.27%,5.68%,7.91%,6.61%,-,-,-
25,Earnings Yield,-1.09%,-1.06%,0.10%,1.12%,0.88%,0.78%,1.09%,0.44%,0.79%,2.49%,2.06%,1.89%,2.20%,2.69%,-,-,-
26,FCF Yield,-3.91%,-3.81%,-3.78%,-2.84%,-0.53%,1.19%,-1.33%,0.76%,-1.22%,-2.65%,-0.94%,-0.29%,1.38%,2.10%,-,-,-
27,Dividend Yield,0.61%,-,-,-,0.47%,-,-,-,-,-,-,-,1.66%,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,9.76%,2.22%,-,-,5.43%,1008.08%,-,1.32%,2.41%,1.93%,1.42%,1.18%
29,Buyback Yield / Dilution,-0.29%,1.95%,-0.24%,-4.97%,2.26%,-4.54%,3.26%,0.55%,7.43%,-28.34%,-38.37%,-33.84%,-33.52%,-,-,-,-
30,Total Shareholder Return,0.32%,1.95%,-0.24%,-4.97%,2.73%,-4.54%,3.26%,0.55%,7.43%,-28.34%,-38.37%,-33.84%,-31.87%,-,-,-,-
