,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,291.51,190.31,296.72,442.4,176.16,201.45,585.8,375.24,363.35,231.09,358.78,223.75,122.85,-,-,196.71,-,134.59,134.59,238.05
1,Trading Asset Securities,-,-,-,-,200,230.22,-,-,-,-,-,212.19,-,-,-,-,-,-,-,30.75
2,Cash & Short-Term Investments,291.51,190.31,296.72,442.4,376.16,431.67,585.8,375.24,363.35,231.09,358.78,435.94,122.85,-,196.71,196.71,134.59,134.59,134.59,268.8
3,Cash Growth,-22.50%,-55.91%,-49.35%,17.90%,3.52%,86.80%,63.28%,-13.92%,195.76%,-,82.39%,121.62%,-8.72%,-,46.15%,-26.82%,-,-,-,-
4,Accounts Receivable,789.5,765.01,731.8,780.65,859.6,877.7,643.8,559.54,476.48,590.63,481.59,514.77,472.13,-,-,305.13,-,277.58,277.58,405.3
5,Other Receivables,66.65,0.05,149.14,0.03,9.53,0,5.19,0,5.62,0.05,4.92,0,4.25,-,-,0,-,3.7,3.7,0.03
6,Receivables,856.15,765.06,880.94,780.68,869.13,877.7,648.98,559.54,482.09,590.68,486.51,514.77,476.39,-,-,305.13,-,281.28,281.28,405.33
7,Inventory,397.17,430.82,362.35,344.68,155.73,158.31,84.66,102.06,83.96,63.5,96.45,53.78,53.71,-,-,52.62,-,28.14,28.14,141.27
8,Other Current Assets,272.91,446.36,432.02,502.09,249.16,117.37,83.39,56.48,87.37,80.14,74.39,46.36,51.63,-,-,26.67,-,20.32,20.32,22.65
9,Total Current Assets,1818,1833,1972,2070,1650,1585,1403,1093,1017,965.4,1016,1051,704.58,-,-,581.13,-,464.33,464.33,838.05
10,"Property, Plant & Equipment",165.53,10.05,9.74,10.13,10.65,10.95,11.58,12.55,14.36,12.5,9.97,11.57,10.51,-,-,7.47,-,5.09,5.09,5.69
11,Long-Term Investments,28.6,20,20,20,20,-,-,-,1.22,0.52,-,-,-,-,-,-,-,-,-,-
12,Goodwill,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,-,-,0.87,-,0.87,0.87,0.87
