,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,120.68,133.8,122.95,131.11,125.65,137.67,152.23,179.21,-,100.26,92.6,485.35,485.35,147.34,-,108.13
1,Short-Term Investments,173.94,141.06,141.3,141.14,140.97,192.2,191.58,190.97,-,295.21,313.03,20.42,20.42,1.18,-,-
2,Trading Asset Securities,41.31,43.12,73.68,72.86,78.58,72.84,67.08,81.32,-,132.72,152.05,48.04,48.04,16.2,-,26.29
3,Cash & Short-Term Investments,335.93,317.98,337.93,345.11,345.2,402.71,410.9,451.51,-,528.19,557.68,553.81,553.81,164.72,134.42,134.42
4,Cash Growth,-2.68%,-21.04%,-17.76%,-23.57%,-,-23.76%,-26.32%,-18.47%,-,220.66%,314.88%,312.00%,-,-,-,-
5,Accounts Receivable,83.24,80.52,77.23,74,61.86,67.46,67.38,71.01,-,80.53,87.21,97.57,97.57,88.93,-,81.3
6,Other Receivables,4.47,3.11,3.3,3.34,2.12,1.96,2.16,2.01,-,3.8,5.01,1.94,1.94,1.21,-,3.89
7,Receivables,87.72,83.64,80.53,77.34,63.98,69.42,69.55,73.02,-,84.33,92.22,99.51,99.51,90.14,-,85.19
8,Inventory,84.47,72.16,80.73,83.43,78.62,74.69,75.7,70.69,-,67.04,61.23,51.91,51.91,53.83,-,55.26
9,Prepaid Expenses,-,3.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,22.88,34.79,14.1,3.78,3.3,4.17,4.18,5.73,-,2.67,4.18,3.62,3.62,6.76,-,8.17
11,Total Current Assets,531,512.29,513.28,509.66,491.1,550.98,560.32,600.95,-,682.23,715.31,708.84,708.84,315.45,-,283.04
12,"Property, Plant & Equipment",49.01,42.41,55.56,58.59,60.78,63.89,55.28,55.94,-,68.57,71.37,74.55,74.55,86.53,-,91.48
13,Long-Term Investments,199.2,227.95,246.6,238.08,236.17,184.48,182.87,181.28,-,54.17,33.78,33.47,33.47,20.09,-,-
14,Goodwill,6.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
