,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,63.61,62.26,66.71,54.65,56.41,58.65,55.44,71.18,67.65,63.46,53.11,78.87,71.15,67.82,67.82,81.56,81.56,60.84,60.84
1,Other Revenue,-,-,-,0.35,-0,0,-,0.07,-0.06,0.06,-,-,-0.47,0.23,0.23,0.39,0.39,0.37,0.37
2,Revenue,63.61,62.26,66.71,55,56.41,58.65,55.44,71.25,67.59,63.52,53.11,78.87,70.68,68.05,68.05,81.95,81.95,61.21,61.21
3,Revenue Growth (YoY),12.77%,6.17%,20.32%,-22.82%,-16.54%,-7.67%,4.39%,-9.65%,-4.38%,-6.66%,-21.96%,-3.76%,-13.75%,11.18%,11.18%,-,-,-,-
4,Cost of Revenue,13.94,14.08,14.64,14.46,10.02,10.5,10.54,14.78,11.99,11.32,9.32,12.91,11.81,10.99,10.99,12.46,12.46,9.7,9.7
5,Gross Profit,49.67,48.18,52.06,40.54,46.39,48.14,44.9,56.47,55.6,52.19,43.78,65.95,58.87,57.06,57.06,69.49,69.49,51.51,51.51
6,"Selling, General & Admin",36.58,34.62,34.62,35.36,34.41,36.9,35.58,40.68,43.05,37.25,32.98,46.84,43.87,39.73,39.73,50.65,50.65,39.8,39.8
7,Research & Development,2.92,2.96,4.15,3.47,2.17,1.57,1.49,7.65,1.2,1.28,1.62,3.18,2.27,3.93,3.93,1.22,1.22,0.96,0.96
8,Other Operating Expenses,-2.11,2.38,0.72,11.54,0.34,-9.74,0.66,1.94,1.4,0.23,0.79,-3.37,0.26,1.19,1.19,2.25,2.25,1.93,1.93
9,Operating Expenses,37.6,39.85,40.2,49.83,37.06,28.71,37.8,50.09,45.7,39.09,35.12,46.69,46.33,44.88,44.88,54.38,54.38,42.39,42.39
10,Operating Income,12.07,8.33,11.86,-9.29,9.33,19.43,7.1,6.37,9.9,13.1,8.66,19.27,12.54,12.19,12.19,15.12,15.12,9.11,9.11
11,Interest Expense,-0.02,-0.02,-0.02,-0.05,-,-,-,-,-,-,-,-1.73,-,-,-,-,-,-,-
12,Interest & Investment Income,1.64,0.91,2.5,8.85,2.43,3.23,2.86,4.17,3.15,2.54,1.51,-,0.71,1.11,1.11,1.01,1.01,0.93,0.93
13,Other Non Operating Income (Expenses),-0.69,-0.04,-0.01,-3.69,-0.15,-0.03,-0.01,0.01,-0.01,-0.02,-1.01,2.38,-0.18,-0.14,-0.14,0.03,0.03,-0.01,-0.01
14,EBT Excluding Unusual Items,13.01,9.18,14.33,-4.18,11.6,22.64,9.95,10.56,13.04,15.61,9.16,19.92,13.07,13.16,13.16,16.15,16.15,10.04,10.04
15,Gain (Loss) on Sale of Investments,0.32,0.25,0.55,-1.17,1.5,1.55,1.27,1.17,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0.5,-0.5,-0,1.87,-,-,-,0,-0,-,-,-,-,-,-,-,-,-0.01,-0.01
17,Asset Writedown,-0.47,0.07,-0.07,0.53,-0.58,0.06,-0.18,0.02,-0.02,-0.02,0.02,-0.02,-0.08,-0,-0,-0,-0,-0,-0
18,Other Unusual Items,-2.25,2.76,1.3,13.45,-,-,-,0.1,0.8,-,-,-,-0.1,0.05,0.05,1.04,1.04,2.24,2.24
19,Pretax Income,11.11,11.76,16.1,10.5,12.52,24.25,11.04,11.85,13.82,15.59,9.18,19.9,12.89,13.21,13.21,17.2,17.2,12.27,12.27
20,Income Tax Expense,1.49,1.35,2.06,1.29,1.55,3.5,1.47,3.24,2.43,2.76,1.27,2.04,1.82,1.67,1.67,2.74,2.74,1.85,1.85
21,Net Income,9.61,10.41,14.04,9.21,10.97,20.75,9.58,8.6,11.38,12.83,7.91,17.87,11.07,11.54,11.54,14.45,14.45,10.42,10.42
22,Net Income to Common,9.61,10.41,14.04,9.21,10.97,20.75,9.58,8.6,11.38,12.83,7.91,17.87,11.07,11.54,11.54,14.45,14.45,10.42,10.42
23,Net Income Growth,-12.36%,-49.83%,46.66%,7.03%,-3.63%,61.72%,21.11%,-51.85%,2.84%,11.17%,-31.50%,23.61%,-23.41%,10.79%,10.79%,-,-,-,-
24,Shares Outstanding (Basic),73,81,81,81,81,81,81,81,81,81,67,61,61,61,61,61,61,61,61
25,Shares Outstanding (Diluted),73,81,81,81,81,81,81,81,81,81,67,61,61,61,61,61,61,61,61
26,Shares Change (YoY),-9.35%,0.03%,-0.01%,-0.02%,0.08%,-0.04%,19.99%,33.39%,33.23%,33.37%,11.13%,-0.04%,0.03%,-0.00%,-0.00%,-,-,-,-
27,EPS (Basic),0.13,0.13,0.17,0.11,0.14,0.26,0.12,0.11,0.14,0.16,0.12,0.29,0.18,0.19,0.19,0.24,0.24,0.17,0.17
28,EPS (Diluted),0.13,0.13,0.17,0.11,0.14,0.26,0.12,0.11,0.14,0.16,0.12,0.29,0.18,0.19,0.19,0.24,0.24,0.17,0.17
29,EPS Growth,-3.32%,-49.85%,46.67%,7.06%,-3.71%,61.78%,0.94%,-63.90%,-22.81%,-16.65%,-38.36%,23.66%,-23.44%,10.79%,10.79%,-,-,-,-
30,Free Cash Flow,-40.66,1.14,-33.86,-9.68,-52.95,0.76,-6.92,-3.56,-11.39,13.6,14.17,25.19,-2.68,7.66,7.66,15.97,15.97,9.04,9.04
31,Free Cash Flow Per Share,-0.55,0.01,-0.42,-0.12,-0.65,0.01,-0.09,-0.04,-0.14,0.17,0.21,0.42,-0.04,0.13,0.13,0.26,0.26,0.15,0.15
32,Dividend Per Share,-,-,-,0.260,-,-,-,0.160,-,-,-,-,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,62.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,78.08%,77.38%,78.05%,73.71%,82.24%,82.09%,80.99%,79.25%,82.27%,82.17%,82.44%,83.63%,83.29%,83.85%,83.85%,84.80%,84.80%,84.15%,84.15%
35,Operating Margin,18.97%,13.38%,17.78%,-16.90%,16.54%,33.14%,12.81%,8.95%,14.65%,20.62%,16.31%,24.43%,17.74%,17.91%,17.91%,18.45%,18.45%,14.89%,14.89%
36,Profit Margin,15.11%,16.72%,21.05%,16.74%,19.45%,35.38%,17.27%,12.07%,16.84%,20.20%,14.89%,22.65%,15.66%,16.96%,16.96%,17.64%,17.64%,17.02%,17.02%
37,Free Cash Flow Margin,-63.91%,1.84%,-50.76%,-17.60%,-93.86%,1.30%,-12.48%,-5.00%,-16.85%,21.42%,26.69%,31.94%,-3.79%,11.25%,11.25%,19.49%,19.49%,14.77%,14.77%
38,EBITDA,16.71,14.47,16.5,-4.66,13.95,24.05,11.72,11,14.58,17.7,13.34,23.94,17.26,16.9,16.9,20.22,20.22,14.24,14.24
39,EBITDA Margin,26.26%,23.24%,24.73%,-8.47%,24.73%,41.00%,21.15%,15.43%,21.57%,27.87%,25.12%,30.36%,24.41%,24.83%,24.83%,24.68%,24.68%,23.26%,23.26%
