,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Mar '21 Mar 31, 2021"
0,Market Capitalization,4337,4269,5632,3379,4234,4187,4334,4352,3749,3657,-,-,-,-
1,Market Cap Growth,1.97%,1.97%,29.94%,-22.37%,12.94%,14.48%,-,-,-,-,-,-,-,-
2,Enterprise Value,3575,3555,4850,2518,3374,3291,3396,3434,2831,3526,-,-,-,-
3,Last Close Price,29.29,28.95,38.19,22.46,28.15,27.83,28.81,28.58,24.62,24.02,-,-,-,-
4,PE Ratio,46.51,46.19,57.01,36.60,38.57,38.32,39.21,41.37,35.09,31.05,-,-,-,-
5,PS Ratio,3.47,3.44,4.60,2.87,3.48,3.73,3.92,4.10,3.60,3.21,-,-,-,-
6,PB Ratio,2.49,2.46,3.32,1.97,2.48,2.49,2.65,2.62,2.29,2.26,-,-,-,-
7,P/TBV Ratio,2.48,2.48,3.35,1.98,2.51,2.52,2.67,2.65,2.32,2.29,-,-,-,-
8,P/FCF Ratio,-,-48.46,-,-,-,-,-,-,-204.46,-,-,-,-,-
9,P/OCF Ratio,40.59,40.59,56.92,25.68,36.54,25.91,35.54,48.77,35.69,-,-,-,-,-
10,EV/Sales Ratio,2.88,2.87,3.96,2.14,2.77,2.93,3.07,3.23,2.72,3.10,-,-,-,-
11,EV/EBITDA Ratio,27.44,28.33,40.04,19.35,22.88,26.92,29.13,29.63,-,23.81,-,-,-,-
12,EV/EBIT Ratio,52.96,52.66,76.43,35.03,37.69,50.90,56.82,57.38,-,37.65,-,-,-,-
13,EV/FCF Ratio,-40.58,-40.35,-,-,-,-,-,-,-154.42,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,-,0.12,0.13,0.18
15,Debt / EBITDA Ratio,0.56,0.32,0.80,0.92,0.55,0.32,0.53,0.44,2.65,0.35,-,0.45,0.76,0.59
16,Debt / FCF Ratio,-,-0.83,-,-,-,-,-,-,-2.46,-,-,1.69,2.55,27.44
17,Asset Turnover,0.56,0.59,0.42,0.58,0.57,0.53,0.51,0.44,-,-,0.82,-,-,
18,Inventory Turnover,7.22,7.53,8.76,7.06,8.64,7.11,7.56,6.86,6.70,-,-,7.29,-,-
19,Quick Ratio,2.04,2.04,2.24,2.45,2.56,2.59,2.65,2.90,2.85,2.98,-,1.06,1.02,-
20,Current Ratio,2.23,2.23,2.48,2.67,2.76,2.89,2.93,3.19,3.12,3.22,-,1.30,1.24,-
21,Return on Equity (ROE),7.62%,7.54%,1.59%,4.90%,9.43%,6.23%,5.90%,4.97%,-,-,15.56%,-,-,
22,Return on Assets (ROA),4.41%,0.80%,0.83%,1.13%,4.27%,1.79%,2.88%,-1.71%,-,-,6.61%,-,-,
23,Return on Capital (ROIC),5.91%,1.04%,1.06%,1.45%,5.54%,2.31%,3.70%,-2.18%,-,-,11.11%,-,-,
24,Return on Capital Employed (ROCE),3.81%,3.81%,3.67%,4.10%,5.13%,3.76%,3.56%,3.52%,-,5.70%,-,10.37%,5.91%,-
25,Earnings Yield,2.13%,2.16%,1.75%,2.73%,2.59%,2.61%,2.55%,2.42%,2.85%,3.22%,-,-,-,-
26,FCF Yield,-2.03%,-2.06%,-2.76%,-4.24%,-3.60%,-0.52%,-0.50%,-1.06%,-0.49%,-0.69%,-,-,-,-
27,Dividend Yield,1.38%,-,-,-,1.44%,-,-,-,1.34%,-,-,-,-,-
28,Payout Ratio,66.58%,1.68%,187.16%,5.77%,2.00%,1.09%,191.31%,1.34%,1.85%,1.91%,7.91%,-,3.18%,3.43%
29,Buyback Yield / Dilution,1.24%,8.07%,-4.04%,0.02%,0.69%,-24.33%,-36.24%,-30.76%,-33.86%,-8.48%,-,-,-,-
30,Total Shareholder Return,2.62%,8.07%,-4.04%,0.02%,2.14%,-24.33%,-36.24%,-30.76%,-32.52%,-8.48%,-,-,-,-
