,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,149.37,122.27,114.02,88.45,135.94,123.32,113.64,65.37,172.52,176.96,153.72,141.85,141.85,119.33,119.33
1,Other Revenue,-14,14,-,23.25,-10.57,10.57,-,50.69,-38.46,38.46,-,5.51,5.51,6.01,6.01
2,Revenue,135.37,136.27,114.02,111.7,125.37,133.89,113.64,116.06,134.06,215.42,153.72,147.36,147.36,125.34,125.34
3,Revenue Growth (YoY),7.98%,1.78%,0.34%,-3.76%,-6.48%,-37.85%,-26.07%,-21.24%,-9.03%,71.87%,22.64%,-,-,-,-
4,Cost of Revenue,114.04,125.09,107.18,97.05,104.2,117.28,92.72,105.96,111.69,158.96,107.29,109.78,109.78,90.24,90.24
5,Gross Profit,21.33,11.18,6.84,14.65,21.18,16.61,20.92,10.11,22.37,56.46,46.43,37.58,37.58,35.1,35.1
6,"Selling, General & Admin",8.21,8.99,6.26,8.94,6.9,10.45,3.74,3.53,6.58,5.1,4.81,5.27,5.27,4.59,4.59
7,Research & Development,5.36,4.91,3.68,2.92,5.52,5.3,3.39,3.73,4.87,6.74,5.78,5.35,5.35,4.59,4.59
8,Other Operating Expenses,-2.01,-2.2,0.56,1.97,-0.63,-6.64,-0.1,5.68,-0.45,-1.24,0.69,0.89,0.89,0.57,0.57
9,Operating Expenses,12.05,12.53,10.75,12.44,13.53,11.03,5.4,8.06,11.16,14.57,11.27,13.26,13.26,11.11,11.11
10,Operating Income,9.28,-1.35,-3.91,2.21,7.65,5.58,15.52,2.04,11.21,41.89,35.16,24.32,24.32,23.99,23.99
11,Interest Expense,-0.06,-0.07,-0.09,-0.01,-0.23,-0.17,-1.06,-1.24,-1.28,-1.58,-1.93,-1.44,-1.44,-0.98,-0.98
12,Interest & Investment Income,2.39,3.16,6.28,6.19,7.41,7.97,0.63,0.07,0.02,0.02,0.02,0.04,0.04,0.04,0.04
13,Currency Exchange Gain (Loss),-0.65,0.65,-,0.33,-1.36,1.36,-,7.51,-4.19,4.19,-,-0.18,-0.18,-0.25,-0.25
14,Other Non Operating Income (Expenses),-0.82,-0.66,0.31,-1.59,1.36,0.37,0.08,-9.74,8.42,1,0,-0.03,-0.03,-0.07,-0.07
15,EBT Excluding Unusual Items,10.15,1.71,2.59,7.13,14.82,15.12,15.16,-1.36,14.19,45.52,33.25,22.71,22.71,22.72,22.72
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.22,-1.66,-0.91,0.15,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.07,-0.03,-,0.71,-0.17,-0.52,-0.01,-,-,-,0.13,0.03,0.03,0.02,0.02
18,Asset Writedown,-2.02,0.86,-0.86,0.78,-1.8,0.25,-0.25,1.57,-1.65,1.04,-1.04,-,-,-0,-0
19,Other Unusual Items,-2.07,-0.76,2.83,2.49,0.23,-0.23,-,12.05,0.07,-0.07,-,2.15,2.15,0.92,0.92
20,Pretax Income,6.13,1.78,4.56,11.12,13.09,14.61,14.9,12.04,10.94,45.58,32.49,24.89,24.89,23.67,23.67
21,Income Tax Expense,1.03,0.2,0.51,1.11,1.22,1.45,1.8,0.5,1.22,5.88,4.07,3.03,3.03,2.95,2.95
22,Net Income,5.1,1.58,4.04,10.01,11.86,13.15,13.1,11.54,9.72,39.7,28.42,21.86,21.86,20.71,20.71
23,Net Income to Common,5.1,1.58,4.04,10.01,11.86,13.15,13.1,11.54,9.72,39.7,28.42,21.86,21.86,20.71,20.71
24,Net Income Growth,-57.01%,-88.00%,-69.13%,-13.25%,22.05%,-66.87%,-53.91%,-47.20%,-55.53%,91.65%,37.20%,-,-,-,-
25,Shares Outstanding (Basic),124,124,124,124,124,93,124,92,93,93,93,93,93,94,94
26,Shares Outstanding (Diluted),124,124,124,124,124,93,124,92,93,93,93,93,93,94,94
27,Shares Change (YoY),-0.27%,33.51%,0.01%,34.84%,33.29%,0.00%,33.35%,-1.09%,0.33%,-0.56%,-0.55%,-,-,-,-
28,EPS (Basic),0.04,0.01,0.03,0.08,0.10,0.14,0.11,0.13,0.10,0.43,0.31,0.24,0.24,0.22,0.22
29,EPS (Diluted),0.04,0.01,0.03,0.08,0.10,0.14,0.11,0.13,0.10,0.43,0.31,0.24,0.24,0.22,0.22
30,EPS Growth,-56.90%,-91.01%,-69.13%,-35.66%,-8.43%,-66.87%,-65.43%,-46.61%,-55.68%,92.73%,37.95%,-,-,-,-
31,Free Cash Flow,-12.5,-75.29,-59.33,6.59,-86.07,8.65,72.3,91.04,26.16,25.6,0.39,-24.84,-24.84,-12.84,-12.84
32,Free Cash Flow Per Share,-0.10,-0.61,-0.48,0.05,-0.69,0.09,0.58,0.99,0.28,0.28,0.00,-0.27,-0.27,-0.14,-0.14
33,Dividend Per Share,-,-,-,0.214,-,-,-,0.143,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,49.97%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,15.76%,8.20%,6.00%,13.11%,16.89%,12.41%,18.41%,8.71%,16.69%,26.21%,30.20%,25.50%,25.50%,28.01%,28.01%
36,Operating Margin,6.86%,-0.99%,-3.43%,1.98%,6.10%,4.17%,13.65%,1.76%,8.36%,19.45%,22.87%,16.50%,16.50%,19.14%,19.14%
37,Profit Margin,3.77%,1.16%,3.55%,8.96%,9.46%,9.82%,11.53%,9.94%,7.25%,18.43%,18.49%,14.83%,14.83%,16.53%,16.53%
38,Free Cash Flow Margin,-9.23%,-55.25%,-52.04%,5.90%,-68.65%,6.46%,63.62%,78.44%,19.52%,11.88%,0.26%,-16.86%,-16.86%,-10.24%,-10.24%
39,EBITDA,13.18,2.95,-0.01,6.1,11.26,9.39,19.12,5.65,14.57,45.27,38.52,27.74,27.74,27.29,27.29
40,EBITDA Margin,9.73%,2.16%,-0.01%,5.46%,8.98%,7.01%,16.83%,4.87%,10.87%,21.02%,25.06%,18.82%,18.82%,21.78%,21.78%
41,D&A For EBITDA,3.89,4.3,3.89,3.89,3.61,3.82,3.61,3.61,3.36,3.38,3.36,3.42,3.42,3.3,3.3
42,EBIT,9.28,-1.35,-3.91,2.21,7.65,5.58,15.52,2.04,11.21,41.89,35.16,24.32,24.32,23.99,23.99
43,EBIT Margin,6.86%,-0.99%,-3.43%,1.98%,6.10%,4.17%,13.65%,1.76%,8.36%,19.45%,22.87%,16.50%,16.50%,19.14%,19.14%
44,Effective Tax Rate,16.75%,11.28%,11.29%,9.94%,9.34%,9.94%,12.09%,4.12%,11.16%,12.90%,12.54%,12.16%,12.16%,12.48%,12.48%
45,Revenue as Reported,135.37,136.27,114.02,111.7,125.37,133.89,113.64,116.06,503.2,-,153.72,-,-,-,-
