,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,722.54,214.12,124.18,81.88,541.49,511.95,501.11,417.03,558.79,458.09,153.26,993.05,1591,1685,1097,1260,1260,290.6
1,Other Revenue,-23.43,23.43,-,48.89,-25.17,25.17,-,45.56,-38.89,38.89,-,92.07,-52.48,52.48,-,14.43,14.43,-
2,Revenue,699.1,237.56,124.18,130.77,516.32,537.12,501.11,462.59,519.9,496.98,153.26,1085,1538,1738,1097,1275,1275,290.6
3,Revenue Growth (YoY),35.40%,-55.77%,-75.22%,-71.73%,-0.69%,8.08%,226.97%,-57.37%,-66.20%,-71.40%,-86.03%,-14.88%,20.66%,497.97%,-,-,-,-
4,Cost of Revenue,625.77,253.41,117.91,169.42,482.3,455.6,423.53,379.88,443.78,418.16,143.03,812.68,1048,1228,777.98,969.65,969.65,260.45
5,Gross Profit,73.33,-15.85,6.27,-38.66,34.01,81.52,77.58,82.71,76.13,78.83,10.23,272.44,489.84,509.38,319.4,305.09,305.09,30.15
6,"Selling, General & Admin",34.74,26.69,25.39,24.79,24.39,22.99,21.21,22.46,18.33,15.61,13.84,19.32,18.98,19.46,14.64,13.78,13.78,-
7,Research & Development,7.01,7.75,6.04,7.68,6.9,5.44,4.93,3.33,2.6,3.91,3.54,4.3,4.33,4.75,4.27,4.96,4.96,-
8,Other Operating Expenses,-0.23,5.78,1.99,6.06,4.82,5.05,-13.36,86.34,-0.17,0.35,-72.87,17.45,5.15,4.85,-5.31,5.12,5.12,-
9,Operating Expenses,47.47,-15.73,-29.37,164.18,82.72,45.34,0.67,224.65,42.04,38.59,-58.04,77.53,35.01,60.92,13.51,36.06,36.06,-
10,Operating Income,25.87,-0.13,35.64,-202.84,-48.7,36.19,76.91,-141.93,34.09,40.24,68.27,194.91,454.83,448.46,305.89,269.03,269.03,30.15
11,Interest Expense,-7.04,-16.55,-5.36,-11.37,-5.96,-4.35,-2.33,-,-1.75,-2.74,-3.95,-4.69,-6.39,-5.55,-7.44,-5.57,-5.57,-
12,Interest & Investment Income,5.97,-,57.82,-,6.63,24.78,20.09,27.63,21.53,84.18,27.15,6.14,0.85,1.12,1.47,0.68,0.68,-
13,Other Non Operating Income (Expenses),-1.79,-0.83,0.37,-6.23,-0.12,2.33,-0.23,-0.96,-0.58,0.91,-1.69,-0.22,0.09,-0.81,-0.13,0.06,0.06,-0.03
14,EBT Excluding Unusual Items,23,-17.5,88.46,-220.44,-48.15,58.95,94.44,-115.26,53.28,122.59,89.77,196.13,449.38,443.22,299.79,264.2,264.2,30.12
15,Gain (Loss) on Sale of Investments,-,-,-,-,-1.21,0.94,0.27,-1.57,-0.38,-1.5,3.45,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0.02,0.01,-,-0,-0.52,0.11,-0.03,-0.31,0.01,0.05,-,-,-,-0.1,0.02,-0.61,-0.61,-
17,Asset Writedown,-54.48,4.3,-4.3,25.15,-25.15,-1.08,1.08,-3.01,3.01,2.35,-2.35,20.07,-20.07,28.17,-28.17,0,-0,-
18,Other Unusual Items,-2.66,7.31,-,17.76,-2.22,2.22,-,81.24,0.04,-0.04,-,10.6,0.35,-0.35,-,0.61,0.61,-
19,Pretax Income,-34.16,-5.88,84.16,-177.54,-77.25,61.15,95.75,-38.91,55.97,123.46,90.87,226.81,429.66,470.94,271.63,264.2,264.2,30.12
20,Income Tax Expense,-12.91,-39.65,11.21,-23.27,-7.36,6.15,13.08,-5.91,3.89,8.94,12.69,21.76,71.91,83.16,45.38,47.13,47.13,13.18
21,Earnings From Continuing Operations,-21.26,33.77,72.94,-154.28,-69.89,54.99,82.67,-33,52.08,114.52,78.18,205.04,357.75,387.78,226.25,217.06,217.06,16.94
22,Minority Interest in Earnings,0.43,0.21,0.71,1.17,0.02,-2.17,-0.57,-2.89,-1.8,-0.69,-1.59,-8.89,-23.73,-13.57,-17.6,-16.45,-16.45,-
23,Net Income,-20.83,33.98,73.66,-153.1,-69.87,52.82,82.1,-35.89,50.27,113.82,76.58,196.15,334.02,374.21,208.65,200.62,200.62,16.94
24,Net Income to Common,-20.83,33.98,73.66,-153.1,-69.87,52.82,82.1,-35.89,50.27,113.82,76.58,196.15,334.02,374.21,208.65,200.62,200.62,16.94
25,Net Income Growth,-,-35.68%,-10.28%,-,-,-53.60%,7.20%,-,-84.95%,-69.58%,-63.30%,-2.23%,66.49%,2108.50%,-,-,-,-
26,Shares Outstanding (Basic),220,214,217,209,215,219,216,221,218,214,219,181,163,164,163,163,163,-
27,Shares Outstanding (Diluted),220,214,223,209,215,219,216,221,218,214,219,181,163,164,163,163,163,-
28,Shares Change (YoY),2.42%,-2.41%,3.31%,-5.62%,-1.13%,2.45%,-1.26%,22.03%,33.67%,30.83%,34.23%,10.78%,-0.33%,-,-,-,-,-
29,EPS (Basic),-0.09,0.16,0.34,-0.73,-0.32,0.24,0.38,-0.16,0.23,0.53,0.35,1.08,2.05,2.29,1.28,1.23,1.23,-
30,EPS (Diluted),-0.09,0.16,0.33,-0.73,-0.32,0.24,0.38,-0.16,0.23,0.53,0.35,1.08,2.05,2.29,1.28,1.23,1.23,-
31,EPS Growth,-,-34.09%,-13.16%,-,-,-54.70%,8.57%,-,-88.74%,-76.75%,-72.66%,-11.74%,67.05%,-,-,-,-,-
32,Free Cash Flow,69.8,-219.85,-420.38,-42.85,-358.94,-209.36,-331.59,-48.96,-9.9,-371.45,-249.2,147.65,308.95,75.33,-68.37,-72.04,-72.04,-
33,Free Cash Flow Per Share,0.32,-1.03,-1.88,-0.21,-1.67,-0.96,-1.53,-0.22,-0.05,-1.74,-1.14,0.82,1.90,0.46,-0.42,-0.44,-0.44,-
34,Dividend Per Share,-,-,-,-,-,-,-,0.100,-,-,-,0.900,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-,-,-,-,-88.89%,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,10.49%,-6.67%,5.05%,-29.56%,6.59%,15.18%,15.48%,17.88%,14.64%,15.86%,6.67%,25.11%,31.85%,29.31%,29.11%,23.93%,23.93%,10.37%
37,Operating Margin,3.70%,-0.05%,28.70%,-155.12%,-9.43%,6.74%,15.35%,-30.68%,6.56%,8.10%,44.54%,17.96%,29.57%,25.81%,27.87%,21.10%,21.10%,10.37%
