,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,480.19,491.7,444.09,730.75,480.98,465.24,539.85,799.76,585.55,599.45,-,82.7,-,29.27,29.27,8.32,8.32
1,Trading Asset Securities,75.35,160.13,230.71,10.02,180.59,251.36,201.26,-,220.32,200.33,-,50.02,-,60.22,60.22,62.49,62.49
2,Cash & Short-Term Investments,555.54,651.83,674.81,740.77,661.57,716.6,741.11,799.76,805.88,799.78,132.72,132.72,-,89.48,89.48,70.81,70.81
3,Cash Growth,-16.03%,-9.04%,-8.95%,-7.38%,-17.91%,-10.40%,458.41%,502.61%,-,793.77%,48.31%,87.42%,-,-,-,-,-
4,Accounts Receivable,407.59,362.97,344.43,314.83,308.16,281.26,264.94,250.91,221.4,217.23,-,199.24,-,177.54,177.54,102.73,102.73
5,Other Receivables,7.92,7.24,8.22,10.67,10.24,5.51,22.48,3.96,4.05,4.09,-,3.06,-,2.61,2.61,2.45,2.45
6,Receivables,415.51,370.21,352.65,325.5,318.4,286.77,287.42,254.86,225.45,221.32,-,202.3,-,180.15,180.15,105.18,105.18
7,Inventory,107.97,83.73,72.88,84.12,80.16,70.44,71.59,80.71,77.18,73.54,-,68.15,-,42.08,42.08,41.49,41.49
8,Other Current Assets,27.27,16.83,19.87,8.23,4.87,3.56,3.41,2.27,3.07,4.87,-,6.43,-,6.12,6.12,3.71,3.71
9,Total Current Assets,1106,1123,1120,1159,1065,1077,1104,1138,1112,1100,-,409.6,-,317.84,317.84,221.19,221.19
10,"Property, Plant & Equipment",298.01,152.93,136.71,63.62,49.57,31.15,36.14,16.03,16.13,15.96,-,13.23,-,10.18,10.18,2.2,2.2
11,Long-Term Investments,149.71,148.49,145.94,139.97,130.1,82.33,77.02,74.91,12.82,12.82,-,-,-,-,-,0.13,0.13
12,Other Intangible Assets,9.22,9.41,9.72,1.23,6.3,4.03,2.01,0.28,0.32,0.35,-,0.36,-,0.27,0.27,0.35,0.35
13,Long-Term Accounts Receivable,-,4.45,-,3.47,-,3.13,-,2.88,4.56,3.85,-,3.64,-,3.22,3.22,-,-
14,Long-Term Deferred Tax Assets,10.83,9.67,11.22,10.21,8.9,7.37,6.26,5.35,4.11,3.91,-,3.47,-,2.77,2.77,1.68,1.68
15,Long-Term Deferred Charges,18,14.09,10,17.71,9.11,0.09,0.67,0.89,1.1,0.84,-,1.21,-,1.59,1.59,1.66,1.66
16,Other Long-Term Assets,5.45,5.84,9.97,3.79,5.1,8.77,7.05,0.54,-,0.56,-,-,-,-,-,-,-
17,Total Assets,1597,1467,1444,1399,1274,1214,1233,1238,1151,1138,-,431.51,-,335.87,335.87,227.22,227.22
18,Accounts Payable,132.5,120.04,105.71,132.71,93.3,66.67,66.43,102.79,86.48,90.16,-,98.22,-,64.02,64.02,32.5,32.5
19,Accrued Expenses,14.67,16.41,14.26,38.66,12.62,15.93,15.55,28.58,9.69,9.3,-,19.44,-,8.12,8.12,5.49,5.49
20,Short-Term Debt,14.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Long-Term Debt,-,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,17.43,16.7,16.84,15.82,6.59,4.26,-,3.38,4.26,4.84,-,3.3,-,3.36,3.36,-,-
23,Current Income Taxes Payable,14.95,3.12,6.66,1.78,11.77,5.61,7.27,1.85,4.94,3.31,-,4.55,-,3.09,3.09,2.34,2.34
24,Current Unearned Revenue,87.13,87.83,81.85,81.63,69.97,72.62,75.62,74.83,63.37,60.99,-,50.54,-,44.25,44.25,33.96,33.96
25,Other Current Liabilities,79.88,47.25,56.86,22.77,15.44,19.66,25.31,18.05,8.24,10.18,-,7.05,-,6,6,4.53,4.53
26,Total Current Liabilities,361.13,291.38,282.18,293.37,209.7,184.75,190.17,229.47,176.99,178.78,-,183.09,-,128.83,128.83,78.81,78.81
27,Long-Term Debt,18.15,1.07,1.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,54.58,35.11,37.61,30.2,28.03,17.91,19.86,1.66,2.01,2.64,-,2.02,-,3.69,3.69,-,-
29,Long-Term Deferred Tax Liabilities,2.13,1.99,2.83,1.87,1.25,1.39,1.37,1.3,0.05,0.05,-,0,-,0.03,0.03,0.07,0.07
30,Total Liabilities,435.99,329.55,323.72,325.44,238.98,204.05,211.4,232.43,179.04,181.47,-,185.11,-,132.56,132.56,78.89,78.89
31,Common Stock,100.15,100.15,99.25,99.25,99.25,99.25,70.89,70.89,70.89,70.89,-,53.16,-,53.16,53.16,53.16,53.16
32,Additional Paid-In Capital,760.54,756.9,719.52,715.88,710.23,704.8,727.92,722.68,718.36,718.36,-,24.35,-,24.35,24.35,24.35,24.35
33,Retained Earnings,259.83,241.32,263.62,251.28,218.85,200.18,216.42,206.02,175.47,160.02,-,170.84,-,127.76,127.76,72.65,72.65
34,Comprehensive Income & Other,5.84,5.84,5.84,5.84,5.5,5.5,5.5,5.5,7.01,7.01,-,-2,-,-2,-2,-1.88,-1.88
35,Total Common Equity,1126,1104,1088,1072,1034,1010,1021,1005,971.74,956.29,246.35,246.35,-,203.27,203.27,148.28,148.28
36,Minority Interest,35.14,33.71,31.81,0.91,1.27,0.45,0.54,0.95,-0.17,0.04,-,0.04,-,0.05,0.05,0.05,0.05
37,Shareholders' Equity,1162,1138,1120,1073,1035,1010,1021,1006,971.57,956.32,246.39,246.39,-,203.31,203.31,148.33,148.33
38,Total Liabilities & Equity,1597,1467,1444,1399,1274,1214,1233,1238,1151,1138,-,431.51,-,335.87,335.87,227.22,227.22
39,Total Debt,104.74,52.9,55.54,46.03,34.62,22.17,19.86,5.04,6.27,7.49,5.32,5.32,-,7.05,7.05,-,-
40,Net Cash (Debt),450.8,598.93,619.27,694.74,626.95,694.43,721.25,794.72,799.61,792.29,127.4,127.4,-,82.43,82.43,70.81,70.81
41,Net Cash Growth,-28.10%,-13.75%,-14.14%,-12.58%,-21.59%,-12.35%,466.14%,523.81%,-,861.16%,54.55%,79.91%,-,-,-,-,-
42,Net Cash Per Share,4.38,6.27,6.02,6.87,6.03,6.53,7.63,7.92,8.10,8.40,1.72,1.70,-,1.10,1.10,0.97,0.97
43,Filing Date Shares Outstanding,100.15,100.15,99.25,99.25,99.25,99.25,99.25,99.25,98.66,99.25,74.28,74.43,73.61,74.43,74.43,74.43,74.43
44,Total Common Shares Outstanding,100.15,100.15,99.25,99.25,99.25,99.25,99.25,99.25,98.66,99.25,74.28,74.43,73.61,74.43,74.43,74.43,74.43
