,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4727,3546,3224,3037,3500,3650,4246,3273,2655,3253,4272,3571,4687,-,-,-
1,Market Cap Growth,-2.85%,-2.85%,-24.06%,-7.21%,31.84%,12.17%,-0.62%,-8.33%,-43.36%,-,-,-,-,-,-,-
2,Enterprise Value,3966,2811,2506,2219,2682,2830,3473,2386,1768,2313,3324,3430,4546,-,-,-
3,Last Close Price,35.45,26.59,24.18,22.71,26.17,27.29,31.75,24.42,19.80,24.27,31.87,26.53,34.83,-,-,-
4,PE Ratio,68.94,51.71,58.27,68.92,123.83,104.49,145.79,80.27,123.50,127.12,141.87,-,64.94,-,-,-
5,PS Ratio,4.36,3.27,2.75,2.49,3.59,3.40,5.14,4.50,3.78,4.34,5.26,4.40,5.78,-,-,-
6,PB Ratio,2.60,1.95,1.80,1.70,1.99,2.07,2.43,1.86,1.52,1.87,2.47,2.07,2.70,-,-,-
7,P/TBV Ratio,2.01,2.01,1.85,1.75,2.05,2.14,2.51,1.93,1.57,1.94,2.56,2.14,2.80,-,-,-
8,P/FCF Ratio,139.75,104.82,93.32,-,-,-43.34,-24.80,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,35.25,35.25,32.32,-,141.36,-104.61,-42.73,-,-,-37.84,-,-,-,-,-,-
10,EV/Sales Ratio,3.66,2.59,2.14,1.82,2.75,2.64,4.20,3.28,2.52,3.09,4.09,4.23,5.60,-,-,-
11,EV/EBITDA Ratio,52.31,37.73,48.25,51.94,-,105.91,-,93.28,-,519.12,712.51,-,-,-,-,-
12,EV/EBIT Ratio,66.16,46.90,66.18,75.78,-,198.28,-,184.58,-,-266.17,-,-,-,-,-,-
13,EV/FCF Ratio,117.24,83.11,72.53,-,-,-33.61,-20.29,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.34,0.35,0.46,0.22,0.41,0.39,0.17,0.38,0.14,0.32,0.15,-,-,-,-,
18,Inventory Turnover,0.78,0.75,0.72,1.08,0.55,0.90,0.79,0.31,0.89,0.28,0.91,0.47,-,-,-,-
19,Quick Ratio,1.38,1.38,1.30,1.18,1.07,1.05,0.97,1.03,1.24,1.38,1.62,1.58,1.74,-,1.03,-
20,Current Ratio,2.41,2.41,2.27,2.13,2.00,1.96,1.96,2.08,2.21,2.44,2.64,2.47,2.55,-,1.86,-
21,Return on Equity (ROE),5.76%,2.72%,6.48%,0.35%,2.92%,0.21%,2.96%,1.89%,1.62%,2.91%,-1.46%,-,-,19.52%,-,
22,Return on Assets (ROA),3.23%,0.25%,2.16%,-0.71%,1.22%,-0.42%,0.97%,-0.74%,1.01%,-0.16%,-0.35%,-,-,-,-,
23,Return on Capital (ROIC),5.32%,0.42%,3.93%,-1.35%,2.33%,-0.79%,1.74%,-1.26%,1.62%,-0.25%,-0.57%,-,-,15.04%,-,
24,Return on Capital Employed (ROCE),3.23%,3.23%,2.07%,1.60%,-,0.79%,-,0.72%,-,-0.49%,-,-,-,-,6.72%,-
25,Earnings Yield,1.45%,1.93%,1.72%,1.45%,0.81%,0.96%,0.69%,1.25%,0.81%,0.79%,0.70%,1.59%,1.54%,-,-,-
26,FCF Yield,0.72%,0.95%,1.07%,1.12%,-1.06%,-2.31%,-4.03%,-7.77%,-5.77%,-3.63%,-2.51%,-2.31%,-0.67%,-,-,-
27,Dividend Yield,0.19%,-,-,-,0.27%,-,-,-,0.35%,-,-,-,0.23%,-,-,-
28,Payout Ratio,13.61%,-,76.66%,-,-,-,1017.94%,-,-,1.54%,83.97%,-,-,-,-,-
29,Buyback Yield / Dilution,0.04%,0.01%,-0.04%,0.03%,0.15%,-0.14%,0.03%,0.01%,-33.45%,-33.22%,-33.31%,-33.40%,-,-,-,-
30,Total Shareholder Return,0.23%,0.01%,-0.04%,0.03%,0.42%,-0.14%,0.03%,0.01%,-33.09%,-33.22%,-33.31%,-33.40%,0.23%,-,-,-
