,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,89.03,103.07,244.08,115.15,161.76,178.4,169.32,212.31,138.6,170.58,502.08,36.75,-,30.78,-
1,Trading Asset Securities,250.64,276.35,120.58,233.81,205.87,226.01,282.15,238.52,291.63,273.23,4.9,14.96,-,15.88,-
2,Cash & Short-Term Investments,339.67,379.42,364.66,348.97,367.63,404.41,451.47,450.83,430.23,443.81,506.98,51.71,-,46.66,64.37
3,Cash Growth,-7.60%,-6.18%,-19.23%,-22.59%,-14.55%,-8.88%,-10.95%,771.84%,-,851.19%,687.60%,-,-,-,-
4,Accounts Receivable,214.61,202.77,201.15,247.47,274.94,260.5,239.29,239.6,269,265.73,264.7,290.01,-,282.55,-
5,Other Receivables,14.24,14.2,4.25,3.44,2.02,1.6,5.57,0.81,0.48,0.46,0.22,0.45,-,0.53,-
6,Receivables,228.85,216.97,205.4,250.91,276.97,262.11,244.86,240.42,269.47,266.18,264.92,290.47,-,283.08,-
7,Inventory,119.34,124.5,130.53,114.6,126.64,134.16,155.64,142.5,143.18,161.4,146.17,125.28,-,124.93,-
8,Other Current Assets,45.77,8.17,39.4,7.35,8.59,4.29,6.89,5.75,5.63,9.81,15.44,15.14,-,11.53,-
9,Total Current Assets,733.63,729.06,739.99,721.83,779.83,804.97,858.87,839.49,848.52,881.21,933.5,482.6,-,466.2,-
10,"Property, Plant & Equipment",245.27,246.59,240.27,239.38,219.21,206.16,200.72,201.05,199.48,184.58,163.62,154.71,-,110.08,-
11,Long-Term Investments,7.23,7.08,7.09,7.26,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,34.54,33.92,33.49,33.35,29.63,30.01,17.71,17.91,17.33,17.48,16.83,17.01,-,17.18,-
13,Long-Term Deferred Tax Assets,1.22,1.29,1.18,1.29,1.39,1.84,1.05,0.97,3.12,3.02,2.9,3.03,-,3,-
14,Long-Term Deferred Charges,3.1,3.26,3.53,2.84,2.48,2.41,2.56,1.31,0.98,0.89,0.95,1.02,-,5.41,-
15,Other Long-Term Assets,2.19,3.19,1.61,40.16,14.32,13.38,12.39,11.51,2.56,2.74,1.27,1.42,-,0.21,-
16,Total Assets,1027,1024,1027,1046,1047,1059,1093,1072,1072,1090,1119,659.78,-,602.08,-
17,Accounts Payable,75.2,84.1,69.74,85.34,85.82,102.31,112.99,99.31,116.04,155.62,147.92,138.04,-,118.72,-
18,Accrued Expenses,8.78,8.49,7.28,13.47,8.7,11.09,7.16,12.37,8.69,5.5,5.87,11.45,-,9.96,-
19,Current Portion of Leases,1,0.99,0.2,0.2,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,-,0.05,-
20,Current Income Taxes Payable,1.64,0.01,0.66,-,3.44,1.96,2.2,-,3.36,1.56,1.4,0.38,-,-,-
21,Current Unearned Revenue,3.63,3.28,3.9,3.65,4.11,2.4,3.68,4.31,6.68,8.6,8.22,6.8,-,7.2,-
22,Other Current Liabilities,34.91,33.9,31.81,35.41,38.49,45.07,45.07,49.73,43.99,42.96,55.47,55.41,-,52.58,-
23,Total Current Liabilities,125.17,130.78,113.59,138.07,140.64,162.92,171.18,165.8,178.83,214.29,218.97,212.14,-,188.51,-
24,Long-Term Leases,1.72,1.92,1.61,1.66,1.35,1.35,1.35,1.33,1.34,1.33,1.32,1.31,-,1.04,-
25,Long-Term Unearned Revenue,1.6,1.78,1.94,2.12,0.92,1.06,1.2,1.34,1.48,1.62,1.76,1.9,-,2.18,-
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,0.39,0.33,0.43,0.44,-,0.13,-
