,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,244.49,342.47,322.34,344.6,283.24,294.7,203.73,166.9,437.15,162.69,154.31,106.33,-,47.83,-,81.6,44.98,66.65
1,Short-Term Investments,32.8,32.54,-,10.02,10.02,43.11,42.81,32.56,-,-,-,-,-,-,-,-,-,0.1
2,Trading Asset Securities,30,0,47.26,0.62,0.03,0.17,90.98,181.05,20,370,435,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,307.29,375.01,369.6,355.24,293.3,337.97,337.52,380.51,457.15,532.69,589.31,106.33,-,47.83,81.6,81.6,44.98,66.75
4,Cash Growth,4.77%,10.96%,9.51%,-6.64%,-35.84%,-36.55%,-42.73%,257.84%,-,1013.80%,622.16%,30.30%,-,-28.35%,-,-,-,-
5,Accounts Receivable,412.77,395.68,356.27,376.25,410.86,412.85,391.49,395.01,331,307.23,289.33,284.36,-,245.69,-,229.12,197.73,168.49
6,Other Receivables,3.83,6.42,4.44,9.34,5.36,9.41,8.31,7.9,6.51,7.7,7.49,7.48,-,12.49,-,12.96,15.46,14.51
7,Receivables,416.6,402.09,360.71,385.59,416.21,422.26,399.81,402.91,337.5,314.93,296.82,291.84,-,258.18,-,242.09,213.19,183
8,Inventory,157.4,139.77,142.16,126.2,120.49,105.33,107.72,97.78,71.24,69.32,72.52,71.26,-,96.86,-,97.33,128.59,90.82
9,Other Current Assets,20.07,16.45,29.3,25.14,17.66,11.07,11.99,8.89,62.87,8.96,11.35,9.3,-,8.68,-,6.06,5.43,3.93
10,Total Current Assets,901.37,933.32,901.77,892.17,847.66,876.63,857.03,890.09,928.77,925.91,970.01,478.73,-,411.54,-,427.08,392.19,344.49
11,"Property, Plant & Equipment",98.87,109.08,117.38,129.01,145.17,153.53,152.38,159.28,132.38,134.72,147.37,157.31,-,146.38,-,131.81,133.46,109.54
12,Long-Term Investments,32.79,26.92,57.41,84.44,69.51,69.45,68.97,77.77,4.91,4.95,4.94,5,-,-,-,-,-,-
13,Goodwill,48.06,48.06,48.06,48.06,47.91,47.96,48.01,48.06,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,6.17,6.58,6.9,7.25,7.75,8.19,8.66,9.23,0.76,0.82,0.72,0.51,-,0.43,-,0.51,0.55,0.63
15,Long-Term Deferred Tax Assets,55.03,52.56,50.43,48.15,50.16,45.28,37.28,32.16,23.66,23.24,19.37,16.26,-,17.42,-,14.55,14.46,11.34
16,Long-Term Deferred Charges,18.55,21.6,24.05,25.49,26.5,29.91,28.75,22.61,15.17,14.78,14.23,16.88,-,19.88,-,23.48,20.03,17.23
17,Other Long-Term Assets,0.29,0.37,0.35,0.34,2.58,2.85,6.43,2.07,6.45,2.98,0.69,0.76,-,0.56,-,0.53,1.52,3.15
18,Total Assets,1161,1198,1206,1235,1197,1234,1208,1241,1112,1107,1157,675.44,-,596.22,-,597.96,562.21,486.39
19,Accounts Payable,138.54,133.38,125.42,130.11,93.85,91.22,85.59,96.22,68.68,57.84,49.15,58.39,-,44.51,-,58.34,59.7,35.51
20,Accrued Expenses,18.84,21.39,17.88,29.74,21.43,33.17,21.58,37.17,16.14,29.82,13.69,27.5,-,17.96,-,26.14,15.03,15.28
21,Short-Term Debt,57.67,51.17,57.99,42.99,42.99,62.79,32.8,32.8,34.79,27.99,42.99,48.99,-,47.09,-,65,72,45
22,Current Portion of Leases,12.44,14.46,13.48,13.38,13.75,13,13.98,12.85,14.93,15.69,13.82,14.19,-,11.28,-,-,-,-
23,Current Income Taxes Payable,9.43,6.05,9.83,7.34,15.51,4.84,13.45,6.58,12.09,0.24,10.4,8.15,-,2.37,-,2.75,1.05,6.82
24,Current Unearned Revenue,68.32,54.94,43.07,43.57,49,44.89,37.7,30.05,15.49,18.01,16.13,16.93,-,31.54,-,24.71,23.07,19.81
25,Other Current Liabilities,20.5,19.17,19.68,15.51,11.3,10.93,10.16,10.02,6.15,5.87,11.15,8.6,-,5.56,-,5.26,6.96,3.43
26,Total Current Liabilities,325.74,300.56,287.35,282.64,247.83,260.86,215.25,225.68,168.27,155.45,157.33,182.74,-,160.32,-,182.19,177.81,125.85
27,Long-Term Leases,12.35,14.37,16.66,18.95,22.71,25,21.44,24.13,19.08,21.86,27.3,30.21,-,10.93,-,-,-,-
28,Long-Term Unearned Revenue,1.23,1.39,1.56,1.76,2.09,2.25,2.11,2.26,1.02,1.15,1.29,1.42,-,1.74,-,1.43,1.55,0.74
29,Long-Term Deferred Tax Liabilities,14.1,15.16,16.56,18.44,20.39,21.87,21.5,22.07,14.03,14.4,15.43,16.71,-,20.99,-,21.45,22,16.89
30,Other Long-Term Liabilities,-,-,0.35,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,353.41,331.47,322.48,322.14,293.02,309.98,260.3,274.15,202.41,192.86,201.34,231.08,-,193.98,-,205.06,201.36,143.48
32,Common Stock,120,120,120,120,120,120,120,120,120,120,120,90,-,90,-,90,90,90
33,Additional Paid-In Capital,675.88,675.55,670.68,670.33,677.19,673.69,671.5,671.5,672.12,672.37,672.37,176.03,-,176.03,-,176.68,176.68,176.03
34,Retained Earnings,-13.47,-2.39,8.01,24.26,49.22,72.66,97.63,117.8,104.49,102.81,144.41,158.86,-,119.25,-,109.14,81.28,64.21
35,Treasury Stock,-34.1,-34.1,-20.55,-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,748.31,759.06,778.14,806.58,846.41,866.36,889.13,909.3,896.61,895.17,936.78,424.9,-,385.28,375.81,375.81,347.95,330.23
37,Minority Interest,59.42,107.97,105.73,106.2,57.8,57.46,58.08,57.82,13.08,19.35,19.22,19.46,-,16.95,-,17.09,12.89,12.67
38,Shareholders' Equity,807.73,867.03,883.87,912.78,904.21,923.82,947.22,967.12,909.69,914.52,956,444.36,-,402.24,392.9,392.9,360.85,342.9
