,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters
0,Market Capitalization,2121,2105,2046,2677,2603,3040,3258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
1,Market Cap Growth,-30.75%,-30.75%,-37.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Enterprise Value,2384,2303,2014,2756,2682,2921,3784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Last Close Price,28.22,28.01,27.22,35.45,34.48,39.65,42.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
4,PE Ratio,-,-,-,-,-,35.14,33.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,1.29,1.29,1.30,1.67,1.58,1.88,2.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,PB Ratio,1.46,1.44,1.37,1.76,1.68,1.96,2.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
7,P/TBV Ratio,1.53,1.53,1.46,1.87,1.79,2.09,2.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,P/FCF Ratio,-,-,-,-12.64,-8.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,183.77,-24.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,1.46,1.41,1.28,1.72,1.63,1.81,2.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,EV/EBITDA Ratio,92.45,283.31,-,-,18.96,16.83,21.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-66.92,-,-,-,20.80,26.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-12.47,-,-,-13.01,-8.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
