,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,189.19,143.42,209.24,184.58,161.34,159.23,158.33,172.54,172.92,104.04,183.8,160.45,181.86,69.86,128.61,128.61
1,Other Revenue,-,-2.94,2.94,-,-,-3.28,3.28,-,6.15,-3.02,3.02,-,4.91,-2.3,1.15,1.15
2,Revenue,189.19,140.48,212.18,184.58,161.34,155.95,161.6,172.54,179.07,101.02,186.82,160.45,186.77,67.56,129.76,129.76
3,Revenue Growth (YoY),17.26%,-9.92%,31.30%,6.98%,-9.90%,54.37%,-13.50%,7.54%,-4.12%,49.53%,43.98%,23.65%,-,-,-,-
4,Cost of Revenue,114.95,89.87,122.87,104.17,101.46,91.63,92.48,106.36,111.91,66.04,121.98,104.08,69.18,89.99,74.32,74.32
5,Gross Profit,74.25,50.61,89.31,80.41,59.89,64.31,69.13,66.19,67.16,34.99,64.84,56.37,117.58,-22.44,55.44,55.44
6,"Selling, General & Admin",16.01,10.88,10.34,10.39,11.22,12.09,9.38,11.8,13.72,8.7,8.84,7.58,31.56,-16.42,8.21,8.21
7,Research & Development,17.26,12.29,13.95,11.99,22.36,11.33,10.26,8.02,9.53,8.16,8.3,4.01,20.59,-11.44,5.72,5.72
8,Other Operating Expenses,-1.55,0.14,-0.1,1.62,-2.12,1.32,1.72,1.62,1.88,1.37,1.81,1.93,6.4,-3.29,1.64,1.64
9,Operating Expenses,32.14,20.51,25.91,24.65,34.22,25.15,21.61,18.01,26.79,14.6,21.04,15.62,69.69,-32.14,16.07,16.07
10,Operating Income,42.1,30.1,63.4,55.76,25.67,39.16,47.52,48.18,40.37,20.39,43.8,40.75,47.89,9.7,39.37,39.37
11,Interest Expense,-,-0.01,-0.14,-0.03,-,-0.04,-0.43,-0.06,-1.58,-1.7,-1.94,-1.67,-6.71,-0.08,-1.51,-1.51
12,Interest & Investment Income,1.54,3.51,4.37,4.76,2.28,4.26,5.36,5.54,0.98,0.17,0.1,0.09,0.26,3.01,0.04,0.04
13,Currency Exchange Gain (Loss),-,-0.14,0.14,-,-,-0.07,0.07,-,0.29,-0.04,0.04,-,-0.13,0.11,-0.06,-0.06
14,Other Non Operating Income (Expenses),-0.76,0.09,-0.07,0.04,5.37,-0.83,0.17,-0.19,-0.78,0.04,0.55,0.1,0.47,-0.49,-0.02,-0.02
15,EBT Excluding Unusual Items,42.88,33.55,67.69,60.52,33.32,42.48,52.7,53.47,39.29,18.86,42.55,39.27,41.78,12.25,37.83,37.83
16,Gain (Loss) on Sale of Investments,-0.87,0.57,0.3,-0.23,-0.1,0.87,-0.31,-0.42,1.36,-0.11,0.04,0.06,0.17,-0.04,0.02,0.02
17,Gain (Loss) on Sale of Assets,0.97,-0.3,-0.49,-0.17,0.07,0.19,-0.19,-,-,-0.38,-0.06,-,-0.21,-,-,-
18,Asset Writedown,-4.21,-2.85,0.86,-0.86,-0.33,-0.51,-0.07,-,-0.32,-,-,-,-0.11,-,-,-
19,Other Unusual Items,-1.43,0.35,0.01,1.07,-,-,-,-,1.54,0.77,-,-,2.4,-0.55,0.27,0.27
20,Pretax Income,37.34,31.31,68.38,60.32,32.96,43.03,52.13,53.05,41.87,19.15,42.53,39.33,44.03,11.67,38.12,38.12
21,Income Tax Expense,6.2,-0.06,13.27,4.93,11.41,0.58,5.41,6.56,-0.96,1.58,5.14,5.42,6.01,0.96,5.07,5.07
22,Earnings From Continuing Operations,31.14,31.38,55.11,55.39,21.55,42.45,46.72,46.49,42.83,17.57,37.4,33.91,38.02,10.71,33.05,33.05
23,Minority Interest in Earnings,0.68,-1.07,0.47,0.53,0.75,0.51,0.28,0.23,0.18,0.14,0.13,0.14,0.15,-0,0,0
24,Net Income,31.82,30.31,55.58,55.92,22.3,42.97,47,46.72,43.01,17.71,37.53,34.05,38.17,10.71,33.05,33.05
25,Net Income to Common,31.82,30.31,55.58,55.92,22.3,42.97,47,46.72,43.01,17.71,37.53,34.05,38.17,10.71,33.05,33.05
26,Net Income Growth,42.70%,-29.46%,18.27%,19.69%,-48.16%,142.65%,25.22%,37.19%,12.67%,65.37%,13.56%,3.04%,-,-,-,-
27,Shares Outstanding (Basic),280,283,278,280,276,272,284,284,441,2,207,210,210,-,210,210
28,Shares Outstanding (Diluted),280,283,278,280,276,272,284,284,441,2,207,210,210,-,210,210
29,Shares Change (YoY),1.64%,3.85%,-2.01%,-1.67%,-37.59%,10886.02%,36.89%,35.19%,110.24%,-,-1.34%,0.16%,-,-,-,-
30,EPS (Basic),0.11,0.11,0.20,0.20,0.08,0.16,0.17,0.16,0.10,7.15,0.18,0.16,0.18,-,0.16,0.16
31,EPS (Diluted),0.11,0.11,0.20,0.20,0.08,0.16,0.17,0.16,0.10,7.15,0.18,0.16,0.18,-,0.16,0.16
32,EPS Growth,40.40%,-32.08%,20.70%,21.73%,-16.94%,-97.79%,-8.53%,1.48%,-46.41%,-,15.27%,3.02%,-,-,-,-
33,Free Cash Flow,1.04,1.03,15.87,-1.96,120.14,-5.11,30.03,17.89,25.96,-3.16,2.81,-17.1,-,-,1.68,1.68
34,Free Cash Flow Per Share,0.00,0.00,0.06,-0.01,0.44,-0.02,0.11,0.06,0.06,-1.28,0.01,-0.08,-,-,0.01,0.01
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.238,-,-,-,-,-,-,-
36,Gross Margin,39.24%,36.03%,42.09%,43.56%,37.12%,41.24%,42.78%,38.36%,37.51%,34.63%,34.71%,35.13%,62.96%,-33.21%,42.72%,42.72%
37,Operating Margin,22.25%,21.43%,29.88%,30.21%,15.91%,25.11%,29.40%,27.92%,22.55%,20.18%,23.44%,25.40%,25.64%,14.36%,30.34%,30.34%
38,Profit Margin,16.82%,21.58%,26.20%,30.29%,13.82%,27.55%,29.08%,27.08%,24.02%,17.53%,20.09%,21.22%,20.44%,15.85%,25.47%,25.47%
39,Free Cash Flow Margin,0.55%,0.73%,7.48%,-1.06%,74.46%,-3.28%,18.58%,10.37%,14.50%,-3.13%,1.50%,-10.66%,-,-,1.30%,1.30%
40,EBITDA,50.95,37.24,71.67,62.9,32.88,44.68,54.19,53.7,45.89,25.6,49.23,45.97,53.11,15.23,44.9,44.9
