,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3615,3429,3594,2822,3777,3902,4543,4753,3970,3937,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-12.12%,-12.12%,-20.89%,-40.64%,-4.87%,-0.88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3139,3012,3099,2270,3490,3346,4121,3996,3112,4093,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,24.16,22.63,23.67,18.50,24.77,25.59,29.79,30.62,25.58,25.36,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,52.33,49.97,67.47,76.27,89.06,53.12,40.96,33.45,28.14,31.43,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,2.32,2.22,2.46,2.08,2.84,2.96,3.32,3.19,2.65,2.62,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.16,2.05,2.14,1.69,2.28,2.37,2.76,2.78,2.35,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.16,2.16,2.26,1.78,2.40,2.50,2.91,2.93,2.42,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-33.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,47.58,47.58,-,-,160.47,87.11,-,44.91,62.31,143.31,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.03,1.95,2.12,1.67,2.62,2.53,3.01,2.68,2.08,2.72,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,23.56,24.34,35.72,37.78,45.46,29.79,27.53,20.33,16.01,21.05,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,64.69,62.07,205.75,-747.68,-,59.44,-,28.14,21.84,28.18,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-30.77,-29.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.08,0.08,0.10,0.08,0.15,0.16,0.10,0.10,0.03,-,-,0.45,0.45,0.45,-,0.49,0.49,0.49,0.53,0.53
15,Debt / EBITDA Ratio,1.03,0.58,1.15,1.65,5.48,2.96,2.71,1.08,0.27,-,-,1.67,1.35,1.42,-,1.55,1.22,1.22,2.15,2.15
16,Debt / FCF Ratio,-,-1.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-16.76,-9.66,-,-
17,Asset Turnover,0.60,0.62,0.51,0.57,0.53,0.50,0.51,-,-,-,-,1.00,-,-,-,0.80,0.88,0.68,-,
18,Inventory Turnover,5.28,5.11,5.45,4.90,5.45,4.70,4.60,4.08,-,-,-,-,5.47,-,-,-,5.26,6.50,6.04,-
19,Quick Ratio,1.29,1.29,1.37,1.51,1.49,1.34,1.94,1.61,2.10,-,-,-,0.63,0.63,-,-,0.67,0.67,0.78,0.78
20,Current Ratio,1.58,1.58,1.70,1.80,1.76,1.96,2.30,2.34,2.51,-,-,-,0.88,0.88,-,-,0.94,0.94,1.04,1.04
21,Return on Equity (ROE),4.14%,6.36%,3.12%,2.83%,0.48%,2.47%,4.33%,-,-,-,13.07%,20.28%,-,-,21.56%,21.32%,22.51%,11.16%,-,
22,Return on Assets (ROA),3.79%,1.21%,0.31%,-0.88%,0.83%,-0.54%,2.38%,-,-,-,-,5.42%,-,-,-,7.04%,7.81%,3.78%,-,
23,Return on Capital (ROIC),5.71%,1.76%,0.45%,-1.23%,1.11%,-0.71%,3.25%,-,-,-,7.81%,10.53%,-,-,9.53%,12.96%,13.52%,6.09%,-,
24,Return on Capital Employed (ROCE),2.75%,2.75%,0.85%,-0.17%,-,3.23%,-,7.86%,7.98%,-,-,-,17.79%,17.92%,-,-,16.40%,10.67%,5.29%,2.64%
25,Earnings Yield,1.90%,2.00%,1.48%,1.31%,1.12%,1.88%,2.44%,2.99%,3.55%,3.18%,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-2.82%,-2.97%,-5.51%,-6.77%,-5.03%,-5.84%,-4.82%,-2.69%,-2.19%,-0.69%,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.41%,0.88%,-,-,0.40%,-,-,-,1.95%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,28.79%,9.94%,57.09%,12.97%,9.77%,59.33%,740.83%,1.76%,2.69%,3.72%,3.31%,8.82%,-,-,-,-,13.43%,13.43%,40.59%,40.59%
29,Buyback Yield / Dilution,3.08%,1.31%,0.07%,5.94%,5.00%,-26.99%,-34.78%,-32.34%,-34.70%,-,-,-,-0.00%,-,-,-,-,-,-,-
30,Total Shareholder Return,3.49%,2.20%,0.07%,5.94%,5.40%,-26.99%,-34.78%,-32.34%,-32.75%,-,-,-,-0.00%,-,-,-,-,-,-,-
