,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,125.73,172.42,185.51,220.03,234.73,168.1,198.53,189.11,130.77,-,-,82.94
1,Trading Asset Securities,351.2,360.11,441.87,502.98,492.07,530.67,577.78,641.37,526,-,-,39
2,Cash & Short-Term Investments,476.94,532.53,627.38,723.01,726.8,698.77,776.3,830.48,656.77,-,121.94,121.94
3,Cash Growth,-34.38%,-23.79%,-19.18%,-12.94%,10.66%,-,536.63%,581.05%,-,-,-,-
4,Accounts Receivable,565.89,529.65,524.39,472.09,446.61,428.44,383.65,359.34,377.93,-,-,252.98
5,Other Receivables,10.19,4.69,8.35,8.39,5.7,3.58,4.08,4.99,6.83,-,-,5.56
6,Receivables,576.07,534.34,532.74,480.48,452.31,432.02,387.73,364.33,384.76,-,-,258.54
7,Inventory,313.39,336.04,228.62,238.83,169.83,177.55,200.09,206.78,183.02,-,-,114.84
8,Other Current Assets,57.52,44.34,22.3,14.27,19.32,22.43,16.89,20.94,209.61,-,-,9.34
9,Total Current Assets,1424,1447,1411,1457,1368,1331,1381,1423,1434,-,-,504.66
10,"Property, Plant & Equipment",400.34,399.42,318.46,308.08,270.57,270.12,237.53,229.39,163.79,-,-,90.69
11,Other Intangible Assets,22.99,22.94,21.9,22.24,22.02,22.31,22.57,22.92,21.98,-,-,20.02
12,Long-Term Deferred Tax Assets,3.59,3.26,3.49,3.07,3.14,2.99,2.86,3.02,3,-,-,2.17
13,Long-Term Deferred Charges,1.43,1.62,0.81,0.84,0.93,1.13,1.3,1.47,1.86,-,-,2.15
14,Other Long-Term Assets,4.15,5.82,12.28,11.28,13,15.84,-,0.03,-,-,-,17.49
15,Total Assets,1856,1880,1768,1802,1678,1643,1645,1679,1625,-,-,637.18
16,Accounts Payable,228.94,306.12,177.51,202.13,149.62,129.9,168.78,204.26,199.91,-,-,169.54
17,Accrued Expenses,18.51,38.44,15.12,35.27,14.6,27.49,8.94,30.23,7.64,-,-,16.69
18,Short-Term Debt,37.28,-,3.87,6.98,7.28,6.01,-,4.66,2.53,-,-,70.26
19,Current Portion of Leases,3.12,4.6,5.28,5.22,5.13,5.13,5.06,5.44,5.9,-,-,5.88
20,Current Income Taxes Payable,2.01,3.49,4.34,7.07,6.13,4.07,3.36,4.66,3.71,-,-,0.01
21,Current Unearned Revenue,4.4,8.18,3.48,2.18,8.28,6.6,4.84,2.21,5.25,-,-,2.25
22,Other Current Liabilities,29.22,1.89,19.87,2.6,22.78,1.48,14.43,5.08,11.12,-,-,1.06
23,Total Current Liabilities,323.5,362.72,229.46,261.46,213.81,180.68,205.42,256.54,236.07,-,-,265.68
24,Long-Term Leases,-,-,0.45,1.86,3.88,4.56,5.73,7.02,8.29,-,-,12.46
25,Long-Term Unearned Revenue,1.28,1.33,1.38,1.42,1.48,1.52,1.57,1.75,1.97,-,-,2.79
26,Total Liabilities,324.78,364.05,231.29,264.74,219.17,186.76,212.72,265.31,246.33,-,-,280.93
27,Common Stock,80,80,80,80,80,80,80,80,80,-,-,60
28,Additional Paid-In Capital,1151,1148,1144,1141,1140,1140,1140,1140,1140,-,-,197.99
29,Retained Earnings,275.36,265.74,291.16,259.8,231.13,194.21,206.93,191.71,176.25,-,-,104.41
30,Treasury Stock,-23.28,-23.28,-19.53,-,-,-,-,-,-,-,-,-
31,Comprehensive Income & Other,49.18,48,42.28,56.72,7.22,41.79,5.19,1.8,-17.95,-,-,-6.94
32,Total Common Equity,1532,1518,1538,1537,1459,1456,1432,1414,1378,-,355.46,355.46
33,Minority Interest,-0.84,-1.87,-1.36,0.23,0.21,0.21,0.24,0.35,-0.04,-,-,0.79
34,Shareholders' Equity,1532,1516,1537,1537,1459,1456,1433,1414,1378,-,356.25,356.25
35,Total Liabilities & Equity,1856,1880,1768,1802,1678,1643,1645,1679,1625,-,-,637.18
36,Total Debt,40.4,4.6,9.6,14.06,16.29,15.7,10.79,17.12,16.72,-,88.59,88.59
