,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,926.14,1021,1059,1054,932.4,978.66,360.32,333.32,-,-,-
1,Trading Asset Securities,104.88,36.5,1.5,-,-,-,2.92,-,-,-,-
2,Cash & Short-Term Investments,1031,1058,1061,1054,932.4,978.66,363.24,333.32,-,-,239.09
3,Cash Growth,10.58%,8.06%,192.08%,216.08%,-,-,51.93%,-,-,-,-
4,Accounts Receivable,106.29,84.86,90.85,93.55,124.3,122.83,106.65,89.14,-,-,-
5,Other Receivables,8.43,7.35,7.35,5.29,7.18,5.77,5.96,5.15,-,-,-
6,Receivables,114.73,92.21,98.21,98.83,131.48,128.6,112.61,94.29,-,-,-
7,Inventory,126.83,126.28,107.78,91.04,100.63,87.89,83.53,99.57,-,-,-
8,Prepaid Expenses,-,0.52,-,1.67,-,0.12,-,0.11,-,-,-
9,Other Current Assets,5.87,3.56,5.16,6.01,7.17,5.46,15.79,10.06,-,-,-
10,Total Current Assets,1278,1280,1272,1251,1172,1201,575.17,537.35,-,-,-
11,"Property, Plant & Equipment",85.94,81.32,81.07,79.17,78.84,79.93,80.36,82.77,-,-,-
12,Long-Term Investments,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,-,-,-
13,Other Intangible Assets,53.25,53.64,54.03,54.13,54.18,54.54,54.9,55.26,-,-,-
14,Long-Term Accounts Receivable,-,0.58,-,0.48,-,0.74,0.73,0.73,-,-,-
15,Long-Term Deferred Tax Assets,10.08,10.76,10.58,10.01,10.61,10.42,10.79,9.32,-,-,-
16,Long-Term Deferred Charges,0.21,0.22,0.25,0.26,0.33,0.33,0.33,0.35,-,-,-
17,Other Long-Term Assets,1.88,1.36,1.93,1.36,0.64,-,-,-,-,-,-
18,Total Assets,1452,1450,1442,1418,1338,1368,744.09,707.58,-,-,-
19,Accounts Payable,116.99,133.66,118.12,108.44,97.75,108.39,110.97,90.06,-,-,-
20,Accrued Expenses,10.31,10,13.33,16.35,9.34,26.46,12.25,16.83,-,-,-
21,Short-Term Debt,110.7,109.99,101.18,104.46,52.5,74.69,11.01,58.21,-,-,-
22,Current Portion of Long-Term Debt,-,17.46,20.53,17.4,-,-,-,9.01,-,-,-
23,Current Portion of Leases,17.5,3.02,-,2.36,2.31,2.41,-,1.73,-,-,-
24,Current Income Taxes Payable,16.92,11.77,20.44,16.14,16.88,16.14,16.78,18.13,-,-,-
25,Current Unearned Revenue,12.37,7.55,8.63,13.85,7.4,7.07,6.84,16.7,-,-,-
26,Other Current Liabilities,3.07,6.01,5.86,3.86,11.2,7.19,70.36,2.74,-,-,-
27,Total Current Liabilities,287.85,299.46,288.1,282.85,197.39,242.35,228.22,213.41,-,-,-
28,Long-Term Debt,-,-,-,-,17.23,17.05,16.88,16.7,-,-,-
29,Long-Term Leases,7.46,7.29,7.34,8.19,5.83,6.14,6.18,7.11,-,-,-
30,Long-Term Unearned Revenue,31.23,31.52,31.8,30.97,31.21,27.86,63.51,63.76,-,-,-
31,Long-Term Deferred Tax Liabilities,6.45,5.71,4.73,3.71,4.35,3.98,3.37,1.69,-,-,-
32,Other Long-Term Liabilities,0.59,0.59,0.77,0.99,0.71,0.71,0.57,0.63,-,-,-
33,Total Liabilities,333.58,344.56,332.74,326.71,256.73,298.1,318.74,303.31,-,-,-
34,Common Stock,66.67,66.67,66.67,66.67,66.67,66.67,50,50,-,-,-
35,Additional Paid-In Capital,715.08,715.08,715.08,715.08,715.08,715.08,141.28,141.28,-,-,-
36,Retained Earnings,326.79,314.04,317.99,300.63,290.33,279.36,224.87,203.71,-,-,-
37,Total Common Equity,1109,1096,1100,1082,1072,1061,416.15,394.99,-,-,310.72
38,Minority Interest,9.5,9.42,9.27,9.25,9.28,9.28,9.2,9.28,-,-,-
39,Shareholders' Equity,1118,1105,1109,1092,1081,1070,425.35,404.27,-,-,319.96
40,Total Liabilities & Equity,1452,1450,1442,1418,1338,1368,744.09,707.58,-,-,-
41,Total Debt,135.66,137.76,129.05,132.41,77.88,100.3,34.07,92.77,-,-,69.37
42,Net Cash (Debt),895.36,919.79,931.89,921.16,854.53,878.36,329.17,240.55,-,-,169.72
43,Net Cash Growth,4.78%,4.72%,183.10%,282.93%,-,-,93.95%,-,-,-,-
