,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,357.8,364.01,336.93,344.65,327.55,324.15,312.29,234.22,299.31,265.16,265.42,43.25,261.62,268.43,268.43,256.81,189.72
1,Other Revenue,-2.86,2.86,-,8.39,-3.9,3.9,-,5.97,-1.57,1.57,-,-,-,1.16,1.16,1.46,-
2,Revenue,354.94,366.86,336.93,353.04,323.66,328.05,312.29,240.19,297.74,266.73,265.42,43.25,261.62,269.58,269.58,258.26,189.72
3,Revenue Growth (YoY),9.67%,11.83%,7.89%,46.98%,8.70%,22.99%,17.66%,455.40%,13.81%,-1.06%,-1.55%,-83.25%,37.90%,-,-,-,-
4,Cost of Revenue,266.62,271.84,255.92,281.05,250.35,253.57,236.14,199.28,229.28,202.56,207.21,22.74,235.53,204.47,204.47,167.24,175.07
5,Gross Profit,88.32,95.03,81.01,71.99,73.3,74.48,76.15,40.91,68.47,64.17,58.2,20.5,26.09,65.11,65.11,91.03,14.64
6,"Selling, General & Admin",54.54,46.36,35.78,49.4,35.78,41.7,37.02,37.95,33.69,37.24,32.02,-,-,36.54,36.54,58.25,-
7,Other Operating Expenses,-2.09,1.5,-1.13,2,-0.16,-0.5,-0.78,2.55,-0.9,-0.77,-0.78,-,-,0.06,0.06,0.22,-
8,Operating Expenses,53.71,48.67,33.42,52.2,34.01,42.7,36.92,39.11,33.2,34.6,33.1,-,-,37.58,37.58,57.33,-
9,Operating Income,34.61,46.36,47.6,19.8,39.29,31.78,39.23,1.81,35.26,29.58,25.1,20.5,26.09,27.53,27.53,33.7,14.64
10,Interest Expense,-1.86,-2.67,-0.94,-2.35,-1.95,-5.13,-0.26,-2.84,-2.81,-2.98,-3.06,-,-,-0.3,-0.3,-0.57,-
11,Interest & Investment Income,2.22,3.25,3.93,5.03,5.59,3.46,1.91,2.27,1.54,1.59,1.78,-,-,1.63,1.63,0.93,-
12,Earnings From Equity Investments,-,-,-,-0.18,-,-,-,-0.11,-0.01,0.15,-0.03,-,-,-,-,-,-
13,Other Non Operating Income (Expenses),9.26,3.25,-3.85,9.36,-4.87,0.1,-3.21,-0.03,0.78,-1.85,-0.76,-0.52,-,-0.43,-0.43,1.74,-2.01
14,EBT Excluding Unusual Items,44.24,50.18,46.75,31.65,38.06,30.21,37.67,1.1,34.77,26.49,23.04,19.99,26.09,28.42,28.42,35.79,12.63
15,Gain (Loss) on Sale of Investments,3.44,2.04,2.54,3.58,0.96,0.41,0.41,1.15,1.01,1.07,0.89,-,-,3.5,3.5,7.05,-
16,Gain (Loss) on Sale of Assets,-,0,0.01,-0.28,0.51,0.02,-0,0.21,-0.01,0.02,-,0.01,-0.01,0,0,0,-
17,Asset Writedown,0.78,-0.79,-,-0.44,0.33,-0.33,-,-0.26,0.24,-0.24,-,-,-,-0.38,-0.38,-0.58,-
18,Legal Settlements,-,-,-,-,-,-,-,-,1.18,-1.18,-,-,-,-2.04,-2.04,-0.19,-
19,Other Unusual Items,2.01,-2.01,-,-23.1,-,-,-,9.82,-2.49,2.49,-,1.9,-1.9,0.83,0.83,-20.61,-
20,Pretax Income,50.47,49.43,49.29,11.4,39.87,30.31,38.08,12.02,34.69,28.66,23.92,21.89,24.18,30.32,30.32,21.46,12.63
21,Income Tax Expense,11.02,10.69,10.54,8.07,7.92,8.01,9.77,0.74,9.05,6.25,5.87,6.26,4.64,6.92,6.92,3.43,3.37
22,Earnings From Continuing Operations,39.45,38.74,38.75,3.33,31.94,22.3,28.31,11.27,25.64,22.4,18.05,15.64,19.54,23.4,23.4,18.02,9.26
23,Minority Interest in Earnings,-1.53,-5.56,-5.3,2.6,-2.35,-3.47,-3.59,-4.34,-1.14,-4.81,-3.63,-0.97,-2.84,-2.25,-2.25,-5.57,-2.28
24,Net Income,37.93,33.18,33.44,5.92,29.6,18.83,24.72,6.93,24.5,17.59,14.43,14.67,16.7,21.15,21.15,12.45,6.98
25,Net Income to Common,37.93,33.18,33.44,5.92,29.6,18.83,24.72,6.93,24.5,17.59,14.43,14.67,16.7,21.15,21.15,12.45,6.98
26,Net Income Growth,28.13%,76.20%,35.29%,-14.54%,20.83%,7.04%,71.33%,-52.76%,46.69%,-16.83%,-31.79%,17.78%,139.18%,-,-,-,-
27,Shares Outstanding (Basic),199,209,207,221,213,170,153,163,151,152,156,154,154,154,154,154,-
28,Shares Outstanding (Diluted),199,209,207,221,213,170,153,163,151,152,156,154,154,154,154,154,-
29,Shares Change (YoY),-6.60%,23.47%,35.29%,35.53%,40.91%,11.53%,-2.08%,5.67%,-2.33%,-1.59%,1.18%,-,-,-,-,-,-
30,EPS (Basic),0.19,0.16,0.16,0.03,0.14,0.11,0.16,0.04,0.16,0.12,0.09,0.09,0.11,0.14,0.14,0.08,-
31,EPS (Diluted),0.19,0.16,0.16,0.03,0.14,0.11,0.16,0.04,0.16,0.12,0.09,0.09,0.11,0.14,0.14,0.08,-
32,EPS Growth,37.19%,42.71%,0%,-36.95%,-14.25%,-4.02%,74.97%,-55.29%,50.19%,-15.28%,-32.43%,20.18%,-,-,-,-,-
33,Free Cash Flow,-65.24,-44.43,-48.82,2.95,32.19,-4.84,47.32,13.07,33.03,47.25,-30.39,89.96,-23.51,-178.31,-178.31,44.31,-23.88
34,Free Cash Flow Per Share,-0.33,-0.21,-0.24,0.01,0.15,-0.03,0.31,0.08,0.22,0.31,-0.19,0.58,-0.15,-1.15,-1.15,0.29,-
35,Dividend Per Share,-,-,-,0.073,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,24.88%,25.90%,24.04%,20.39%,22.65%,22.70%,24.38%,17.03%,22.99%,24.06%,21.93%,47.41%,9.97%,24.15%,24.15%,35.25%,7.72%
37,Operating Margin,9.75%,12.64%,14.13%,5.61%,12.14%,9.69%,12.56%,0.75%,11.84%,11.09%,9.46%,47.41%,9.97%,10.21%,10.21%,13.05%,7.72%
38,Profit Margin,10.68%,9.05%,9.93%,1.68%,9.14%,5.74%,7.92%,2.89%,8.23%,6.60%,5.44%,33.92%,6.38%,7.85%,7.85%,4.82%,3.68%
39,Free Cash Flow Margin,-18.38%,-12.11%,-14.49%,0.83%,9.95%,-1.48%,15.15%,5.44%,11.09%,17.71%,-11.45%,208.01%,-8.99%,-66.14%,-66.14%,17.16%,-12.58%
40,EBITDA,45.18,56.26,58.17,30.36,51.32,43.23,51.26,13.84,46.25,41.36,36.08,27.95,33.54,35.22,35.22,40.91,21.2
41,EBITDA Margin,12.73%,15.33%,17.26%,8.60%,15.86%,13.18%,16.41%,5.76%,15.53%,15.51%,13.60%,64.64%,12.82%,13.06%,13.06%,15.84%,11.18%
42,D&A For EBITDA,10.57,9.9,10.57,10.57,12.03,11.45,12.03,12.03,10.98,11.79,10.98,7.45,7.45,7.69,7.69,7.21,6.56
43,EBIT,34.61,46.36,47.6,19.8,39.29,31.78,39.23,1.81,35.26,29.58,25.1,20.5,26.09,27.53,27.53,33.7,14.64
44,EBIT Margin,9.75%,12.64%,14.13%,5.61%,12.14%,9.69%,12.56%,0.75%,11.84%,11.09%,9.46%,47.41%,9.97%,10.21%,10.21%,13.05%,7.72%
45,Effective Tax Rate,21.84%,21.62%,21.39%,70.82%,19.87%,26.42%,25.65%,6.18%,26.10%,21.81%,24.54%,28.58%,19.19%,22.83%,22.83%,16.01%,26.68%
46,Revenue as Reported,354.94,366.86,336.93,353.04,323.66,328.05,312.29,240.19,297.74,266.73,265.42,-,-,269.58,269.58,447.98,-
