,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,224.2,175.07,160.96,148.32,177.41,134.85,136.06,148.95,148.95,154.49,149.84
1,Other Revenue,-1.74,1.74,-,7.51,-8.8,8.8,-,9.27,9.27,3,-
2,Revenue,222.45,176.81,160.96,155.83,168.61,143.66,136.06,158.21,158.21,157.49,149.84
3,Revenue Growth (YoY),31.94%,23.08%,18.30%,-1.51%,6.57%,-8.79%,-9.20%,-,-,-,-
4,Cost of Revenue,129.17,111,98.41,100.8,97.08,92.85,86.22,102.91,102.91,106.66,93.64
5,Gross Profit,93.29,65.81,62.55,55.03,71.53,50.8,49.84,55.31,55.31,50.84,56.19
6,"Selling, General & Admin",39.03,28.43,25.41,24.95,22.34,23.62,24.32,20.08,20.08,22.26,22.11
7,Research & Development,18.02,13.62,12.71,11.14,12.63,11.93,10.68,10.61,10.61,9.75,10.01
8,Other Operating Expenses,-8.83,5.62,-3.39,19.43,-2.11,-4.65,-6.24,5.66,5.66,-5.08,-1.09
9,Operating Expenses,49.29,48.4,34.98,56.51,33.75,31.18,28.77,36.62,36.62,27.1,31.36
10,Operating Income,44,17.42,27.57,-1.48,37.78,19.62,21.07,18.69,18.69,23.74,24.84
11,Interest Expense,-0.41,-,-0.49,-1.13,-0.71,-0.42,-0.53,-0.59,-0.59,-1.52,-
12,Interest & Investment Income,2.94,2.16,2.21,10.15,3.62,3.72,1.97,0.38,0.38,0.66,-
13,Currency Exchange Gain (Loss),0.25,-0.25,-,-0.27,-0.04,0.04,-,-0.47,-0.47,0.38,-
14,Other Non Operating Income (Expenses),-1.27,0.1,-0.17,-4.91,-0.97,-0.13,-0.01,0.71,0.71,-0.66,-0.88
15,EBT Excluding Unusual Items,45.51,19.42,29.12,2.36,39.68,22.84,22.5,18.72,18.72,22.61,23.95
16,Gain (Loss) on Sale of Investments,-0.49,0.29,1.75,0.23,0.34,0.37,-,-0.02,-0.02,-0.04,-
17,Gain (Loss) on Sale of Assets,-0,0.03,-0.03,0.05,-,0.01,-0.06,-0.43,-0.43,-,-
18,Asset Writedown,-4.05,2.68,-2.73,8.61,-8.76,2.11,-2.11,0.44,0.44,0.59,-1.53
19,Other Unusual Items,-7.92,7.82,0.1,18.81,-0,0,-,7.84,7.84,0,-
20,Pretax Income,33.05,30.25,28.21,30.06,31.27,25.33,20.33,26.57,26.57,23.16,22.42
21,Income Tax Expense,3.64,4.53,3.91,4.65,3.04,3.86,2.76,2.59,2.59,2.92,2.53
22,Net Income,29.41,25.71,24.3,25.42,28.23,21.47,17.57,23.97,23.97,20.24,19.89
23,Net Income to Common,29.41,25.71,24.3,25.42,28.23,21.47,17.57,23.97,23.97,20.24,19.89
24,Net Income Growth,4.18%,19.78%,38.31%,6.02%,17.76%,6.07%,-11.69%,-,-,-,-
25,Shares Outstanding (Basic),338,338,338,338,339,338,338,254,254,254,254
26,Shares Outstanding (Diluted),338,338,338,338,339,338,338,254,254,254,254
27,Shares Change (YoY),-0.03%,0.09%,-0.02%,33.41%,33.47%,33.11%,33.40%,-,-,-,-
28,EPS (Basic),0.09,0.08,0.07,0.08,0.08,0.06,0.05,0.09,0.09,0.08,0.08
29,EPS (Diluted),0.09,0.08,0.07,0.08,0.08,0.06,0.05,0.09,0.09,0.08,0.08
30,EPS Growth,4.21%,19.67%,38.34%,-20.53%,-11.77%,-20.32%,-33.80%,-,-,-,-
31,Free Cash Flow,-2.31,15.4,25.22,13.58,9.77,35.3,-38.06,12.68,12.68,19.36,-50.96
32,Free Cash Flow Per Share,-0.01,0.05,0.07,0.04,0.03,0.10,-0.11,0.05,0.05,0.08,-0.20
33,Dividend Per Share,-,-,-,0.080,-,-,-,-,-,-,-
34,Gross Margin,41.94%,37.22%,38.86%,35.31%,42.42%,35.36%,36.63%,34.96%,34.96%,32.28%,37.50%
35,Operating Margin,19.78%,9.85%,17.13%,-0.95%,22.41%,13.66%,15.49%,11.81%,11.81%,15.07%,16.58%
36,Profit Margin,13.22%,14.54%,15.10%,16.31%,16.74%,14.94%,12.91%,15.15%,15.15%,12.85%,13.28%
37,Free Cash Flow Margin,-1.04%,8.71%,15.67%,8.71%,5.79%,24.57%,-27.97%,8.02%,8.02%,12.29%,-34.01%
38,EBITDA,56.71,30.75,40.28,11.23,47.71,32.12,30.99,28.72,28.72,33.55,33.65
39,EBITDA Margin,25.49%,17.39%,25.02%,7.21%,28.29%,22.36%,22.78%,18.15%,18.15%,21.30%,22.45%
40,D&A For EBITDA,12.71,13.33,12.71,12.71,9.92,12.5,9.92,10.03,10.03,9.81,8.81
41,EBIT,44,17.42,27.57,-1.48,37.78,19.62,21.07,18.69,18.69,23.74,24.84
42,EBIT Margin,19.78%,9.85%,17.13%,-0.95%,22.41%,13.66%,15.49%,11.81%,11.81%,15.07%,16.58%
43,Effective Tax Rate,11.02%,14.99%,13.86%,15.46%,9.72%,15.24%,13.59%,9.76%,9.76%,12.62%,11.27%
44,Revenue as Reported,222.45,176.81,160.96,594.14,168.61,143.66,136.06,158.21,158.21,157.49,149.84
