,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,4303,4416,3705,3960,4396,5027,3802,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-12.16%,-12.16%,-2.55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4996,5060,4217,4282,4718,5279,5514,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,17.88,18.13,15.21,16.15,17.93,20.50,20.47,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,19.58,19.79,18.33,22.51,24.58,29.68,18.56,-,-,-,-,-,-,-,-,-,-,-
5,Forward PE,17.97,16.63,13.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.33,2.38,2.00,2.13,2.51,2.97,2.26,-,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.22,1.21,1.04,1.12,1.26,1.45,1.10,-,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,9.67,9.67,7.38,6.86,7.72,6.77,5.19,-,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-39.02,-,137.99,28.89,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,12.88,12.88,12.83,13.81,-,24.83,13.37,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.69,2.73,2.27,2.30,2.69,3.12,3.28,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,11.34,11.77,11.03,11.78,12.56,13.81,13.37,-,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,18.23,18.47,18.26,19.50,19.97,21.35,19.31,-,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-21.35,-,-,-42.19,-,144.90,41.91,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.48,0.48,0.64,0.52,0.54,0.55,0.56,0.99,1.04,-,-,1.15,1.11,1.11,0.63,0.63,-,0.78
16,Debt / EBITDA Ratio,3.94,2.80,4.33,5.22,8.41,4.42,4.32,4.89,8.11,-,-,4.65,5.42,5.42,4.82,4.82,-,18.05
17,Debt / FCF Ratio,-,-,-,-18.11,-,52.17,14.87,-,22.73,-,-,-,-,-,-,-,-,-
18,Asset Turnover,0.32,0.26,0.33,0.32,0.33,0.32,0.35,-,-,-,-,0.30,-,0.27,-,-,-,
19,Inventory Turnover,15.81,13.92,8.51,10.23,10.32,14.49,12.57,14.42,-,-,-,-,19.56,-,3.10,-,-,-
20,Quick Ratio,3.16,3.16,2.26,3.54,3.46,4.57,4.98,1.77,1.75,-,-,-,1.09,1.09,1.22,1.22,-,-
21,Current Ratio,3.56,3.56,2.52,4.02,4.04,5.05,5.47,2.22,2.13,-,-,-,1.43,1.43,1.50,1.50,-,-
22,Return on Equity (ROE),8.26%,9.27%,4.90%,3.33%,6.35%,8.26%,9.36%,-,-,-,-,11.54%,-,4.95%,-,-,-,
23,Return on Assets (ROA),4.73%,3.64%,2.10%,0.73%,3.15%,3.81%,3.76%,-,-,-,-,3.94%,-,2.94%,-,-,-,
24,Return on Capital (ROIC),5.20%,3.98%,2.32%,0.80%,3.42%,4.18%,4.23%,-,-,-,-,4.53%,-,3.32%,-,-,-,
25,Return on Capital Employed (ROCE),5.09%,5.09%,4.31%,4.09%,4.40%,4.62%,5.27%,7.90%,8.19%,-,-,-,3.97%,2.15%,3.44%,1.89%,-,-
26,Earnings Yield,5.18%,5.05%,5.46%,4.44%,4.07%,3.37%,5.39%,-,-,-,-,-,-,-,-,-,-,-
27,FCF Yield,-5.44%,-5.30%,-5.12%,-2.56%,-5.74%,0.72%,3.46%,-,-,-,-,-,-,-,-,-,-,-
28,Dividend Yield,0.58%,-,-,-,1.67%,-,0.98%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,40.17%,22.06%,49.90%,39.13%,59.92%,133.47%,42.50%,54.09%,120.75%,28.43%,33.19%,42.83%,56.23%,56.23%,-,-,262.24%,262.24%
30,Buyback Yield / Dilution,-19.99%,-0.48%,-20.67%,-33.34%,-31.84%,-32.82%,-14.02%,0.97%,-0.77%,-0.42%,-39.01%,-43.45%,-38.66%,-38.66%,-,-,-,-
31,Total Shareholder Return,-19.41%,-0.48%,-20.67%,-33.34%,-30.17%,-32.82%,-13.05%,0.97%,-0.77%,-0.42%,-39.01%,-43.45%,-38.66%,-38.66%,-,-,-,-
