,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,237.41,225.68,183.48,-,158.23,195.46,158.45,163.6,163.6,184.59,184.59,145.09,145.09
1,Other Revenue,-2.17,2.17,-,-,-2.63,2.63,-,2.14,2.14,1.48,1.48,1.36,1.36
2,Revenue,235.25,227.85,183.48,-,155.6,198.08,158.45,165.74,165.74,186.08,186.08,146.44,146.44
3,Revenue Growth (YoY),51.19%,15.03%,15.79%,-,-6.12%,6.45%,-14.84%,13.18%,13.18%,-,-,-,-
4,Cost of Revenue,171.38,169.61,117.87,-,105.51,136.87,105.9,113.23,113.23,127.71,127.71,105.26,105.26
5,Gross Profit,63.87,58.24,65.61,-,50.09,61.21,52.56,52.52,52.52,58.37,58.37,41.18,41.18
6,"Selling, General & Admin",38.1,29.76,45.53,-,29.58,27.34,24.23,25.23,25.23,20.3,20.3,15.05,15.05
7,Research & Development,8.52,8.64,6.73,-,6.75,5.86,5.02,5.92,5.92,5.96,5.96,4.19,4.19
8,Other Operating Expenses,0.41,3.49,-0.24,-,-2.5,-0.91,0.22,-1.05,-1.05,-2.85,-2.85,-0.69,-0.69
9,Operating Expenses,47.2,43.04,51.41,-,32.07,34.15,30.15,29.86,29.86,23.26,23.26,19.72,19.72
10,Operating Income,16.67,15.2,14.2,-,18.02,27.06,22.41,22.65,22.65,35.1,35.1,21.45,21.45
11,Interest Expense,-0.73,-2.69,-3.85,-,-,-1.4,-1.88,-2.12,-2.12,-1.11,-1.11,-1.08,-1.08
12,Interest & Investment Income,2.97,2.73,10.74,-,-,3.08,0.92,0.76,0.76,0.62,0.62,0.97,0.97
13,Currency Exchange Gain (Loss),-2.68,2.68,-,-,-4.14,4.14,-,2.85,2.85,2.37,2.37,-0.31,-0.31
14,Other Non Operating Income (Expenses),-1.7,2.2,-2.47,-,3.02,3.51,-3.1,0.03,0.03,-0.53,-0.53,-0.24,-0.24
15,EBT Excluding Unusual Items,14.53,20.12,18.62,-,16.9,36.38,18.34,24.17,24.17,36.45,36.45,20.8,20.8
16,Gain (Loss) on Sale of Investments,-0.43,0.31,0.12,-,-,-,-0.15,-3.62,-3.62,-0.77,-0.77,-1.72,-1.72
17,Gain (Loss) on Sale of Assets,-,-,0.29,-,-,0,-,-,-,-,-,0,0
18,Asset Writedown,-0.73,-0.03,-,-,-1.05,-,-,-0,-0,-,-,-,-
19,Other Unusual Items,5.84,3.31,-0.01,-,-,-,-,-,-,-,-,-0.03,-0.03
20,Pretax Income,19.21,23.71,19.02,-,15.85,36.38,18.2,20.55,20.55,35.68,35.68,19.06,19.06
21,Income Tax Expense,4.22,1.85,2.7,-,1.72,3.69,2.88,2.38,2.38,4.25,4.25,2.74,2.74
22,Earnings From Continuing Operations,14.99,21.86,16.32,-,14.13,32.7,15.32,18.17,18.17,31.43,31.43,16.33,16.33
23,Minority Interest in Earnings,0.45,1.15,0.64,-,0.19,0.09,0.01,-,-,-,-,-0.01,-0.01
24,Net Income,15.44,23.01,16.96,-,14.31,32.78,15.33,18.17,18.17,31.43,31.43,16.31,16.31
25,Net Income to Common,15.44,23.01,16.96,-,14.31,32.78,15.33,18.17,18.17,31.43,31.43,16.31,16.31
26,Net Income Growth,7.87%,-29.81%,10.64%,-,-21.22%,4.31%,-51.24%,11.36%,11.36%,-,-,-,-
27,Shares Outstanding (Basic),71,74,77,-,77,64,57,57,57,57,57,57,57
28,Shares Outstanding (Diluted),71,74,77,-,77,64,57,57,57,57,57,57,57
29,Shares Change (YoY),-7.86%,16.11%,35.78%,-,35.12%,11.14%,-0.67%,-0.22%,-0.22%,-,-,-,-
30,EPS (Basic),0.22,0.31,0.22,-,0.19,0.52,0.27,0.32,0.32,0.55,0.55,0.29,0.29
31,EPS (Diluted),0.22,0.31,0.22,-,0.19,0.52,0.27,0.32,0.32,0.55,0.55,0.28,0.28
32,EPS Growth,17.07%,-39.55%,-18.52%,-,-41.70%,-6.15%,-50.91%,12.09%,12.09%,-,-,-,-
33,Free Cash Flow,-48.58,28.11,-16.18,-,-5.32,-211.43,9.61,12.94,12.94,24.34,24.34,-54.53,-54.53
34,Free Cash Flow Per Share,-0.69,0.38,-0.21,-,-0.07,-3.33,0.17,0.23,0.23,0.43,0.43,-0.96,-0.96
35,Gross Margin,27.15%,25.56%,35.76%,-,32.19%,30.90%,33.17%,31.69%,31.69%,31.37%,31.37%,28.12%,28.12%
36,Operating Margin,7.09%,6.67%,7.74%,-,11.58%,13.66%,14.14%,13.67%,13.67%,18.86%,18.86%,14.65%,14.65%
37,Profit Margin,6.56%,10.10%,9.24%,-,9.20%,16.55%,9.67%,10.96%,10.96%,16.89%,16.89%,11.14%,11.14%
38,Free Cash Flow Margin,-20.65%,12.34%,-8.82%,-,-3.42%,-106.74%,6.06%,7.80%,7.80%,13.08%,13.08%,-37.24%,-37.24%
39,EBITDA,22.98,23.61,20.51,-,22.64,33.26,27.03,28.19,28.19,38.81,38.81,24.34,24.34
40,EBITDA Margin,9.77%,10.36%,11.18%,-,14.55%,16.79%,17.06%,17.01%,17.01%,20.85%,20.85%,16.62%,16.62%
41,D&A For EBITDA,6.32,8.41,6.32,-,4.62,6.2,4.62,5.54,5.54,3.7,3.7,2.89,2.89
42,EBIT,16.67,15.2,14.2,-,18.02,27.06,22.41,22.65,22.65,35.1,35.1,21.45,21.45
43,EBIT Margin,7.09%,6.67%,7.74%,-,11.58%,13.66%,14.14%,13.67%,13.67%,18.86%,18.86%,14.65%,14.65%
44,Effective Tax Rate,21.97%,7.81%,14.19%,-,10.85%,10.14%,15.81%,11.57%,11.57%,11.92%,11.92%,14.35%,14.35%
45,Revenue as Reported,235.25,227.85,183.48,-,155.6,198.08,158.45,-186.08,-186.08,186.08,186.08,146.44,146.44
