,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,418.63,404.32,353.86,300.03,305.47,324.43,330.66,295.63,283.3,326.06,345.4,267.58
1,Other Revenue,-,-6.09,6.09,-,11.05,-4.35,4.35,-,11.02,-4.83,4.83,-
2,Revenue,418.63,398.23,359.95,300.03,316.52,320.08,335,295.63,294.32,321.22,350.23,267.58
3,Revenue Growth (YoY),32.26%,24.41%,7.45%,1.49%,7.55%,-0.36%,-4.35%,10.48%,-,-,-,-
4,Cost of Revenue,-831.82,301.85,288.96,241.01,265.8,250.6,276.98,238.05,244.47,248.81,277.23,215.7
5,Gross Profit,1250,96.38,71,59.02,50.72,69.48,58.02,57.57,49.84,72.41,73,51.87
6,"Selling, General & Admin",-71.67,26.33,23.34,22,24.07,21.8,22.1,18.7,17.09,20.62,16.89,13.53
7,Research & Development,-47.98,17.03,15.7,15.25,14.56,16.01,13.48,11.46,15.71,15.03,13.2,10.54
8,Other Operating Expenses,1311,1.21,1.87,1.28,5.86,0.38,-0.3,0.49,5.26,-1.94,1.19,1.21
9,Operating Expenses,1186,46.87,43.16,39.51,47.51,40.78,36.58,31.45,35.99,33.62,35.42,25.4
10,Operating Income,64.66,49.51,27.84,19.51,3.22,28.7,21.44,26.12,13.86,38.79,37.58,26.48
11,Interest Expense,-15.01,-0.19,-0.18,-0.23,-0.41,-0.34,-0.27,-0.3,-0.32,-0.47,-1.03,-0.63
12,Interest & Investment Income,0.59,4.18,6.84,3.99,5.67,5.61,4.74,6.56,1.07,0.16,-,0.71
13,Currency Exchange Gain (Loss),-,-2.87,2.87,-,5.65,-6.59,6.59,-,14.11,-7.61,7.61,-
14,Other Non Operating Income (Expenses),4.51,-0.93,-0.79,0.63,-6.78,9.64,1.92,2.93,-16.92,16.69,0.32,-0.5
15,EBT Excluding Unusual Items,54.75,49.7,36.58,23.9,7.34,37.01,34.42,35.32,11.79,47.56,44.47,26.06
16,Gain (Loss) on Sale of Investments,-0.93,1.04,-1.29,1.19,-0.12,-0.12,-0.15,-0.95,1.33,-3.36,-5.81,0.39
17,Gain (Loss) on Sale of Assets,0.09,0.04,0,-0.13,-0.2,-0.27,-0,-,-,-,-0.35,-
18,Asset Writedown,8.68,-8.49,4.24,-4.43,9.19,-9.65,5.26,-5.28,4.75,-5.08,1.85,-2.08
19,Other Unusual Items,-12.75,1.79,4.28,6.69,5.34,-,-,-,7.94,-,-,-
20,Pretax Income,49.83,44.09,43.81,27.21,21.56,26.98,39.53,29.09,25.82,39.12,40.16,24.38
21,Income Tax Expense,4.27,4.18,4.18,1.94,1.07,1.8,4.12,2.72,1.26,3.68,4.1,2.11
22,Net Income,45.57,39.9,39.62,25.27,20.48,25.17,35.41,26.36,24.56,35.44,36.06,22.27
23,Net Income to Common,45.57,39.9,39.62,25.27,20.48,25.17,35.41,26.36,24.56,35.44,36.06,22.27
24,Net Income Growth,122.47%,58.51%,11.89%,-4.14%,-16.59%,-28.97%,-1.81%,18.39%,-,-,-,-
25,Shares Outstanding (Basic),142,144,140,142,142,145,139,142,130,107,106,106
26,Shares Outstanding (Diluted),142,144,140,142,142,145,139,142,130,107,106,106
27,Shares Change (YoY),-0.04%,-0.94%,0.97%,0.00%,9.11%,35.28%,31.39%,33.36%,-,-,-,-
28,EPS (Basic),0.32,0.28,0.28,0.18,0.14,0.17,0.25,0.19,0.19,0.33,0.34,0.21
29,EPS (Diluted),0.32,0.28,0.28,0.18,0.14,0.17,0.25,0.19,0.19,0.33,0.34,0.21
30,EPS Growth,122.57%,60.01%,10.81%,-4.14%,-23.56%,-47.49%,-25.27%,-11.23%,-,-,-,-
31,Free Cash Flow,-,52.18,21.07,-38.14,-0.31,5.64,-42.86,-11.95,25.81,37.26,12.64,18.24
32,Free Cash Flow Per Share,-,0.36,0.15,-0.27,-0.00,0.04,-0.31,-0.08,0.20,0.35,0.12,0.17
33,Dividend Per Share,-,-,-,-,0.286,-,-,-,0.429,-,-,-
34,Dividend Growth,-,-,-,-,-33.34%,-,-,-,-,-,-,-
35,Gross Margin,298.70%,24.20%,19.72%,19.67%,16.03%,21.71%,17.32%,19.48%,16.94%,22.54%,20.84%,19.39%
36,Operating Margin,15.44%,12.43%,7.73%,6.50%,1.02%,8.97%,6.40%,8.84%,4.71%,12.08%,10.73%,9.89%
37,Profit Margin,10.88%,10.02%,11.01%,8.42%,6.47%,7.86%,10.57%,8.92%,8.34%,11.03%,10.30%,8.32%
38,Free Cash Flow Margin,-,13.10%,5.85%,-12.71%,-0.10%,1.76%,-12.79%,-4.04%,8.77%,11.60%,3.61%,6.82%
39,EBITDA,72.32,57.17,36.79,27.17,10.88,35.34,29.05,32.77,20.5,44.5,43.7,32.19
40,EBITDA Margin,17.28%,14.36%,10.22%,9.06%,3.44%,11.04%,8.67%,11.08%,6.96%,13.85%,12.48%,12.03%
41,D&A For EBITDA,7.66,7.66,8.95,7.66,7.66,6.64,7.61,6.64,6.64,5.72,6.12,5.72
42,EBIT,64.66,49.51,27.84,19.51,3.22,28.7,21.44,26.12,13.86,38.79,37.58,26.48
43,EBIT Margin,15.44%,12.43%,7.73%,6.50%,1.02%,8.97%,6.40%,8.84%,4.71%,12.08%,10.73%,9.89%
44,Effective Tax Rate,8.56%,9.49%,9.55%,7.13%,4.99%,6.68%,10.42%,9.37%,4.88%,9.40%,10.20%,8.65%
45,Revenue as Reported,-,398.23,359.95,300.03,316.52,320.08,335,295.63,294.32,321.22,350.23,267.58
