,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022"
0,Operating Revenue,265.4,197.04,199.85,169.12,180.59,186.42,206.6,149.07,137.21,156.15
1,Other Revenue,-,-13.51,13.51,-,31.03,-10.3,10.3,-,31.76,-
2,Revenue,265.4,183.53,213.36,169.12,211.62,176.11,216.91,149.07,168.97,156.15
3,Revenue Growth (YoY),25.41%,4.21%,-1.64%,13.44%,25.24%,12.78%,-,-,-,-
4,Cost of Revenue,-325.46,106.04,118.15,101.27,132.73,95.17,102.14,84.15,115.74,88.7
5,Gross Profit,590.86,77.49,95.2,67.85,78.89,80.95,114.77,64.92,53.23,67.45
6,"Selling, General & Admin",-84.92,28.69,31.37,24.87,29.87,26.58,30.94,24.01,24.2,25.87
7,Research & Development,-37.11,14.57,12.73,9.81,18.85,17.34,15.97,11.41,18.49,10.74
8,Other Operating Expenses,658.75,2.48,2.48,2.08,10.11,-3.15,-2.87,-2.45,8.67,-2.13
9,Operating Expenses,532.14,44.8,50.56,38.29,66.45,39.82,50.4,33.69,50.75,31.64
10,Operating Income,58.72,32.69,44.64,29.56,12.44,41.13,64.37,31.23,2.48,35.81
11,Interest Expense,-6.51,-0.12,-0.08,-0.1,-0.31,-0.07,-0.07,-0.11,-0.11,-0.11
12,Interest & Investment Income,0.3,1.16,3.19,2.16,2.61,2.15,1.88,1.14,2.13,1.38
13,Currency Exchange Gain (Loss),-,-0.15,0.15,-,0.44,-1.06,1.06,-,1.45,-
14,Other Non Operating Income (Expenses),0.05,-0.4,-0.34,0.12,-0.45,0.31,-0.16,0.02,-1.18,0.02
15,EBT Excluding Unusual Items,52.56,33.19,47.56,31.74,14.73,42.46,67.09,32.28,4.78,37.09
16,Gain (Loss) on Sale of Investments,-1.53,1.01,0.52,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0,-0,0,0,0.03,-0,-0.05,0,0.02,-
18,Asset Writedown,0.37,-0.37,0.07,-0.07,-0.05,0.05,-0.06,0.02,-0.02,-0.05
19,Other Unusual Items,-5.07,0.91,1.77,2.39,22.45,-0.68,0.68,-,19.59,-
20,Pretax Income,46.34,34.73,49.92,34.06,37.16,41.82,67.66,32.3,24.38,37.05
21,Income Tax Expense,11.86,6.18,8.14,6.75,5.56,5.71,10.52,7.23,2.19,5.77
22,Earnings From Continuing Operations,34.47,28.55,41.79,27.3,31.6,36.11,57.14,25.07,22.18,31.28
23,Minority Interest in Earnings,1.81,-0.93,-0.64,-0.24,-4.12,-0.83,-3.97,-1.6,-2.83,-2.44
24,Net Income,36.28,27.61,41.15,27.06,27.48,35.28,53.17,23.47,19.35,28.83
25,Net Income to Common,36.28,27.61,41.15,27.06,27.48,35.28,53.17,23.47,19.35,28.83
26,Net Income Growth,32.02%,-21.74%,-22.61%,15.31%,42.04%,22.37%,-,-,-,-
27,Shares Outstanding (Basic),226,226,226,226,188,170,169,170,172,170
28,Shares Outstanding (Diluted),226,226,226,226,188,170,169,170,172,170
29,Shares Change (YoY),20.09%,33.28%,33.46%,33.23%,9.61%,-0.03%,-,-,-,-
30,EPS (Basic),0.16,0.12,0.18,0.12,0.15,0.21,0.31,0.14,0.11,0.17
31,EPS (Diluted),0.16,0.12,0.18,0.12,0.15,0.21,0.31,0.14,0.11,0.17
32,EPS Growth,9.94%,-41.28%,-42.01%,-13.45%,29.58%,22.41%,-,-,-,-
33,Free Cash Flow,-,-384.11,65.66,-433.26,-29.35,-20.86,81.01,-2.71,-24.12,46.65
34,Free Cash Flow Per Share,-,-1.70,0.29,-1.92,-0.16,-0.12,0.48,-0.02,-0.14,0.28
35,Dividend Per Share,-,-,-,-,0.409,-,-,-,-,-
36,Gross Margin,222.63%,42.22%,44.62%,40.12%,37.28%,45.96%,52.91%,43.55%,31.50%,43.20%
37,Operating Margin,22.13%,17.81%,20.92%,17.48%,5.88%,23.35%,29.68%,20.95%,1.47%,22.93%
38,Profit Margin,13.67%,15.04%,19.29%,16.00%,12.99%,20.03%,24.51%,15.74%,11.45%,18.46%
39,Free Cash Flow Margin,-,-209.29%,30.77%,-256.19%,-13.87%,-11.85%,37.35%,-1.82%,-14.28%,29.88%
40,EBITDA,69.23,43.2,66.25,40.06,22.94,48.87,73.7,38.97,10.22,41.39
41,EBITDA Margin,26.08%,23.54%,31.05%,23.69%,10.84%,27.75%,33.98%,26.14%,6.05%,26.51%
42,D&A For EBITDA,10.5,10.5,21.61,10.5,10.5,7.74,9.33,7.74,7.74,5.58
43,EBIT,58.72,32.69,44.64,29.56,12.44,41.13,64.37,31.23,2.48,35.81
44,EBIT Margin,22.13%,17.81%,20.92%,17.48%,5.88%,23.35%,29.68%,20.95%,1.47%,22.93%
45,Effective Tax Rate,25.60%,17.81%,16.30%,19.83%,14.97%,13.65%,15.55%,22.37%,9.00%,15.57%
46,Revenue as Reported,-,183.53,213.36,169.12,211.62,176.11,216.91,149.07,168.97,156.15
