,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022"
0,Market Capitalization,7764,7687,8512,8356,9371,7780,-,-,-,-,-
1,Market Cap Growth,-1.19%,-1.19%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7452,7375,7815,7635,9063,7472,-,-,-,-,-
3,Last Close Price,34.34,34.00,37.65,36.96,40.99,34.03,-,-,-,-,-
4,PE Ratio,58.77,58.19,69.03,63.80,65.53,55.80,-,-,-,-,-
5,PS Ratio,9.34,9.25,10.95,10.85,12.11,10.32,-,-,-,-,-
6,PB Ratio,4.09,3.65,4.04,4.27,4.67,3.93,-,-,-,-,-
7,P/TBV Ratio,5.35,5.35,5.92,5.94,6.43,5.45,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-20.00,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,63.94,73.06,67.73,-,-,-,-,-,-
10,EV/Sales Ratio,8.96,8.87,10.05,9.91,11.71,9.91,-,-,-,-,-
11,EV/EBITDA Ratio,35.89,33.71,45.32,42.86,48.84,40.50,-,-,-,-,-
12,EV/EBIT Ratio,44.99,44.53,65.49,59.76,61.45,50.09,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-18.27,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,-
15,Debt / EBITDA Ratio,0.03,0.02,0.03,0.03,0.07,0.10,0.03,0.02,0.05,0.13,-
16,Debt / FCF Ratio,-,-,-,-0.02,-,-,-,0.07,-,-,-
17,Asset Turnover,-,0.28,0.32,0.23,0.37,0.47,-,-,-,-,
18,Inventory Turnover,-,-,385.55,396.69,316.12,-,-,-,-,-,-
19,Quick Ratio,-,-,2.82,1.62,1.69,1.42,1.72,1.63,-,1.53,-
20,Current Ratio,-,-,3.01,1.70,1.78,1.43,1.77,1.67,-,1.56,-
21,Return on Equity (ROE),6.55%,5.62%,8.43%,5.47%,8.29%,13.74%,23.04%,10.55%,-,-,
22,Return on Assets (ROA),-,3.16%,4.13%,2.53%,1.34%,6.82%,-,-,-,-,
23,Return on Capital (ROIC),6.95%,4.01%,5.60%,3.68%,2.03%,9.72%,16.10%,8.14%,-,-,
24,Return on Capital Employed (ROCE),-,-,5.47%,6.30%,7.14%,7.32%,12.33%,12.23%,-,3.80%,-
25,Earnings Yield,1.70%,1.72%,1.45%,1.57%,1.53%,1.79%,-,-,-,-,-
26,FCF Yield,-,-9.18%,-5.00%,-4.29%,0.36%,-,-,-,-,-,
27,Dividend Yield,1.16%,-,-,-,-,1.20%,-,-,-,-,-
28,Payout Ratio,0.00%,-,0.08%,224.64%,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-29.73%,-20.09%,-33.28%,-33.46%,-33.23%,-9.61%,0.03%,-,-,-,-
30,Total Shareholder Return,-28.57%,-20.09%,-33.28%,-33.46%,-33.23%,-8.41%,0.03%,-,-,-,-
