,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,173.28,175.32,238.75,253.79,1052,-,-,186.35,-,180.07,180.07,125.86,125.86
1,Short-Term Investments,-,50.91,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,968.16,963.13,909.98,902.81,151.75,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1141,1189,1149,1157,1203,-,186.35,186.35,180.07,180.07,180.07,125.86,125.86
4,Cash Growth,-5.15%,-,516.45%,520.68%,568.29%,-,3.48%,48.06%,43.08%,-,-,-,-
5,Accounts Receivable,177.27,159.97,152.87,135.09,113.62,-,-,92.68,-,73.31,73.31,49.26,49.26
6,Other Receivables,4.59,3.79,3.58,-,3.92,-,-,-,-,-,-,-,-
7,Receivables,181.86,163.76,156.45,135.09,117.54,-,-,92.68,-,73.31,73.31,49.26,49.26
8,Inventory,0.84,1.02,0.58,0.67,1.67,-,-,0.44,-,0.41,0.41,0.54,0.54
9,Other Current Assets,70.42,19.02,70.97,69.82,15.93,-,-,6.75,-,7.84,7.84,5.32,5.32
10,Total Current Assets,1395,1373,1377,1362,1339,-,-,286.22,-,261.64,261.64,180.97,180.97
11,"Property, Plant & Equipment",177.27,167.27,156.7,150.01,144.2,-,-,97.28,-,53.62,53.62,32.69,32.69
12,Other Intangible Assets,15.24,11.44,11.72,12,12.28,-,-,10.09,-,10.11,10.11,8.47,8.47
13,Long-Term Deferred Tax Assets,0.2,0.27,0.17,0.11,1.82,-,-,1.35,-,1.11,1.11,0.75,0.75
14,Long-Term Deferred Charges,4.25,8.82,9.48,9.58,10.09,-,-,5.39,-,3.24,3.24,2.23,2.23
15,Other Long-Term Assets,8.32,10.17,13.99,10.7,11.24,-,-,4.28,-,2.63,2.63,0.59,0.59
16,Total Assets,1600,1571,1569,1545,1518,-,-,404.6,-,332.36,332.36,225.69,225.69
17,Accounts Payable,38.62,32.5,28.15,13.12,32.01,-,-,7.86,-,26.84,26.84,5.44,5.44
18,Accrued Expenses,14.36,10.79,7.24,15.59,12.19,-,-,15.95,-,7.91,7.91,6.52,6.52
19,Short-Term Debt,-,1,-,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,-,-,-,-,-,-,-,0.03,-,0.09,0.09,-,-
21,Current Income Taxes Payable,1.29,0.17,0.86,0.31,1.19,-,-,1.67,-,2.78,2.78,3.69,3.69
22,Current Unearned Revenue,15.59,18.07,18.47,20.65,14.95,-,-,17.64,-,17.38,17.38,13.86,13.86
23,Other Current Liabilities,2.04,4.99,3.12,17.26,11.98,-,-,22.1,-,1.54,1.54,0.29,0.29
24,Total Current Liabilities,71.89,67.51,57.83,66.94,72.33,-,-,65.24,-,56.53,56.53,29.79,29.79
25,Long-Term Unearned Revenue,7.88,8.12,8.36,6.55,4.61,-,-,2.94,-,3.24,3.24,2.14,2.14
26,Long-Term Deferred Tax Liabilities,11.6,9.8,8.91,7.1,8.02,-,-,4.8,-,3.87,3.87,3.16,3.16
27,Total Liabilities,91.37,85.44,75.1,80.58,84.97,-,-,72.98,-,63.65,63.65,35.09,35.09
28,Common Stock,66.67,66.67,66.67,66.67,66.67,-,-,50,-,50,50,50,50
29,Additional Paid-In Capital,1037,1037,1037,1037,1037,-,-,29.79,-,29.79,29.79,29.79,29.79
30,Retained Earnings,404.39,381.62,389.61,359.92,329.14,-,-,251.83,-,188.92,188.92,110.81,110.81
31,Shareholders' Equity,1508,1486,1494,1464,1433,-,331.62,331.62,268.71,268.71,268.71,190.6,190.6
32,Total Liabilities & Equity,1600,1571,1569,1545,1518,-,-,404.6,-,332.36,332.36,225.69,225.69
33,Total Debt,-,1,-,-,-,-,0.03,0.03,0.09,0.09,0.09,-,-
34,Net Cash (Debt),1141,1188,1149,1157,1203,-,186.32,186.32,179.99,179.99,179.99,125.86,125.86
35,Net Cash Growth,-5.15%,-,516.55%,520.78%,568.62%,-,3.52%,48.03%,43.01%,-,-,-,-
36,Net Cash Per Share,17.07,17.83,17.41,17.48,24.08,-,3.73,3.69,3.56,3.62,3.62,2.51,2.51
37,Filing Date Shares Outstanding,66.67,66.67,66.67,66.67,66.67,49.69,49.97,50,50.49,50,50,50,50
38,Total Common Shares Outstanding,66.67,66.67,66.67,66.67,66.67,49.69,49.97,50,50.49,50,50,50,50
39,Working Capital,1323,1306,1319,1295,1266,-,-,220.97,-,205.11,205.11,151.18,151.18
40,Book Value Per Share,22.63,22.29,22.41,21.96,21.50,-,6.63,6.63,5.37,5.37,5.37,3.81,3.81
41,Tangible Book Value,1493,1474,1482,1452,1421,-,321.52,321.52,258.6,258.6,258.6,182.13,182.13
42,Tangible Book Value Per Share,22.40,22.11,22.23,21.78,21.31,-,6.43,6.43,5.17,5.17,5.17,3.64,3.64
43,Buildings,-,93.39,-,90.51,-,-,-,8.95,-,8.95,8.95,-,-
44,Machinery,-,103.49,-,83.24,-,-,-,49.03,-,40.4,40.4,-,-
45,Construction In Progress,-,-,-,-,-,-,-,56.93,-,19.47,19.47,-,-
