,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,2967,3136,3898,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,2884,3009,3967,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,20.05,21.19,26.34,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,45.36,55.14,64.74,-,-,-,-,-,-,-,-,-,-
4,PS Ratio,2.50,3.12,4.03,-,-,-,-,-,-,-,-,-,-
5,PB Ratio,3.89,4.11,5.30,-,-,-,-,-,-,-,-,-,-
6,P/TBV Ratio,4.63,4.63,5.98,-,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,106.32,49.72,-,-,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,2.87,2.99,4.10,-,-,-,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,27.86,30.02,39.72,-,-,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,47.77,49.34,-,-,-,-,-,-,-,-,-,-,-
11,Debt / Equity Ratio,0.20,0.20,0.15,0.32,0.28,-,0.26,0.40,0.40,0.42,0.42,0.42,0.77
12,Debt / EBITDA Ratio,1.46,1.14,2.65,1.51,0.93,-,0.93,1.39,0.46,-,1.20,1.20,0.78
13,Debt / FCF Ratio,-,-,-,1.98,-,-,1.40,2.82,-,-,4.67,9.35,-
14,Asset Turnover,0.72,0.75,0.77,-,-,-,-,-,-,1.03,-,-,
15,Inventory Turnover,-,3.88,4.41,4.70,-,-,-,-,-,-,5.94,-,-
16,Quick Ratio,0.61,0.61,0.70,0.42,0.47,-,0.47,-,0.41,-,0.48,0.48,0.53
17,Current Ratio,0.94,0.94,1.03,0.68,0.74,-,0.72,-,0.69,-,0.72,0.72,0.81
18,Return on Equity (ROE),7.80%,3.42%,11.53%,-,-,20.51%,13.61%,76.66%,-36.40%,21.38%,-,-,
19,Return on Assets (ROA),3.88%,-0.16%,3.07%,-,-,-,-,-,-,4.72%,-,-,
20,Return on Capital (ROIC),6.59%,-0.29%,6.09%,-,-,8.54%,8.54%,36.14%,-18.35%,10.73%,-,-,
21,Return on Capital Employed (ROCE),7.82%,7.90%,-,17.02%,17.94%,-,16.75%,-,18.80%,-,27.76%,22.55%,18.46%
22,Earnings Yield,1.86%,1.81%,1.54%,-,-,-,-,-,-,-,-,-,-
23,FCF Yield,-6.68%,-4.39%,-1.33%,-,-,-,-,-,-,-,-,-,-
24,Payout Ratio,57.93%,7.65%,590.96%,2.72%,-,2.81%,2.67%,4.57%,-,-,2.80%,2.80%,-
25,Buyback Yield / Dilution,-11.48%,-34.76%,-21.86%,5.55%,-,-1.10%,2.04%,-2.86%,-,-,-,-,-
26,Total Shareholder Return,-10.50%,-34.76%,-21.86%,5.55%,-,-1.10%,2.04%,-2.86%,-,-,-,-,-
