,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,327.55,411.23,480.25,-,-,116.01,-
1,Trading Asset Securities,18.7,4.38,4.26,-,-,4.26,-
2,Cash & Short-Term Investments,346.25,415.61,484.5,-,-,120.27,99.13
3,Cash Growth,-,245.56%,388.76%,-,-,-,-
4,Accounts Receivable,179.52,203.16,188.44,-,-,219.01,-
5,Other Receivables,30.41,6.86,10.33,-,-,7.84,-
6,Receivables,209.94,210.02,198.77,-,-,226.85,-
7,Inventory,317.64,301.46,274.66,-,-,283.1,-
8,Other Current Assets,53.29,54.36,38.41,-,-,52.36,-
9,Total Current Assets,927.11,981.45,996.34,-,-,682.58,-
10,"Property, Plant & Equipment",562.49,532.94,495.09,-,-,443.41,-
11,Other Intangible Assets,29.16,29.15,21.89,-,-,22.22,-
12,Long-Term Deferred Tax Assets,8.89,8.45,8.07,-,-,5.93,-
13,Long-Term Deferred Charges,11.42,11.79,11.88,-,-,0.86,-
14,Other Long-Term Assets,33.8,18.39,16.16,-,-,9.29,-
15,Total Assets,1573,1582,1549,-,-,1164,-
16,Accounts Payable,105.57,92.16,121.42,-,-,110.4,-
17,Accrued Expenses,5.99,12.98,6.2,-,-,27.01,-
18,Short-Term Debt,356.51,369.87,327.14,-,-,375.27,-
19,Current Portion of Leases,38.78,41.65,25.78,-,-,9.71,-
20,Current Income Taxes Payable,7.7,3.56,9.79,-,-,4.96,-
21,Current Unearned Revenue,6.31,6.92,4.18,-,-,2.41,-
22,Other Current Liabilities,6.98,2.84,-,-,-,16.46,-
23,Total Current Liabilities,527.83,529.99,494.53,-,-,546.22,-
24,Long-Term Debt,131.91,145.11,140.01,-,-,114.29,-
25,Long-Term Leases,0.9,1.05,0.94,-,-,0.62,-
26,Long-Term Unearned Revenue,0.29,0.31,0.33,-,-,0.39,-
27,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.33,-
28,Other Long-Term Liabilities,5.75,5.76,7.17,-,-,9.08,-
29,Total Liabilities,666.68,682.22,642.97,-,-,670.94,-
30,Common Stock,118.87,118.87,118.87,-,-,89.15,-
31,Additional Paid-In Capital,524.59,524.59,524.59,-,-,193.39,-
32,Retained Earnings,263.2,256.01,263.11,-,-,213.09,-
33,Comprehensive Income & Other,-0.47,0.47,-0.11,-,-,-2.28,-
34,Shareholders' Equity,906.18,899.95,906.46,-,-,493.35,448.88
35,Total Liabilities & Equity,1573,1582,1549,-,-,1164,-
36,Total Debt,528.11,557.68,493.86,-,-,499.89,347.12
37,Net Cash (Debt),-181.86,-142.08,-9.36,-,-,-379.62,-248
38,Net Cash Per Share,-1.54,-1.29,-0.09,-,-,-4.29,-2.73
39,Filing Date Shares Outstanding,118.87,118.87,118.87,-,89.04,89.15,90.73
40,Total Common Shares Outstanding,118.87,118.87,118.87,-,89.04,89.15,90.73
41,Working Capital,399.28,451.46,501.82,-,-,136.35,-
42,Book Value Per Share,7.62,7.57,7.63,-,-,5.53,5.04
43,Tangible Book Value,877.03,870.8,884.57,-,-,471.13,426.65
44,Tangible Book Value Per Share,7.38,7.33,7.44,-,-,5.28,4.79
45,Buildings,-,217.58,-,-,-,202.68,-
46,Machinery,-,359.89,-,-,-,326.98,-
47,Construction In Progress,-,149.85,-,-,-,73.83,-
