,no,s,n,marketCap,price,change,revenue,url
0,1,she/300750,"Contemporary Amperex Technology Co., Limited",1111360063931.0,262.44,3.12,365284542900.0,quote/she/300750
1,2,she/002594,BYD Company Limited,1053648264662.4122,368.9,5.1,682291828000.0,quote/she/002594
2,3,she/000333,"Midea Group Co., Ltd.",525831824937.99994,71.23,1.61,399901989000.0,quote/she/000333
3,4,she/000858,"Wuliangye Yibin Co.,Ltd.",513886083782.0,138.63,4.26,88651259789.0,quote/she/000858
4,5,she/300059,"East Money Information Co.,Ltd.",368592416791.0,24.04,1.82,9791984992.0,quote/she/300059
5,6,she/002415,"Hangzhou Hikvision Digital Technology Co., Ltd.",307280840289.0,33.15,-0.39,93055311392.0,quote/she/002415
6,7,she/300760,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",295756992611.0,250.03,2.38,37112908413.0,quote/she/300760
7,8,she/002475,"Luxshare Precision Industry Co., Ltd.",292190641770.0,40.87,0.79,253207528461.0,quote/she/002475
8,9,she/000651,"Gree Electric Appliances, Inc. of Zhuhai",233572363264.0,43.15,2.45,195694332711.0,quote/she/000651
9,10,she/002371,"NAURA Technology Group Co., Ltd.",231165828270.0,442.19,-0.14,27843866758.0,quote/she/002371
10,11,she/000001,"Ping An Bank Co., Ltd.",229766071464.0,11.98,1.1,100943000000.0,quote/she/000001
11,12,she/002352,"S.F. Holding Co., Ltd.",215592102808.0,43.96,2.14,276258797000.0,quote/she/002352
12,13,she/002714,"Muyuan Foods Co., Ltd.",206156738390.0,38.4,1.13,124667197779.0,quote/she/002714
13,14,she/000568,"Luzhou Laojiao Co.,Ltd",199096160296.0,142.87,5.22,32594134256.0,quote/she/000568
14,15,she/300124,"Shenzhen Inovance Technology Co.,Ltd",194744530030.0,72.27,-3.25,35696143100.0,quote/she/300124
15,16,she/300999,"Yihai Kerry Arawana Holdings Co., Ltd",171864451691.0,32.27,1.26,238866319000.0,quote/she/300999
16,17,she/003816,"CGN Power Co., Ltd.",169379303888.24792,3.66,1.1,84976425162.0,quote/she/003816
17,18,she/000063,ZTE Corporation,169088089547.0,37.33,-3.74,121298752000.0,quote/she/000063
18,19,she/002142,"Bank of Ningbo Co., Ltd.",164099231181.0,25.74,5.67,54737000000.0,quote/she/002142
19,20,she/300033,"Hithink RoyalFlush Information Network Co., Ltd.",161538048000.0,311.88,1.63,4186794649.000001,quote/she/300033
20,21,she/000725,BOE Technology Group Company Limited,158975209439.0,4.36,1.16,191759899592.0,quote/she/000725
21,22,she/300274,"Sungrow Power Supply Co., Ltd.",139063565852.0,68.57,1.54,75782008619.0,quote/she/300274
22,23,she/000338,"Weichai Power Co., Ltd.",135230776712.06804,16.0,-2.2,215528990664.0,quote/she/000338
23,24,she/300433,"Lens Technology Co., Ltd.",127362258525.0,26.27,-6.41,66910613029.0,quote/she/300433
24,25,she/300015,"Aier Eye Hospital Group Co., Ltd.",126162184331.0,13.9,0.51,20621484187.0,quote/she/300015
25,26,she/000166,"Shenwan Hongyuan Group Co., Ltd.",119132179324.0,5.14,1.58,22458795716.0,quote/she/000166
26,27,she/002230,"iFLYTEK CO.,LTD",115805500312.0,50.81,-1.91,21886120865.0,quote/she/002230
27,28,she/002304,"Jiangsu Yanghe Distillery Co., Ltd.",115499143824.0,78.26,1.85,30359665188.0,quote/she/002304
28,29,she/300308,"Zhongji Innolight Co., Ltd.",113220756705.0,104.1,1.7,23861489011.0,quote/she/300308
29,30,she/000625,Chongqing Changan Automobile Company Limited,112977173290.0,13.06,-0.68,154050983505.0,quote/she/000625
30,31,she/300442,Range Intelligent Computing Technology Group Company Limited,110863418196.0,65.38,-1.83,8080225232.0,quote/she/300442
31,32,she/300498,"Wens Foodstuff Group Co., Ltd.",110654768010.0,16.68,0.54,104906201800.0,quote/she/300498
