,Exchange Name,Country,Code,Currency,Stocks,Url
0,US OTC,United States,OTC,USD,7591,/list/otc-stocks/
1,Bombay Stock Exchange,India,BOM,INR,4253,/list/bse-india/
2,Tokyo Stock Exchange,Japan,TYO,JPY,3892,/list/tokyo-stock-exchange/
3,Nasdaq Stock Market,United States,NASDAQ,USD,3316,/list/nasdaq-stocks/
4,London Stock Exchange,United Kingdom,LON,GBP,3305,/list/london-stock-exchange/
5,Shenzhen Stock Exchange,China,SHE,CNY,2819,/list/shenzhen-stock-exchange/
6,Hong Kong Stock Exchange,Hong Kong,HKG,HKD,2554,/list/hong-kong-stock-exchange/
7,National Stock Exchange of India,India,NSE,INR,2549,/list/nse-india/
8,Shanghai Stock Exchange,China,SHA,CNY,2267,/list/shanghai-stock-exchange/
9,New York Stock Exchange,United States,NYSE,USD,1943,/list/nyse-stocks/
10,Australian Securities Exchange,Australia,ASX,AUD,1791,/list/australian-securities-exchange/
11,KOSDAQ,South Korea,KOSDAQ,KRW,1670,/list/kosdaq-korea/
12,TSX Venture Exchange,Canada,TSXV,CAD,1402,/list/tsx-venture-exchange/
13,Taipei Exchange,Taiwan,TPEX,TWD,1116,/list/taipei-exchange/
14,Taiwan Stock Exchange,Taiwan,TPE,TWD,1033,/list/taiwan-stock-exchange/
15,Bursa Malaysia,Malaysia,KLSE,MYR,1026,/list/bursa-malaysia/
16,Indonesia Stock Exchange,Indonesia,IDX,IDR,888,/list/indonesia-stock-exchange/
17,Stock Exchange of Thailand,Thailand,BKK,THB,881,/list/stock-exchange-of-thailand/
18,Korea Stock Exchange,South Korea,KRX,KRW,814,/list/korea-stock-exchange/
19,Nasdaq Stockholm,Sweden,STO,SEK,776,/list/nasdaq-stockholm/
20,Euronext Paris,France,EPA,EUR,754,/list/euronext-paris/
21,Warsaw Stock Exchange,Poland,WSE,PLN,718,/list/warsaw-stock-exchange/
22,Toronto Stock Exchange,Canada,TSX,CAD,716,/list/toronto-stock-exchange/
23,Deutsche BÃ¶rse Xetra,Germany,ETR,EUR,688,/list/deutsche-boerse-xetra/
24,London Stock Exchange AIM,United Kingdom,AIM,GBP,643,/list/london-stock-exchange-aim/
25,Canadian Securities Exchange,Canada,CSE,CAD,593,/list/canadian-securities-exchange/
26,Istanbul Stock Exchange,Turkey,IST,TRY,549,/list/borsa-istanbul/
27,Tel Aviv Stock Exchange,Israel,TLV,ILS,486,/list/tel-aviv-stock-exchange/
28,Pakistan Stock Exchange,Pakistan,PSX,PKR,465,/list/pakistan-stock-exchange/
29,Ho Chi Minh Stock Exchange,Vietnam,HOSE,VND,383,/list/ho-chi-minh-stock-exchange/
30,Singapore Exchange,Singapore,SGX,SGD,355,/list/singapore-exchange/
31,Dhaka Stock Exchange,Bangladesh,DSE,BDT,353,/list/dhaka-stock-exchange/
32,Borsa Italiana,Italy,BIT,EUR,335,/list/borsa-italiana/
33,Brazil Stock Exchange,Brazil,BVMF,BRL,320,/list/brazil-stock-exchange/
34,Saudi Stock Exchange,Saudi Arabia,TADAWUL,SAR,317,/list/saudi-stock-exchange/
35,Oslo BÃ¸rs,Norway,OSL,NOK,308,/list/oslo-bors/
36,Colombo Stock Exchange,Sri Lanka,COSE,LKR,291,/list/colombo-stock-exchange/
37,Philippine Stock Exchange,Philippines,PSE,PHP,275,/list/philippine-stock-exchange/
38,Johannesburg Stock Exchange,South Africa,JSE,ZAR,272,/list/johannesburg-stock-exchange/
39,Hanoi Stock Exchange,Vietnam,HNX,VND,250,/list/hanoi-stock-exchange/
40,Frankfurt Stock Exchange,Germany,FRA,EUR,245,/list/frankfurt-stock-exchange/
41,NYSE American,United States,AMEX,USD,234,/list/nyseamerican-stocks/
42,SIX Swiss Exchange,Switzerland,SWX,CHF,218,/list/six-swiss-exchange/
43,Egyptian Stock Exchange,Egypt,EGX,EGP,213,/list/egyptian-stock-exchange/
44,Moscow Stock Exchange,Russia,MOEX,RUB,188,/list/moscow-stock-exchange/
45,Nasdaq Helsinki,Finland,HEL,EUR,187,/list/nasdaq-helsinki/
46,Bucharest Stock Exchange,Romania,BVB,RON,176,/list/bucharest-stock-exchange/
47,Copenhagen Stock Exchange,Denmark,CPH,DKK,162,/list/copenhagen-stock-exchange/
48,Singapore Exchange - Catalist,Singapore,SGXC,SGD,161,/list/singapore-exchange/
49,Santiago Stock Exchange,Chile,SNSE,CLP,154,/list/santiago-stock-exchange/
50,Madrid Stock Exchange,Spain,BME,EUR,154,/list/madrid-stock-exchange/
51,Nigerian Stock Exchange,Nigeria,NGX,NGN,146,/list/nigerian-stock-exchange/
52,Nordic Growth Market,Sweden,NGM,SEK,144,/list/nordic-growth-market/
53,Kuwait Stock Exchange,Kuwait,KWSE,KWD,141,/list/kuwait-stock-exchange/
54,Athens Stock Exchange,Greece,ATH,EUR,130,/list/athens-stock-exchange/
55,Vienna Stock Exchange,Austria,VIE,EUR,127,/list/vienna-stock-exchange/
56,Euronext Amsterdam,Netherlands,AMS,EUR,116,/list/euronext-amsterdam/
57,New Zealand Stock Exchange,New Zealand,NZE,NZD,116,/list/new-zealand-stock-exchange/
58,Amman Stock Exchange,Jordan,ASE,JOD,116,/list/amman-stock-exchange/
59,Euronext Brussels,Belgium,EBR,EUR,115,/list/euronext-brussels/
60,Mexican Stock Exchange,Mexico,BMV,MXN,111,/list/mexican-stock-exchange/
61,Korea New Exchange,South Korea,XKON,KRW,110,/list/korea-new-exchange/
62,Lima Stock Exchange,Peru,BVL,PEN,107,/list/lima-stock-exchange/
63,Luxembourg Stock Exchange,Luxembourg,LUX,EUR,104,/list/luxembourg-stock-exchange/
64,Muscat Securities Market,Oman,MSM,OMR,101,/list/muscat-securities-market/
65,Abu Dhabi Securities Exchange,United Arab Emirates,ADX,AED,100,/list/abu-dhabi-securities-exchange/
66,Jamaica Stock Exchange,Jamaica,JMSE,JMD,94,/list/jamaica-stock-exchange/
67,Cboe Canada,Canada,NEO,CAD,90,/list/cboe-canada/
68,Mauritius Stock Exchange,Mauritius,MUSE,MUR,88,/list/mauritius-stock-exchange/
69,Aquis Exchange,United Kingdom,AQU,GBP,80,/list/aquis-exchange/
