Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
600000.SS,PU DEV BANK,Financial Services,Banks - Regional,2020,1.88,21.72239205,0.007328958,12.33409742,0.6,4.285526276,0.167360232,0.370897891,0.074471352,2.36484E+11,7.95816E+12,8.056789398
600004.SS,BAIYUN AIRPORT,Industrials,Airports & Air Services,2020,-0.12,7.956801227,-0.008716087,1.508477921,0.145,-116.2606398,0.099722453,1.753377567,0.010393314,33018765779,28711591841,13.95127678
600006.SS,DONGFENG,Consumer Cyclical,Auto Manufacturers,2020,0.2768,3.908082343,0.027451538,2.491770702,0.0664,33.09275718,0.009485037,2.343879781,0.007248849,18320150375,20163001445,9.160075188
600007.SS,CHINA WORLD TRADE,Real Estate,Real Estate Services,2020,0.82,7.955157031,0.067994651,1.514457412,0.38,12.97152449,0.223286143,1.337076068,0.035725534,10714084898,12139576997,10.63665009
600008.SS,BEIJING CAPITAL ECO-ENVIRONMENT PROTECTION,Industrials,Conglomerates,2020,0.2411,3.549466748,0.01474252,2.80751329,0.07496,10.22738868,0.435929719,0.694702497,0.030399582,18100598877,99733193776,2.465823412
600009.SS,SH AIRPORT,Industrials,Airports & Air Services,2020,-0.66,11.74028935,-0.025381923,1.688279564,0.79,-113.8905265,0.334674708,6.402546416,0.010509827,1.87053E+11,49903680813,75.1677475
600011.SS,HUANENG INT'L,Utilities,Utilities - Independent Power Producers,2020,0.18,11.06581766,0.010417458,3.097399938,0.135,23.32250542,0.540325973,0.37937106,0.03215778,46168903470,4.38206E+11,4.198050976
600012.SS,WANTONG EXPRESSWAY,Industrials,Infrastructure Operations,2020,0.5241,9.869176453,0.041866157,1.710072302,0.23,9.559281249,0.11145992,0.507643097,0.045908007,5839678499,20762733435,5.010019302
600015.SS,HUAXIA BANK,Financial Services,Banks - Regional,2020,1.2,17.63209266,0.006257692,12.02814739,0.249,4.083433151,0.182607235,0.277909144,0.050815084,77984918663,3.39982E+12,4.900119781
600016.SS,MINSHENG BANK,Financial Services,Banks - Regional,2020,0.71,14.93247765,0.004936381,12.84112459,0.37,5.70346201,0.162083487,0.271184603,0.091370252,1.43602E+11,6.95023E+12,4.049458027
600017.SS,RIZHAO PORT,Industrials,Marine Shipping,2020,0.21,4.054381473,0.023221293,1.957173415,0.025,12.87233035,0.375010429,0.666732864,0.009248335,8314064525,27542854366,2.703189373
600018.SS,SHANG PORT GP,Industrials,Marine Shipping,2020,0.3585,3.759132447,0.053217306,1.62637195,0.145,11.31262041,0.268456249,1.078859145,0.035753258,94419449456,1.56099E+11,4.055574417
600019.SS,BAO IRON,Basic Materials,Steel,2020,0.57,8.399563837,0.034985267,1.806980262,0.28,8.165152031,0.117080527,0.554092659,0.060161534,1.02322E+11,3.62877E+11,4.654136658
600020.SS,ZHONGYUAN EXPRESSWAY,Industrials,Infrastructure Operations,2020,0.0619,5.27222607,0.00509847,3.984516207,0.058,50.25359849,0.670614383,0.590016002,0.018645334,6990888744,47543604425,3.110697746
600021.SS,SEP,Utilities,Utilities - Renewable,2020,0.2904,6.970389212,0.006839473,3.750872948,0.13,23.57503107,0.479541287,0.982181742,0.018988666,19283935123,1.30167E+11,6.846189022
600022.SS,SHANDONG IRON AND STEEL,Basic Materials,Steel,2020,0.067,1.975283083,0.010551841,2.220059145,0,19.71433946,0.20460321,0.668694404,0,14131625092,68486972234,1.320860744
600023.SS,ZHENENG ELEC POWER,Utilities,Utilities - Independent Power Producers,2020,0.45,5.065382578,0.053123018,1.499883221,0.2,7.327488793,0.242749744,0.650961681,0.060654401,44213445914,1.1457E+11,3.297369957
600025.SS,HUANENG HYDROPOWER,Utilities,Utilities - Renewable,2020,0.27,3.423055968,0.029366024,2.592140503,0.18,15.01942387,0.516481072,1.184685405,0.044386967,72994395872,1.64632E+11,4.055244446
600026.SS,COSCO SHIPPING ENERGY,Energy,Oil & Gas Midstream,2020,0.52,9.963747045,0.036104005,1.852682882,0.04,11.80330332,0.394698764,0.616004972,0.00651708,21327218203,65959857000,6.137717724
600027.SS,HUADIAN INTERNATIONAL,Utilities,Utilities - Regulated Electric,2020,0.36,8.740421377,0.018295615,2.513616858,0.146,7.708324989,0.461766114,0.31749007,0.05261267,23616139785,2.4275E+11,2.774996996
600028.SS,SINOPEC,Energy,Oil & Gas Integrated,2020,0.273,7.675690233,0.019232318,1.958873586,0.26,11.14686941,0.172454822,0.396458854,0.085439321,2.95887E+11,1.7389E+12,3.04309535
600030.SS,CITIC SECURITIES,Financial Services,Capital Markets,2020,1.093649,14.89382117,0.014152761,5.664658903,0.471401,22.98535007,0.19188099,1.687807637,0.018752597,3.06695E+11,1.05296E+12,25.13790512
600031.SS,SANY HEAVY INDUS,Industrials,Farm & Heavy Construction Machinery,2020,1.8401,6.692604593,0.121829203,2.169467434,0.42,17.67930891,0.114515729,4.860842422,0.012910486,2.75705E+11,1.26691E+11,32.53169632
600033.SS,FUJIAN EXPRESSWAY,Industrials,Infrastructure Operations,2020,0.1648,3.598450508,0.027383318,1.350780453,0.05,13.26985151,0.171749067,0.607725887,0.022863712,6001649943,16514181075,2.186871529
600035.SS,CHUTIAN EXPRESS,Industrials,Infrastructure Operations,2020,0.19,3.950191328,0.020445028,2.188637904,0.16,13.24330004,0.386352872,0.636988641,0.063587268,4051427267,15869291902,2.516227007
600036.SS,CMB,Financial Services,Banks - Regional,2020,3.79,35.08427525,0.011641763,11.44848662,1.2,9.685032223,0.060264681,1.046231449,0.032691961,7.5721E+11,8.36145E+12,36.70627213
600037.SS,GEHUA NETWORK,Communication Services,Broadcasting,2020,0.1178,9.108115656,0.010395579,1.243873528,0.66,76.35697039,0.022874151,0.987564437,0.073375311,12518853593,15767953961,8.994851112
600038.SS,AVICOPTER,Industrials,Aerospace & Defense,2020,1.2853,10.81485566,0.028624601,2.887139878,0.3,47.48121009,0.028205267,5.64294164,0.004915809,50036101013,26469472207,61.02759933
600039.SS,SRBG,Industrials,Engineering & Construction,2020,0.557143,2.667551516,0.02575759,4.495738491,0.05,4.511047882,0.388167055,0.9421744,0.019894173,21896511121,1.16874E+11,2.51329875
600048.SS,POLY DEVELOPMENTS,Real Estate,Real Estate - Development,2020,2.42,15.06154028,0.023061007,4.706963443,0.82,5.466325618,0.239563657,0.878297156,0.061987338,1.58351E+11,1.25534E+12,13.228508
600050.SS,CHINA UNICOM,Communication Services,Telecom Services,2020,0.178,4.644834138,0.009479046,1.757228345,0.0604,22.33091231,0.061241441,0.855768424,0.015195342,1.26404E+11,5.82475E+11,3.974902391
600051.SS,NINGBO UNITED,Industrials,Industrial Distribution,2020,1.11,9.487007555,0.048686778,2.169691819,0.2,7.38688804,0.03173117,0.864281564,0.024391893,2549043687,7060989437,8.199445724
600052.SS,DONGWANG TIMES,Real Estate,Real Estate - Development,2020,-0.05,4.003695797,-0.012114967,1.143753474,0.09727,-58.48502636,0.001242078,0.730387988,0.033263215,2468638365,3865772373,2.924251318
600053.SS,JIUDING INVESTMENT,Financial Services,Asset Management,2020,0.2001,6.195410859,0.02562783,1.239121013,0,96.51147861,0.121936891,3.117137395,0,8372520603,3385359847,19.31194687
600054.SS,HUANGSHAN TOURISM,Consumer Cyclical,Lodging,2020,-0.06,8.304408453,-0.009085914,1.142874677,0.109,-145.5422084,0.042755816,1.051553828,0.012482061,4482408933,5103805009,8.732532501
