,Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
0,600000.SS,PU DEV BANK,Financial Services,Banks - Regional,2021,1.62,22.82646601,0.00651402,11.99725899,0.48,4.603684979,0.185364882,0.326724674,0.06436068,218908000000.0,8136760000000.0,7.457969666
1,600004.SS,BAIYUN AIRPORT,Industrials,Airports & Air Services,2021,-0.17,7.737828895,-0.014733933,1.480838164,0.0423,-70.38453046,0.09449131,1.546347217,0.003535202,28318680908.0,27545031653.0,11.96537018
2,600006.SS,DONGFENG,Consumer Cyclical,Auto Manufacturers,2021,0.1859,4.010640705,0.018698021,2.396241334,0.0831,35.93464575,0.009417414,1.665631787,0.012439653,13360501289.0,19881648054.0,6.680250645
3,600007.SS,CHINA WORLD TRADE,Real Estate,Real Estate Services,2021,1.02,8.57155039,0.080449455,1.473420404,0.4,12.31255251,0.212063409,1.465172925,0.031850168,12650231648.0,12725924787.0,12.55880356
4,600008.SS,BEIJING CAPITAL ECO-ENVIRONMENT PROTECTION,Industrials,Conglomerates,2021,0.319,3.666774941,0.021581712,2.857567687,0.07,9.53432983,0.432091919,0.829462202,0.023015329,22326046623.0,108505000000.0,3.041451216
5,600009.SS,SH AIRPORT,Industrials,Airports & Air Services,2021,-0.68,14.41969724,-0.023263027,1.818006219,0.0,-68.21503359,0.325722619,3.216865241,0.0,115431000000.0,67842539413.0,46.38622284
6,600011.SS,HUANENG INT'L,Utilities,Utilities - Independent Power Producers,2021,-0.77,9.5960915,-0.020406196,3.948988606,0.18,-12.31522994,0.58979415,0.988186393,0.018981881,104288000000.0,490347000000.0,9.482727051
7,600012.SS,WANTONG EXPRESSWAY,Industrials,Infrastructure Operations,2021,0.9129,9.771027375,0.076009152,1.667714299,0.23,6.530290366,0.259385691,0.610120292,0.038580881,6948726819.0,19920862969.0,5.961502075
8,600015.SS,HUAXIA BANK,Financial Services,Banks - Regional,2021,1.35,18.74293844,0.00640184,12.2256819,0.301,3.419593528,0.181492087,0.246303496,0.065201598,73470362428.0,3676290000000.0,4.616451263
9,600016.SS,MINSHENG BANK,Financial Services,Banks - Regional,2021,0.71,16.1941909,0.004944924,11.85391935,0.213,4.483874415,0.112943646,0.196585977,0.066906423,112895000000.0,6952790000000.0,3.183550835
10,600017.SS,RIZHAO PORT,Industrials,Marine Shipping,2021,0.24,4.252334123,0.025235784,1.978079979,0.035,11.13016109,0.334667614,0.628181743,0.013102536,8215795315.0,29202895994.0,2.671238661
11,600018.SS,SHANG PORT GP,Industrials,Marine Shipping,2021,0.6336,4.286288468,0.085966777,1.584216703,0.128,7.887509736,0.258136932,1.165933232,0.025612672,116349000000.0,170787000000.0,4.997526169
12,600019.SS,BAO IRON,Basic Materials,Steel,2021,1.07,8.684643506,0.062124469,1.805222694,0.65,5.705311588,0.132821619,0.702928496,0.106475628,134213000000.0,380398000000.0,6.104683399
13,600020.SS,ZHONGYUAN EXPRESSWAY,Industrials,Infrastructure Operations,2021,0.285,5.495807385,0.015880167,3.775039557,0.035,10.64370055,0.659645988,0.551957964,0.011538,6817294943.0,46817424618.0,3.033454657
14,600021.SS,SEP,Utilities,Utilities - Renewable,2021,-0.7014,6.293054237,-0.011697352,4.125659441,0.11,-17.84904954,0.469737315,1.989387486,0.008786417,35263680052.0,156942000000.0,12.51932335
15,600022.SS,SHANDONG IRON AND STEEL,Basic Materials,Steel,2021,0.1148,2.049440519,0.016929695,2.225752445,0.04,14.74319123,0.179101409,0.825844096,0.023633422,18107915577.0,72545786301.0,1.692518353
16,600023.SS,ZHENENG ELEC POWER,Utilities,Utilities - Independent Power Producers,2021,-0.06,4.769340251,-0.00723101,1.611427159,0.225,-65.16966422,0.27013827,0.8198576,0.05754211,52430430227.0,115714000000.0,3.910179853
17,600025.SS,HUANENG HYDROPOWER,Utilities,Utilities - Renewable,2021,0.32,3.575752344,0.03633607,2.425823131,0.16,19.25791055,0.506414644,1.723422313,0.025963357,110926000000.0,160654000000.0,6.162531376
18,600026.SS,COSCO SHIPPING ENERGY,Energy,Oil & Gas Midstream,2021,-1.0468,8.228160284,-0.083944692,1.98477292,0.2,-5.366042866,0.428752075,0.682676744,0.035605095,19518442192.0,59388937000.0,5.617173672
19,600027.SS,HUADIAN INTERNATIONAL,Utilities,Utilities - Regulated Electric,2021,-0.61,7.275354075,-0.022757191,2.972920987,0.25,-7.715756776,0.533035914,0.64692544,0.053116768,40054817503.0,218939000000.0,4.706611633
20,600028.SS,SINOPEC,Energy,Oil & Gas Integrated,2021,0.594,7.962189684,0.038097028,2.06459259,0.29,5.727336463,0.167008159,0.427274154,0.085243026,330788000000.0,1889260000000.0,3.402037859
21,600030.SS,CITIC SECURITIES,Financial Services,Capital Markets,2021,1.69,17.1444883,0.018065427,5.980440647,0.37712,13.58224429,0.200460541,1.338855523,0.016429386,280050000000.0,1278660000000.0,22.95399284
22,600031.SS,SANY HEAVY INDUS,Industrials,Farm & Heavy Construction Machinery,2021,1.4287,7.515169263,0.086848039,2.128523881,0.6,15.16541616,0.148139442,2.88307945,0.027692099,183626000000.0,138557000000.0,21.66683006
23,600033.SS,FUJIAN EXPRESSWAY,Industrials,Infrastructure Operations,2021,0.3021,3.815550164,0.049666288,1.297789228,0.1,8.060394711,0.141096976,0.638189812,0.041066999,6682737851.0,16695821661.0,2.435045242
24,600035.SS,CHUTIAN EXPRESS,Industrials,Infrastructure Operations,2021,0.46,4.346145479,0.042172577,2.214919806,0.07,6.062179026,0.427177925,0.641626555,0.025102181,4489984241.0,17551713032.0,2.788602352
25,600036.SS,CMB,Financial Services,Banks - Regional,2021,4.61,41.62825001,0.012965913,10.68409842,1.253,9.049655972,0.068235006,1.002177945,0.030034339,860615000000.0,9249020000000.0,41.71891403
26,600037.SS,GEHUA NETWORK,Communication Services,Broadcasting,2021,0.1501,9.218184148,0.013051336,1.247351934,0.04,56.80468621,0.026191164,0.924952601,0.004691321,11866849616.0,16003131196.0,8.5263834
28,600039.SS,SRBG,Industrials,Engineering & Construction,2021,0.821429,3.484794412,0.043083879,4.582084618,0.178571,8.500737523,0.333758965,2.003777411,0.025573154,60835550850.0,155554000000.0,6.982752323
