Comp_code,Time,Total Assets,Total Debt,EPS,BVPS,ROA,ROE,DY,Price,DIV,Market Cap
600000,9/30/2024,9416535,8685534,0.23,24.62,0.0042,0.0514,0,9.869999886,0,297338
600000,6/30/2024,9253778,8500022,0.36,21.65,0.0078,0.0952,0,7.937761784,0,241568
600000,3/31/2024,9053468,8302126,0.57,25.31,0.004,0.0485,0,6.876821995,0,209281
600000,12/31/2023,9007247,8274363,0.15,20.94,0.0022,0.0276,0.0503,6.384931087,0.321,194311
600000,9/30/2023,8808320,8084504,0.12,24.38,0.0034,0.0414,0,6.847887039,0,208400
600000,6/30/2023,8932519,8211439,0.3,20.55,0.0074,0.0904,0,6.626391411,0,212510
600000,3/31/2023,8862440,8140690,0.51,24.32,0.0051,0.0618,0,6.635621071,0,211042
600000,12/31/2022,8704651,7997876,0.22,20.03,0.005,0.0604,0.0476,6.718681812,0.32,213684
600000,9/30/2022,8425347,7724521,0.3,19.83,0.0052,0.0633,0,6.451041222,0,206639
600000,6/30/2022,8505959,7812093,0.38,19.6,0.0095,0.1141,0,7.038295269,0,235111
600000,3/31/2022,8423074,7727317,0.64,19.67,0.0057,0.069,0,6.924633026,0,234817
600000,12/31/2021,8136757,7458539,0.25,19.08,0.0059,0.0717,0.055,7.466713428,0.41,250374
600000,9/30/2021,8064383,7393760,0.35,18.83,0.0056,0.0686,0,7.886388779,0,264169
600000,6/30/2021,8123120,7462659,0.39,18.49,0.0094,0.1152,0,8.306482315,0,293521
600000,3/31/2021,8066995,7403530,0.61,18.59,0.0071,0.0901,0,9.163764954,0,322580
600000,12/31/2020,7950218,7304401,0.42,18,0.0084,0.1106,0.0596,7.906972885,0.48,284129
600000,9/30/2020,7674479,7094122,0.49,17.48,0.0063,0.0812,0,7.848711491,0,275617
600000,6/30/2020,7521101,6948926,0.4,17.2,0.0098,0.1226,0,8.343285561,0,310545
600000,3/31/2020,7300588,6717780,0.56,17.56,0.0062,0.0768,0,8.114377022,0,297924
600004,9/30/2024,26982,8665,0.1,7.64,0.0308,0.0594,0,9.779999733,0,24756
600004,6/30/2024,26955,8870,0.1,7.54,0.0244,0.0445,0,9.405612946,0,22436
600004,3/31/2024,26597,8606,0.08,7.52,0.022,0.0427,0,10.00090599,0,23857
600004,12/31/2023,26190,8384,0.07,7.43,0.016,0.0275,0.0077,9.703259468,0.075,23147
600004,9/30/2023,26765,9079,0.05,7.38,0.0151,0.0272,0,11.11211777,0,26507
600004,6/30/2023,26365,8786,0.05,7.33,0.0069,0.0117,0,14.4854393,0,33939
