,Comp_code,DateTime,EPS,Total_Debt,Total_Assets,BVPS,ROA,ROE,DIV,SIZE,DAR
0,600000,Q3 2024,0.23,8685534,9416535,24.62,0.0042,0.0514,0,297338,0.92237049
1,600000,Q2 2024,0.36,8500022,9253778,21.65,0.0078,0.0952,0,241568,0.918546133
2,600000,Q1 2024,0.57,8302126,9053468,25.31,0.004,0.0485,0.0503,209281,0.917010586
3,600000,Q4 2023,0.15,8274363,9007247,20.94,0.0022,0.0276,0,194311,0.918633962
4,600000,Q3 2023,0.12,8084504,8808320,24.38,0.0034,0.0414,0,208400,0.917825874
5,600000,Q2 2023,0.3,8211439,8932519,20.55,0.0074,0.0904,0,212510,0.919274731
6,600000,Q1 2023,0.51,8140690,8862440,24.32,0.0051,0.0618,0.0476,211042,0.918560803
7,600000,Q4 2022,0.22,7997876,8704651,20.03,0.005,0.0604,0,213684,0.918804901
8,600000,Q3 2022,0.3,7724521,8425347,19.83,0.0052,0.0633,0,206639,0.916819331
9,600000,Q2 2022,0.38,7812093,8505959,19.6,0.0095,0.1141,0,235111,0.918425894
10,600000,Q1 2022,0.64,7727317,8423074,19.67,0.0057,0.069,0.055,234817,0.917398684
11,600000,Q4 2021,0.25,7458539,8136757,19.08,0.0059,0.0717,0,250374,0.916647628
12,600000,Q3 2021,0.35,7393760,8064383,18.83,0.0056,0.0686,0,264169,0.916841375
13,600000,Q2 2021,0.39,7462659,8123120,18.49,0.0094,0.1152,0,293521,0.918693679
14,600000,Q1 2021,0.61,7403530,8066995,18.59,0.0071,0.0901,0.0596,322580,0.91775562
15,600000,Q4 2020,0.42,7304401,7950218,18,0.0084,0.1106,0,284129,0.918767385
16,600000,Q3 2020,0.49,7094122,7674479,17.48,0.0063,0.0812,0,275617,0.924378319
17,600000,Q2 2020,0.4,6948926,7521101,17.2,0.0098,0.1226,0,310545,0.923924037
18,600000,Q1 2020,0.56,6717780,7300588,17.56,0.0062,0.0768,0,297924,0.920169718
19,600004,Q3 2024,0.1,8665,26982,7.64,0.0308,0.0594,0,24756,0.321140019
20,600004,Q2 2024,0.1,8870,26955,7.54,0.0244,0.0445,0,22436,0.329066963
21,600004,Q1 2024,0.08,8606,26597,7.52,0.022,0.0427,0.0077,23857,0.323570327
22,600004,Q4 2023,0.07,8384,26190,7.43,0.016,0.0275,0,23147,0.320122184
23,600004,Q3 2023,0.05,9079,26765,7.38,0.0151,0.0272,0,26507,0.339211657
24,600004,Q2 2023,0.05,8786,26365,7.33,0.0069,0.0117,0,33939,0.333244832
25,600004,Q1 2023,0.02,9476,26934,7.28,-0.0652,-0.1041,0,36992,0.351822975
26,600004,Q4 2022,-0.17,9532,26941,7.26,-0.0093,-0.0226,0,35524,0.353810178
27,600004,Q3 2022,-0.05,9574,27488,7.47,-0.053,-0.0992,0,33749,0.348297439
28,600004,Q2 2022,-0.22,9614,27674,7.52,-0.0097,-0.0166,0,35288,0.347401893
29,600004,Q1 2022,-0.03,8729,27252,7.7,-0.0045,0.0209,0,28992,0.320306766
30,600004,Q4 2021,0.03,8944,27545,7.74,-0.0087,-0.018,0,28543,0.324705028
31,600004,Q3 2021,-0.04,9375,27876,7.71,-0.0265,-0.0526,0,25419,0.336310805
32,600004,Q2 2021,-0.1,9664,28210,7.75,-0.0165,-0.0318,0,26460,0.342573555
33,600004,Q1 2021,-0.07,9669,28571,7.9,-0.0132,0.012,0.003,31572,0.338420076
34,600004,Q4 2020,0.03,6835,26298,8.14,-0.0142,-0.0284,0,33442,0.259905696
