Comp_code,Time,Total Assets,Total Debt,EPS,BVPS,ROA,ROE,DY,Stock Price,DIV,Market Cap,DAR,SIZE
600012,3/31/2023,21688.0,7703.0,0.28,7.47,0.05,0.08,0.0,7.72,0.0,13821.0,0.3551733677609738,9.984514391178502
600012,12/31/2022,21303.0,7799.0,0.16,7.19,0.08,0.16,0.08,6.62,0.55,11264.0,0.3660986715486082,9.966603186850204
600012,9/30/2022,21588.0,8583.0,0.31,7.02,0.05,0.08,0.0,6.04,0.0,10004.0,0.3975819899944413,9.979892883738533
600012,6/30/2022,21149.0,9224.0,0.16,6.72,0.07,0.13,0.0,6.22,0.0,11375.0,0.4361435528866613,9.95934790203275
600012,3/31/2022,19915.0,7385.0,0.24,7.11,0.05,0.09,0.0,6.52,0.0,12086.0,0.3708260105448154,9.899228495615745
600012,12/31/2021,19921.0,7976.0,0.17,6.87,0.1,0.16,0.09,5.91,0.55,10783.0,0.4003815069524622,9.899529730681785
600012,9/30/2021,17633.0,5090.0,0.28,7.23,0.08,0.13,0.0,5.36,0.0,9698.0,0.2886633017637384,9.777527425407923
600012,6/30/2021,17479.0,5333.0,0.23,7.0,0.08,0.13,0.0,5.27,0.0,9600.0,0.3051089879283712,9.768755439335086
600012,3/31/2021,17339.0,5062.0,0.23,7.01,0.08,0.14,0.0,5.91,0.0,10721.0,0.2919430186285253,9.760713578544673
600012,12/31/2020,20763.0,8621.0,0.23,6.94,0.08,0.14,0.05,4.95,0.23,9125.0,0.4152097481096181,9.940927835509973
600012,9/30/2020,15975.0,4514.0,0.22,6.53,0.03,0.04,0.0,4.25,0.0,7701.0,0.2825665101721439,9.678780279245736
600012,6/30/2020,16037.0,4958.0,0.08,6.31,-0.01,-0.03,0.0,4.03,0.0,7658.0,0.3091600673442664,9.682653831508809
600012,3/31/2020,15860.0,4365.0,-0.02,6.46,0.06,0.08,0.0,4.01,0.0,7677.0,0.2752206809583858,9.67155549518884
600017,9/30/2024,39493.0,23523.0,0.07,4.47,0.03,0.07,0.0,2.91,0.0,9627.0,0.595624541057909,10.583878719994871
600017,6/30/2024,39221.0,23495.0,0.08,4.41,0.03,0.06,0.0,2.67,0.0,8212.0,0.5990413298997985,10.576967596620598
600017,3/31/2024,39105.0,23448.0,0.06,4.39,0.01,0.0,0.0,2.7,0.0,8520.0,0.5996164173379364,10.574005615035713
600017,12/31/2023,39311.0,23882.0,-0.01,4.32,0.02,0.05,0.02,2.68,0.07,8458.0,0.607514436162906,10.579259656911985
600017,9/30/2023,37818.0,22584.0,0.05,4.34,0.04,0.08,0.0,2.93,0.0,9227.0,0.5971759479612883,10.540540458741166
600017,6/30/2023,37333.0,22163.0,0.09,4.34,0.03,0.07,0.0,2.86,0.0,9196.0,0.5936570862239842,10.527632932997834
600017,3/31/2023,33103.0,17491.0,0.08,4.49,0.01,-0.01,0.0,2.74,0.0,8581.0,0.5283811134942452,10.407379191699189
600020,9/30/2024,51207.0,36080.0,0.09,6.73,0.03,0.09,0.0,3.96,0.0,9506.0,0.7045911691760892,10.843631520432442
600020,6/30/2024,50487.0,35532.0,0.14,6.65,0.03,0.08,0.0,3.54,0.0,7956.0,0.703785132806465,10.829471156381183
600020,3/31/2024,50324.0,35312.0,0.11,5.0,0.01,-0.02,0.0,3.6,0.0,8405.0,0.7016930291709721,10.82623737947102
600020,12/31/2023,50061.0,35297.0,-0.13,6.57,0.03,0.08,0.04,3.54,0.15,8270.0,0.7050798026407783,10.820997540815013
600020,9/30/2023,49791.0,34925.0,0.12,4.95,0.03,0.07,0.0,3.46,0.0,8091.0,0.7014319857002269,10.815589523788828
