Comp_data,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Stock Price
AAV,2024,1,-48.07975387,10726.64399,-0.018067318,-0.022292461,-25.30077367,0.146169274,0.568677398,0,0,4.21E+11,9.09E+11,3.7
AAV,2024,2,-27.62797576,10699.01602,-0.015186492,-0.018721254,-28.78214464,0.146289156,0.542105927,0,0,4.00E+11,9.07E+11,5.5
AAV,2024,3,-27.09574166,10671.92028,-0.012992678,-0.015995815,-41.99032845,0.147596767,0.674667709,0,0,4.97E+11,9.07E+11,6.4
AAV,2023,1,-48.4775197,10971.74966,-0.001734453,-0.002447852,-221.9256972,0.241432279,0.546858996,0,0,4.14E+11,1.06E+12,3.9
AAV,2023,2,-67.2134994,10904.53616,-0.011205375,-0.015319612,-27.29051895,0.149924297,0.421842794,0,0,3.17E+11,9.28E+11,5.4
AAV,2023,3,-57.14150839,10849.31432,-0.017951165,-0.023773324,-14.23085785,0.152659499,0.341035377,0,0,2.55E+11,9.26E+11,4.9
AAV,2023,4,-68.66458495,10774.72375,-0.01695615,-0.022528468,-13.84909366,0.150485892,0.315553334,0,0,2.35E+11,9.18E+11,4.1
AAV,2022,1,0.434443528,11390.17127,0.025507806,0.033673679,20.09290567,0.210127533,0.781375432,0,0,5.93E+11,1.02E+12,20.87
AAV,2022,2,74.30713143,11073.09548,0.015859914,0.020666768,22.5550909,0.245298376,0.532823005,0,0,4.07E+11,1.08E+12,8.21
AAV,2022,3,34.30016575,11113.77405,0.007396951,0.009514894,36.38756748,0.244669876,0.395905116,0,0,3.04E+11,1.08E+12,6.8
AAV,2022,4,-87.16585341,11020.22718,0.001455865,0.001866469,201.293808,0.250478469,0.399265816,0,0,3.04E+11,1.08E+12,4.3
AAV,2021,1,122.9356523,10165.83845,0.023092562,0.036522828,32.83057526,0.349755894,1.239445233,0,0,4.62E+11,6.01E+11,13.61
AAV,2021,2,297.8698159,10479.05173,0.037739096,0.057958229,46.58025747,0.310345958,2.748340282,0,0,1.06E+12,5.86E+11,13.27
AAV,2021,3,140.0916404,11387.22781,0.051821717,0.07785484,27.57486105,0.322072318,1.87051672,0,0,1.42E+12,6.12E+11,28.6
AAV,2021,4,2.936558831,11383.06641,0.031493055,0.042000126,29.34872416,0.186696007,1.669146021,0,0,1.27E+12,9.92E+11,22.8
AAV,2020,1,118.6074309,11249.11557,0.044584695,0.071247176,6.579903383,0.36729782,0.488927326,0.181818182,0.749090909,1.75E+11,5.97E+11,4.12
AAV,2020,2,90.50088562,11339.865,0.035759329,0.057736166,12.52178409,0.386349486,0.749568006,0.117647059,0.543529412,2.71E+11,6.21E+11,4.62
AAV,2020,3,11.21752097,11340.79977,0.020976118,0.033555735,32.39107911,0.378917731,1.137485915,0.07751938,0.593023255,4.11E+11,6.14E+11,7.65
AAV,2020,4,198.2624701,11549.3384,0.022434647,0.035085494,35.83472986,0.354979435,1.298775694,0,0,4.78E+11,6.01E+11,12.6
ADC,2024,1,460.6018315,20077.11207,0.0894515,0.190830135,5.865270579,0.447542191,1.050947961,0.071090047,1.350710901,83934449600,1.45E+11,19
ADC,2024,2,831.0469734,18692.62163,0.086693864,0.186380876,5.451371674,0.528646916,1.043192356,0.076923077,1.538461538,77569752000,1.58E+11,20
ADC,2024,3,1022.348746,19714.97038,0.083769011,0.181538877,6.009250825,0.625718852,1.080397261,0.070422535,1.535211267,84730036800,2.10E+11,21.8
ADC,2023,1,439.3730633,18639.45345,0.095459032,0.200256675,4.640549918,0.531015281,0.890584053,0.090361446,1.224397591,66033737600,1.58E+11,13.55
ADC,2023,2,851.4126049,17329.60884,0.102541935,0.217832293,4.900923942,0.511567159,1.125241786,0.076923077,1.306923077,77569752000,1.41E+11,16.99
ADC,2023,3,1054.895085,18384.50393,0.097963611,0.22322105,4.604159597,0.620669736,1.011721615,0.080645161,1.27983871,73989609600,1.93E+11,15.87
ADC,2023,4,1230.537471,19616.51024,0.08779554,0.189212566,5.115036522,0.516630075,0.932887643,0.081967213,1.407377049,72796228800,1.61E+11,17.17
ADC,2022,1,375.1483528,17191.33806,0.073803953,0.154848382,7.527931661,0.47163621,1.093573981,0.079787234,1.548670212,74785196800,1.29E+11,19.41
ADC,2022,2,449.7317549,15718.67445,0.075170039,0.156773685,8.969627272,0.478905409,1.456865849,0.065502183,1.155458515,91094734400,1.20E+11,17.64
ADC,2022,3,993.9264681,19055.77997,0.093775261,0.18752879,5.333783801,0.50788961,0.902613277,0.087209302,1.656104651,68420499200,1.54E+11,18.99
ADC,2022,4,1694.144455,18200.08038,0.086026114,0.188842846,4.536829655,0.56284553,0.824172184,0.1,1.519,59669040000,1.64E+11,15.19
